# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Eta
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Eta
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Eta
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Eta
ScaledBy=4.58406468228226673e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	1.006426e-04	4.115581e-06	4.115581e-06
-4.900000e+00	-4.800000e+00	1.205034e-04	4.503425e-06	4.503425e-06
-4.800000e+00	-4.700000e+00	1.506281e-04	5.034942e-06	5.034942e-06
-4.700000e+00	-4.600000e+00	1.804170e-04	5.510361e-06	5.510361e-06
-4.600000e+00	-4.500000e+00	2.206425e-04	6.093796e-06	6.093796e-06
-4.500000e+00	-4.400000e+00	2.684381e-04	6.721463e-06	6.721463e-06
-4.400000e+00	-4.300000e+00	3.386223e-04	7.549212e-06	7.549212e-06
-4.300000e+00	-4.200000e+00	3.980314e-04	8.184681e-06	8.184681e-06
-4.200000e+00	-4.100000e+00	4.916177e-04	9.096240e-06	9.096240e-06
-4.100000e+00	-4.000000e+00	6.089262e-04	1.012350e-05	1.012350e-05
-4.000000e+00	-3.900000e+00	7.301242e-04	1.108542e-05	1.108542e-05
-3.900000e+00	-3.800000e+00	9.103699e-04	1.237826e-05	1.237826e-05
-3.800000e+00	-3.700000e+00	1.080342e-03	1.348428e-05	1.348428e-05
-3.700000e+00	-3.600000e+00	1.341205e-03	1.502427e-05	1.502427e-05
-3.600000e+00	-3.500000e+00	1.612344e-03	1.647309e-05	1.647309e-05
-3.500000e+00	-3.400000e+00	1.991724e-03	1.830896e-05	1.830896e-05
-3.400000e+00	-3.300000e+00	2.453884e-03	2.032242e-05	2.032242e-05
-3.300000e+00	-3.200000e+00	2.990920e-03	2.243619e-05	2.243619e-05
-3.200000e+00	-3.100000e+00	3.663804e-03	2.483208e-05	2.483208e-05
-3.100000e+00	-3.000000e+00	4.430311e-03	2.730654e-05	2.730654e-05
-3.000000e+00	-2.900000e+00	5.436038e-03	3.024740e-05	3.024740e-05
-2.900000e+00	-2.800000e+00	6.554569e-03	3.321379e-05	3.321379e-05
-2.800000e+00	-2.700000e+00	8.029253e-03	3.676074e-05	3.676074e-05
-2.700000e+00	-2.600000e+00	9.867128e-03	4.075136e-05	4.075136e-05
-2.600000e+00	-2.500000e+00	1.200477e-02	4.494940e-05	4.494940e-05
-2.500000e+00	-2.400000e+00	1.455350e-02	4.949142e-05	4.949142e-05
-2.400000e+00	-2.300000e+00	1.772148e-02	5.461301e-05	5.461301e-05
-2.300000e+00	-2.200000e+00	2.167280e-02	6.039525e-05	6.039525e-05
-2.200000e+00	-2.100000e+00	2.626186e-02	6.648274e-05	6.648274e-05
-2.100000e+00	-2.000000e+00	3.199204e-02	7.337818e-05	7.337818e-05
-2.000000e+00	-1.900000e+00	3.860345e-02	8.060441e-05	8.060441e-05
-1.900000e+00	-1.800000e+00	4.679338e-02	8.874378e-05	8.874378e-05
-1.800000e+00	-1.700000e+00	5.644980e-02	9.747137e-05	9.747137e-05
-1.700000e+00	-1.600000e+00	6.838739e-02	1.072838e-04	1.072838e-04
-1.600000e+00	-1.500000e+00	8.209962e-02	1.175484e-04	1.175484e-04
-1.500000e+00	-1.400000e+00	9.827836e-02	1.286101e-04	1.286101e-04
-1.400000e+00	-1.300000e+00	1.176636e-01	1.407235e-04	1.407235e-04
-1.300000e+00	-1.200000e+00	1.400281e-01	1.535159e-04	1.535159e-04
-1.200000e+00	-1.100000e+00	1.653134e-01	1.668014e-04	1.668014e-04
-1.100000e+00	-1.000000e+00	1.941364e-01	1.807587e-04	1.807587e-04
-1.000000e+00	-9.000000e-01	2.261201e-01	1.950814e-04	1.950814e-04
-9.000000e-01	-8.000000e-01	2.613138e-01	2.097140e-04	2.097140e-04
-8.000000e-01	-7.000000e-01	2.980832e-01	2.239830e-04	2.239830e-04
-7.000000e-01	-6.000000e-01	3.367097e-01	2.380534e-04	2.380534e-04
-6.000000e-01	-5.000000e-01	3.754028e-01	2.513595e-04	2.513595e-04
-5.000000e-01	-4.000000e-01	4.112859e-01	2.630986e-04	2.630986e-04
-4.000000e-01	-3.000000e-01	4.445066e-01	2.735181e-04	2.735181e-04
-3.000000e-01	-2.000000e-01	4.709156e-01	2.815260e-04	2.815260e-04
-2.000000e-01	-1.000000e-01	4.895811e-01	2.870512e-04	2.870512e-04
-1.000000e-01	0.000000e+00	4.999588e-01	2.900775e-04	2.900775e-04
0.000000e+00	1.000000e-01	5.004983e-01	2.902340e-04	2.902340e-04
1.000000e-01	2.000000e-01	4.901136e-01	2.872073e-04	2.872073e-04
2.000000e-01	3.000000e-01	4.712759e-01	2.816336e-04	2.816336e-04
3.000000e-01	4.000000e-01	4.444426e-01	2.734984e-04	2.734984e-04
4.000000e-01	5.000000e-01	4.107170e-01	2.629168e-04	2.629168e-04
5.000000e-01	6.000000e-01	3.745888e-01	2.510870e-04	2.510870e-04
6.000000e-01	7.000000e-01	3.363566e-01	2.379286e-04	2.379286e-04
7.000000e-01	8.000000e-01	2.977620e-01	2.238624e-04	2.238624e-04
8.000000e-01	9.000000e-01	2.605076e-01	2.093903e-04	2.093903e-04
9.000000e-01	1.000000e+00	2.256461e-01	1.948768e-04	1.948768e-04
1.000000e+00	1.100000e+00	1.939598e-01	1.806766e-04	1.806766e-04
1.100000e+00	1.200000e+00	1.651184e-01	1.667031e-04	1.667031e-04
1.200000e+00	1.300000e+00	1.398675e-01	1.534278e-04	1.534278e-04
1.300000e+00	1.400000e+00	1.178270e-01	1.408212e-04	1.408212e-04
1.400000e+00	1.500000e+00	9.884433e-02	1.289798e-04	1.289798e-04
1.500000e+00	1.600000e+00	8.225935e-02	1.176626e-04	1.176626e-04
1.600000e+00	1.700000e+00	6.842273e-02	1.073114e-04	1.073114e-04
1.700000e+00	1.800000e+00	5.684689e-02	9.781366e-05	9.781366e-05
1.800000e+00	1.900000e+00	4.683441e-02	8.878263e-05	8.878263e-05
1.900000e+00	2.000000e+00	3.878787e-02	8.079668e-05	8.079668e-05
2.000000e+00	2.100000e+00	3.206905e-02	7.346637e-05	7.346637e-05
