# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/H_C
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/H_C
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/H_C
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/H_C
ScaledBy=3.11546382216222866e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	7.000000e-02	1.143806e-04	1.143806e-04	1.143806e-04
7.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	9.000000e-02	2.287613e-04	1.617586e-04	1.617586e-04
9.000000e-02	1.000000e-01	5.719032e-04	2.557629e-04	2.557629e-04
1.000000e-01	1.100000e-01	4.575226e-04	2.287613e-04	2.287613e-04
1.100000e-01	1.200000e-01	8.006645e-04	3.026227e-04	3.026227e-04
1.200000e-01	1.300000e-01	1.258187e-03	3.793576e-04	3.793576e-04
1.300000e-01	1.400000e-01	1.601329e-03	4.279731e-04	4.279731e-04
1.400000e-01	1.500000e-01	2.058852e-03	4.852760e-04	4.852760e-04
1.500000e-01	1.600000e-01	3.545800e-03	6.368445e-04	6.368445e-04
1.600000e-01	1.700000e-01	3.660181e-03	6.470346e-04	6.470346e-04
1.700000e-01	1.800000e-01	5.147129e-03	7.672887e-04	7.672887e-04
1.800000e-01	1.900000e-01	7.549354e-03	9.292612e-04	9.292612e-04
1.900000e-01	2.000000e-01	8.349787e-03	9.772686e-04	9.772686e-04
2.000000e-01	2.100000e-01	1.338254e-02	1.237216e-03	1.237216e-03
2.100000e-01	2.200000e-01	1.681395e-02	1.386792e-03	1.386792e-03
2.200000e-01	2.300000e-01	2.013213e-02	1.517517e-03	1.517517e-03
2.300000e-01	2.400000e-01	2.333770e-02	1.633968e-03	1.633968e-03
2.400000e-01	2.500000e-01	3.134030e-02	1.893336e-03	1.893336e-03
2.500000e-01	2.600000e-01	3.751685e-02	2.071521e-03	2.071521e-03
2.600000e-01	2.700000e-01	4.609762e-02	2.296287e-03	2.296287e-03
2.700000e-01	2.800000e-01	6.131156e-02	2.648258e-03	2.648258e-03
2.800000e-01	2.900000e-01	7.068941e-02	2.843546e-03	2.843546e-03
2.900000e-01	3.000000e-01	7.583437e-02	2.945163e-03	2.945163e-03
3.000000e-01	3.100000e-01	9.070689e-02	3.221096e-03	3.221096e-03
3.100000e-01	3.200000e-01	1.106061e-01	3.556851e-03	3.556851e-03
3.200000e-01	3.300000e-01	1.251357e-01	3.783317e-03	3.783317e-03
3.300000e-01	3.400000e-01	1.467548e-01	4.097123e-03	4.097123e-03
3.400000e-01	3.500000e-01	1.625368e-01	4.311762e-03	4.311762e-03
3.500000e-01	3.600000e-01	1.888487e-01	4.647727e-03	4.647727e-03
