# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Mass
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Mass
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Mass
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Mass
ScaledBy=3.11546382216222866e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+00	8.006643e-06	1.747193e-06	1.747193e-06
3.000000e+00	6.000000e+00	2.739103e-03	3.231657e-05	3.231657e-05
6.000000e+00	9.000000e+00	2.365289e-02	9.496475e-05	9.496475e-05
9.000000e+00	1.200000e+01	5.379077e-02	1.432106e-04	1.432106e-04
1.200000e+01	1.500000e+01	6.473247e-02	1.571024e-04	1.571024e-04
1.500000e+01	1.800000e+01	5.751287e-02	1.480826e-04	1.480826e-04
1.800000e+01	2.100000e+01	4.380053e-02	1.292299e-04	1.292299e-04
2.100000e+01	2.400000e+01	3.081544e-02	1.083943e-04	1.083943e-04
2.400000e+01	2.700000e+01	2.054640e-02	8.850947e-05	8.850947e-05
2.700000e+01	3.000000e+01	1.335786e-02	7.136611e-05	7.136611e-05
3.000000e+01	3.300000e+01	8.652790e-03	5.743819e-05	5.743819e-05
3.300000e+01	3.600000e+01	5.340997e-03	4.512677e-05	4.512677e-05
3.600000e+01	3.900000e+01	3.423903e-03	3.613127e-05	3.613127e-05
3.900000e+01	4.200000e+01	2.025733e-03	2.779153e-05	2.779153e-05
4.200000e+01	4.500000e+01	1.249088e-03	2.182333e-05	2.182333e-05
4.500000e+01	4.800000e+01	7.499873e-04	1.691032e-05	1.691032e-05
4.800000e+01	5.100000e+01	4.133050e-04	1.255325e-05	1.255325e-05
5.100000e+01	5.400000e+01	2.497586e-04	9.758885e-06	9.758885e-06
5.400000e+01	5.700000e+01	1.311671e-04	7.072062e-06	7.072062e-06
5.700000e+01	6.000000e+01	6.901023e-05	5.129491e-06	5.129491e-06
6.000000e+01	6.300000e+01	3.888943e-05	3.850626e-06	3.850626e-06
6.300000e+01	6.600000e+01	1.715710e-05	2.557629e-06	2.557629e-06
6.600000e+01	6.900000e+01	1.067553e-05	2.017485e-06	2.017485e-06
6.900000e+01	7.200000e+01	3.431420e-06	1.143807e-06	1.143807e-06
7.200000e+01	7.500000e+01	7.625377e-07	5.391955e-07	5.391955e-07
7.500000e+01	7.800000e+01	3.812687e-07	3.812688e-07	3.812688e-07
7.800000e+01	8.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+01	1.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+02	1.050000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.110000e+02	0.000000e+00	0.000000e+00	0.000000e+00
