# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Phi
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Phi
ScaledBy=4.58406468228226673e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.589971e-01	2.063722e-04	2.063722e-04
6.283185e-02	1.256637e-01	1.588823e-01	2.062977e-04	2.062977e-04
1.256637e-01	1.884956e-01	1.590977e-01	2.064372e-04	2.064372e-04
1.884956e-01	2.513274e-01	1.592214e-01	2.065177e-04	2.065177e-04
2.513274e-01	3.141593e-01	1.591012e-01	2.064396e-04	2.064396e-04
3.141593e-01	3.769911e-01	1.586295e-01	2.061335e-04	2.061335e-04
3.769911e-01	4.398230e-01	1.587844e-01	2.062339e-04	2.062339e-04
4.398230e-01	5.026548e-01	1.590629e-01	2.064152e-04	2.064152e-04
5.026548e-01	5.654867e-01	1.590480e-01	2.064052e-04	2.064052e-04
5.654867e-01	6.283185e-01	1.590630e-01	2.064153e-04	2.064153e-04
6.283185e-01	6.911504e-01	1.592397e-01	2.065297e-04	2.065297e-04
6.911504e-01	7.539822e-01	1.586490e-01	2.061464e-04	2.061464e-04
7.539822e-01	8.168141e-01	1.589981e-01	2.063728e-04	2.063728e-04
8.168141e-01	8.796459e-01	1.591053e-01	2.064427e-04	2.064427e-04
8.796459e-01	9.424778e-01	1.589002e-01	2.063092e-04	2.063092e-04
9.424778e-01	1.005310e+00	1.587780e-01	2.062295e-04	2.062295e-04
1.005310e+00	1.068142e+00	1.586056e-01	2.061176e-04	2.061176e-04
1.068142e+00	1.130973e+00	1.587394e-01	2.062063e-04	2.062063e-04
1.130973e+00	1.193805e+00	1.588569e-01	2.062810e-04	2.062810e-04
1.193805e+00	1.256637e+00	1.586759e-01	2.061633e-04	2.061633e-04
1.256637e+00	1.319469e+00	1.583080e-01	2.059244e-04	2.059244e-04
1.319469e+00	1.382301e+00	1.585512e-01	2.060827e-04	2.060827e-04
1.382301e+00	1.445133e+00	1.583161e-01	2.059297e-04	2.059297e-04
1.445133e+00	1.507964e+00	1.582855e-01	2.059113e-04	2.059113e-04
1.507964e+00	1.570796e+00	1.582451e-01	2.058834e-04	2.058834e-04
1.570796e+00	1.633628e+00	1.584095e-01	2.059903e-04	2.059903e-04
1.633628e+00	1.696460e+00	1.589326e-01	2.063301e-04	2.063301e-04
1.696460e+00	1.759292e+00	1.586435e-01	2.061424e-04	2.061424e-04
1.759292e+00	1.822124e+00	1.585684e-01	2.060936e-04	2.060936e-04
1.822124e+00	1.884956e+00	1.584626e-01	2.060247e-04	2.060247e-04
1.884956e+00	1.947787e+00	1.581893e-01	2.058485e-04	2.058485e-04
1.947787e+00	2.010619e+00	1.587596e-01	2.062176e-04	2.062176e-04
2.010619e+00	2.073451e+00	1.585685e-01	2.060936e-04	2.060936e-04
2.073451e+00	2.136283e+00	1.581434e-01	2.058171e-04	2.058171e-04
2.136283e+00	2.199115e+00	1.585153e-01	2.060590e-04	2.060590e-04
2.199115e+00	2.261947e+00	1.585900e-01	2.061076e-04	2.061076e-04
2.261947e+00	2.324779e+00	1.589807e-01	2.063609e-04	2.063609e-04
2.324779e+00	2.387610e+00	1.587424e-01	2.062080e-04	2.062080e-04
2.387610e+00	2.450442e+00	1.586774e-01	2.061643e-04	2.061643e-04
2.450442e+00	2.513274e+00	1.588953e-01	2.063058e-04	2.063058e-04
2.513274e+00	2.576106e+00	1.585563e-01	2.060856e-04	2.060856e-04
2.576106e+00	2.638938e+00	1.588490e-01	2.062757e-04	2.062757e-04
2.638938e+00	2.701770e+00	1.589490e-01	2.063409e-04	2.063409e-04
2.701770e+00	2.764602e+00	1.590583e-01	2.064116e-04	2.064116e-04
2.764602e+00	2.827433e+00	1.591157e-01	2.064504e-04	2.064504e-04
2.827433e+00	2.890265e+00	1.598154e-01	2.069025e-04	2.069025e-04
2.890265e+00	2.953097e+00	1.592650e-01	2.065458e-04	2.065458e-04
2.953097e+00	3.015929e+00	1.591319e-01	2.064595e-04	2.064595e-04
3.015929e+00	3.078761e+00	1.590858e-01	2.064294e-04	2.064294e-04
3.078761e+00	3.141593e+00	1.592949e-01	2.065650e-04	2.065650e-04
3.141593e+00	3.204425e+00	1.592359e-01	2.065271e-04	2.065271e-04
3.204425e+00	3.267256e+00	1.590423e-01	2.064030e-04	2.064030e-04
3.267256e+00	3.330088e+00	1.589453e-01	2.063381e-04	2.063381e-04
3.330088e+00	3.392920e+00	1.591144e-01	2.064480e-04	2.064480e-04
3.392920e+00	3.455752e+00	1.593238e-01	2.065837e-04	2.065837e-04
3.455752e+00	3.518584e+00	1.593760e-01	2.066178e-04	2.066178e-04
3.518584e+00	3.581416e+00	1.592547e-01	2.065389e-04	2.065389e-04
3.581416e+00	3.644247e+00	1.599239e-01	2.069743e-04	2.069743e-04
3.644247e+00	3.707079e+00	1.597536e-01	2.068623e-04	2.068623e-04
3.707079e+00	3.769911e+00	1.592930e-01	2.065639e-04	2.065639e-04
3.769911e+00	3.832743e+00	1.596349e-01	2.067855e-04	2.067855e-04
3.832743e+00	3.895575e+00	1.591757e-01	2.064878e-04	2.064878e-04
3.895575e+00	3.958407e+00	1.596217e-01	2.067768e-04	2.067768e-04
3.958407e+00	4.021239e+00	1.595238e-01	2.067134e-04	2.067134e-04
4.021239e+00	4.084070e+00	1.599924e-01	2.070184e-04	2.070184e-04
4.084070e+00	4.146902e+00	1.597702e-01	2.068728e-04	2.068728e-04
4.146902e+00	4.209734e+00	1.598852e-01	2.069474e-04	2.069474e-04
4.209734e+00	4.272566e+00	1.596941e-01	2.068237e-04	2.068237e-04
4.272566e+00	4.335398e+00	1.596885e-01	2.068199e-04	2.068199e-04
4.335398e+00	4.398230e+00	1.597780e-01	2.068780e-04	2.068780e-04
4.398230e+00	4.461062e+00	1.596354e-01	2.067857e-04	2.067857e-04
4.461062e+00	4.523893e+00	1.595830e-01	2.067536e-04	2.067536e-04
4.523893e+00	4.586725e+00	1.598930e-01	2.069525e-04	2.069525e-04
4.586725e+00	4.649557e+00	1.596231e-01	2.067779e-04	2.067779e-04
4.649557e+00	4.712389e+00	1.597035e-01	2.068301e-04	2.068301e-04
4.712389e+00	4.775221e+00	1.597313e-01	2.068482e-04	2.068482e-04
4.775221e+00	4.838053e+00	1.595100e-01	2.067047e-04	2.067047e-04
4.838053e+00	4.900885e+00	1.593537e-01	2.066035e-04	2.066035e-04
4.900885e+00	4.963716e+00	1.594262e-01	2.066520e-04	2.066520e-04
4.963716e+00	5.026548e+00	1.598663e-01	2.069354e-04	2.069354e-04
5.026548e+00	5.089380e+00	1.595272e-01	2.067158e-04	2.067158e-04
5.089380e+00	5.152212e+00	1.597304e-01	2.068475e-04	2.068475e-04
5.152212e+00	5.215044e+00	1.595225e-01	2.067129e-04	2.067129e-04
5.215044e+00	5.277876e+00	1.592042e-01	2.065064e-04	2.065064e-04
5.277876e+00	5.340708e+00	1.592174e-01	2.065148e-04	2.065148e-04
5.340708e+00	5.403539e+00	1.592343e-01	2.065274e-04	2.065274e-04
5.403539e+00	5.466371e+00	1.597043e-01	2.068305e-04	2.068305e-04
5.466371e+00	5.529203e+00	1.594724e-01	2.066803e-04	2.066803e-04
5.529203e+00	5.592035e+00	1.592787e-01	2.065547e-04	2.065547e-04
5.592035e+00	5.654867e+00	1.595838e-01	2.067526e-04	2.067526e-04
5.654867e+00	5.717699e+00	1.596319e-01	2.067836e-04	2.067836e-04
5.717699e+00	5.780530e+00	1.592645e-01	2.065474e-04	2.065474e-04
5.780530e+00	5.843362e+00	1.595244e-01	2.067141e-04	2.067141e-04
5.843362e+00	5.906194e+00	1.593850e-01	2.066237e-04	2.066237e-04
5.906194e+00	5.969026e+00	1.597961e-01	2.068899e-04	2.068899e-04
5.969026e+00	6.031858e+00	1.597632e-01	2.068685e-04	2.068685e-04
6.031858e+00	6.094690e+00	1.591560e-01	2.064751e-04	2.064751e-04
6.094690e+00	6.157522e+00	1.593922e-01	2.066282e-04	2.066282e-04
6.157522e+00	6.220353e+00	1.592295e-01	2.065243e-04	2.065243e-04
6.220353e+00	6.283185e+00	1.591824e-01	2.064921e-04	2.064921e-04
# END HISTO1D

