# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Z_phi
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Z_phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Z_phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Z_phi
ScaledBy=3.11546382216222866e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.608762e-01	1.711353e-03	1.711353e-03
6.283185e-02	1.256637e-01	1.608396e-01	1.711157e-03	1.711157e-03
1.256637e-01	1.884956e-01	1.605294e-01	1.709503e-03	1.709503e-03
1.884956e-01	2.513274e-01	1.612946e-01	1.713575e-03	1.713575e-03
2.513274e-01	3.141593e-01	1.595817e-01	1.704442e-03	1.704442e-03
3.141593e-01	3.769911e-01	1.555766e-01	1.682917e-03	1.682917e-03
3.769911e-01	4.398230e-01	1.590376e-01	1.701545e-03	1.701545e-03
4.398230e-01	5.026548e-01	1.586731e-01	1.699593e-03	1.699593e-03
5.026548e-01	5.654867e-01	1.620968e-01	1.717837e-03	1.717837e-03
5.654867e-01	6.283185e-01	1.587625e-01	1.700062e-03	1.700062e-03
6.283185e-01	6.911504e-01	1.591803e-01	1.702292e-03	1.702292e-03
6.911504e-01	7.539822e-01	1.628425e-01	1.721781e-03	1.721781e-03
7.539822e-01	8.168141e-01	1.576712e-01	1.694215e-03	1.694215e-03
8.168141e-01	8.796459e-01	1.613847e-01	1.714048e-03	1.714048e-03
8.796459e-01	9.424778e-01	1.617852e-01	1.716175e-03	1.716175e-03
9.424778e-01	1.005310e+00	1.584165e-01	1.698208e-03	1.698208e-03
1.005310e+00	1.068142e+00	1.593634e-01	1.703278e-03	1.703278e-03
1.068142e+00	1.130973e+00	1.593667e-01	1.703313e-03	1.703313e-03
1.130973e+00	1.193805e+00	1.606958e-01	1.710402e-03	1.710402e-03
1.193805e+00	1.256637e+00	1.584003e-01	1.698132e-03	1.698132e-03
1.256637e+00	1.319469e+00	1.596928e-01	1.705046e-03	1.705046e-03
1.319469e+00	1.382301e+00	1.595633e-01	1.704344e-03	1.704344e-03
1.382301e+00	1.445133e+00	1.568891e-01	1.690012e-03	1.690012e-03
1.445133e+00	1.507964e+00	1.600396e-01	1.706901e-03	1.706901e-03
1.507964e+00	1.570796e+00	1.583622e-01	1.697918e-03	1.697918e-03
1.570796e+00	1.633628e+00	1.592908e-01	1.702890e-03	1.702890e-03
1.633628e+00	1.696460e+00	1.593651e-01	1.703295e-03	1.703295e-03
1.696460e+00	1.759292e+00	1.592179e-01	1.702501e-03	1.702501e-03
1.759292e+00	1.822124e+00	1.582158e-01	1.697130e-03	1.697130e-03
1.822124e+00	1.884956e+00	1.579241e-01	1.695562e-03	1.695562e-03
1.884956e+00	1.947787e+00	1.564358e-01	1.687578e-03	1.687578e-03
1.947787e+00	2.010619e+00	1.593293e-01	1.703109e-03	1.703109e-03
2.010619e+00	2.073451e+00	1.600189e-01	1.706778e-03	1.706778e-03
2.073451e+00	2.136283e+00	1.609654e-01	1.711818e-03	1.711818e-03
2.136283e+00	2.199115e+00	1.607838e-01	1.710854e-03	1.710854e-03
2.199115e+00	2.261947e+00	1.578910e-01	1.695403e-03	1.695403e-03
2.261947e+00	2.324779e+00	1.596373e-01	1.704744e-03	1.704744e-03
2.324779e+00	2.387610e+00	1.585857e-01	1.699144e-03	1.699144e-03
2.387610e+00	2.450442e+00	1.605305e-01	1.709513e-03	1.709513e-03
2.450442e+00	2.513274e+00	1.587988e-01	1.700256e-03	1.700256e-03
2.513274e+00	2.576106e+00	1.603089e-01	1.708317e-03	1.708317e-03
2.576106e+00	2.638938e+00	1.575256e-01	1.693432e-03	1.693432e-03
2.638938e+00	2.701770e+00	1.619840e-01	1.717220e-03	1.717220e-03
2.701770e+00	2.764602e+00	1.604208e-01	1.708928e-03	1.708928e-03
2.764602e+00	2.827433e+00	1.592945e-01	1.702930e-03	1.702930e-03
2.827433e+00	2.890265e+00	1.582538e-01	1.697342e-03	1.697342e-03
2.890265e+00	2.953097e+00	1.618958e-01	1.716767e-03	1.716767e-03
2.953097e+00	3.015929e+00	1.600753e-01	1.707087e-03	1.707087e-03
3.015929e+00	3.078761e+00	1.614763e-01	1.714538e-03	1.714538e-03
3.078761e+00	3.141593e+00	1.580369e-01	1.696188e-03	1.696188e-03
3.141593e+00	3.204425e+00	1.617871e-01	1.716195e-03	1.716195e-03
3.204425e+00	3.267256e+00	1.565789e-01	1.688336e-03	1.688336e-03
3.267256e+00	3.330088e+00	1.576333e-01	1.694003e-03	1.694003e-03
3.330088e+00	3.392920e+00	1.585966e-01	1.699163e-03	1.699163e-03
3.392920e+00	3.455752e+00	1.617138e-01	1.715802e-03	1.715802e-03
3.455752e+00	3.518584e+00	1.599655e-01	1.706498e-03	1.706498e-03
3.518584e+00	3.581416e+00	1.596763e-01	1.704967e-03	1.704967e-03
3.581416e+00	3.644247e+00	1.588377e-01	1.700477e-03	1.700477e-03
3.644247e+00	3.707079e+00	1.578706e-01	1.695281e-03	1.695281e-03
3.707079e+00	3.769911e+00	1.572729e-01	1.692085e-03	1.692085e-03
3.769911e+00	3.832743e+00	1.573985e-01	1.692751e-03	1.692751e-03
3.832743e+00	3.895575e+00	1.590169e-01	1.701421e-03	1.701421e-03
3.895575e+00	3.958407e+00	1.583449e-01	1.697832e-03	1.697832e-03
3.958407e+00	4.021239e+00	1.577976e-01	1.694888e-03	1.694888e-03
4.021239e+00	4.084070e+00	1.580557e-01	1.696291e-03	1.696291e-03
4.084070e+00	4.146902e+00	1.582717e-01	1.697437e-03	1.697437e-03
4.146902e+00	4.209734e+00	1.592193e-01	1.702515e-03	1.702515e-03
4.209734e+00	4.272566e+00	1.562510e-01	1.686566e-03	1.686566e-03
4.272566e+00	4.335398e+00	1.600740e-01	1.707074e-03	1.707074e-03
4.335398e+00	4.398230e+00	1.589265e-01	1.700941e-03	1.700941e-03
4.398230e+00	4.461062e+00	1.581809e-01	1.696950e-03	1.696950e-03
4.461062e+00	4.523893e+00	1.616817e-01	1.715655e-03	1.715655e-03
4.523893e+00	4.586725e+00	1.609301e-01	1.711635e-03	1.711635e-03
4.586725e+00	4.649557e+00	1.582898e-01	1.697533e-03	1.697533e-03
4.649557e+00	4.712389e+00	1.584541e-01	1.698416e-03	1.698416e-03
4.712389e+00	4.775221e+00	1.570341e-01	1.690789e-03	1.690789e-03
4.775221e+00	4.838053e+00	1.545213e-01	1.677204e-03	1.677204e-03
4.838053e+00	4.900885e+00	1.567990e-01	1.689531e-03	1.689531e-03
4.900885e+00	4.963716e+00	1.608228e-01	1.711075e-03	1.711075e-03
4.963716e+00	5.026548e+00	1.595278e-01	1.704158e-03	1.704158e-03
5.026548e+00	5.089380e+00	1.587429e-01	1.699950e-03	1.699950e-03
5.089380e+00	5.152212e+00	1.591472e-01	1.702133e-03	1.702133e-03
5.152212e+00	5.215044e+00	1.591831e-01	1.702323e-03	1.702323e-03
5.215044e+00	5.277876e+00	1.628212e-01	1.721651e-03	1.721651e-03
5.277876e+00	5.340708e+00	1.589072e-01	1.700832e-03	1.700832e-03
5.340708e+00	5.403539e+00	1.543586e-01	1.676326e-03	1.676326e-03
5.403539e+00	5.466371e+00	1.593642e-01	1.703286e-03	1.703286e-03
5.466371e+00	5.529203e+00	1.593484e-01	1.703215e-03	1.703215e-03
5.529203e+00	5.592035e+00	1.570164e-01	1.690696e-03	1.690696e-03
5.592035e+00	5.654867e+00	1.592540e-01	1.702693e-03	1.702693e-03
5.654867e+00	5.717699e+00	1.605279e-01	1.709486e-03	1.709486e-03
5.717699e+00	5.780530e+00	1.580372e-01	1.696191e-03	1.696191e-03
5.780530e+00	5.843362e+00	1.597651e-01	1.705429e-03	1.705429e-03
5.843362e+00	5.906194e+00	1.610197e-01	1.712104e-03	1.712104e-03
5.906194e+00	5.969026e+00	1.589079e-01	1.700840e-03	1.700840e-03
5.969026e+00	6.031858e+00	1.585629e-01	1.698997e-03	1.698997e-03
6.031858e+00	6.094690e+00	1.591807e-01	1.702297e-03	1.702297e-03
6.094690e+00	6.157522e+00	1.576718e-01	1.694222e-03	1.694222e-03
6.157522e+00	6.220353e+00	1.575645e-01	1.693654e-03	1.693654e-03
6.220353e+00	6.283185e+00	1.594005e-01	1.703479e-03	1.703479e-03
# END HISTO1D

