# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyFSAnalysis/EtaCh
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyFSAnalysis/EtaCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyFSAnalysis/EtaCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyFSAnalysis/EtaCh
ScaledBy=1.49346503499678951e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	1.031943e-04	3.111426e-05	3.111426e-05
-4.900000e+00	-4.800000e+00	1.313382e-04	3.510162e-05	3.510162e-05
-4.800000e+00	-4.700000e+00	9.381303e-05	2.966629e-05	2.966629e-05
-4.700000e+00	-4.600000e+00	2.345326e-04	4.690651e-05	4.690651e-05
-4.600000e+00	-4.500000e+00	2.720578e-04	5.051987e-05	5.051987e-05
-4.500000e+00	-4.400000e+00	4.221586e-04	6.293169e-05	6.293169e-05
-4.400000e+00	-4.300000e+00	3.471082e-04	5.706424e-05	5.706424e-05
-4.300000e+00	-4.200000e+00	5.159717e-04	6.957361e-05	6.957361e-05
-4.200000e+00	-4.100000e+00	4.878278e-04	6.764954e-05	6.764954e-05
-4.100000e+00	-4.000000e+00	5.816408e-04	7.386846e-05	7.386846e-05
-4.000000e+00	-3.900000e+00	7.317416e-04	8.285342e-05	8.285342e-05
-3.900000e+00	-3.800000e+00	8.536986e-04	8.949193e-05	8.949193e-05
-3.800000e+00	-3.700000e+00	1.041325e-03	9.883816e-05	9.883816e-05
-3.700000e+00	-3.600000e+00	1.397814e-03	1.145134e-04	1.145134e-04
-3.600000e+00	-3.500000e+00	1.641728e-03	1.241030e-04	1.241030e-04
-3.500000e+00	-3.400000e+00	2.364088e-03	1.489236e-04	1.489236e-04
-3.400000e+00	-3.300000e+00	2.317182e-03	1.474388e-04	1.474388e-04
-3.300000e+00	-3.200000e+00	3.142737e-03	1.717060e-04	1.717060e-04
-3.200000e+00	-3.100000e+00	3.874478e-03	1.906506e-04	1.906506e-04
-3.100000e+00	-3.000000e+00	4.493644e-03	2.053198e-04	2.053198e-04
-3.000000e+00	-2.900000e+00	5.600638e-03	2.292188e-04	2.292188e-04
-2.900000e+00	-2.800000e+00	6.585675e-03	2.485603e-04	2.485603e-04
-2.800000e+00	-2.700000e+00	8.152352e-03	2.765496e-04	2.765496e-04
-2.700000e+00	-2.600000e+00	9.690886e-03	3.015181e-04	3.015181e-04
-2.600000e+00	-2.500000e+00	1.162343e-02	3.302166e-04	3.302166e-04
-2.500000e+00	-2.400000e+00	1.474741e-02	3.719542e-04	3.719542e-04
-2.400000e+00	-2.300000e+00	1.797458e-02	4.106397e-04	4.106397e-04
-2.300000e+00	-2.200000e+00	2.196163e-02	4.539038e-04	4.539038e-04
-2.200000e+00	-2.100000e+00	2.708382e-02	5.040650e-04	5.040650e-04
-2.100000e+00	-2.000000e+00	3.329424e-02	5.588769e-04	5.588769e-04
-2.000000e+00	-1.900000e+00	3.908251e-02	6.055121e-04	6.055121e-04
-1.900000e+00	-1.800000e+00	4.725362e-02	6.658082e-04	6.658082e-04
-1.800000e+00	-1.700000e+00	5.668183e-02	7.292116e-04	7.292116e-04
-1.700000e+00	-1.600000e+00	6.894320e-02	8.042245e-04	8.042245e-04
-1.600000e+00	-1.500000e+00	8.432853e-02	8.894445e-04	8.894445e-04
-1.500000e+00	-1.400000e+00	9.895398e-02	9.634922e-04	9.634922e-04
-1.400000e+00	-1.300000e+00	1.189362e-01	1.056303e-03	1.056303e-03
-1.300000e+00	-1.200000e+00	1.406633e-01	1.148741e-03	1.148741e-03
-1.200000e+00	-1.100000e+00	1.643510e-01	1.241703e-03	1.241703e-03
-1.100000e+00	-1.000000e+00	1.954688e-01	1.354161e-03	1.354161e-03
-1.000000e+00	-9.000000e-01	2.271213e-01	1.459690e-03	1.459690e-03
-9.000000e-01	-8.000000e-01	2.587176e-01	1.557918e-03	1.557918e-03
-8.000000e-01	-7.000000e-01	3.004925e-01	1.678991e-03	1.678991e-03
-7.000000e-01	-6.000000e-01	3.338149e-01	1.769638e-03	1.769638e-03
-6.000000e-01	-5.000000e-01	3.684319e-01	1.859132e-03	1.859132e-03
-5.000000e-01	-4.000000e-01	4.037525e-01	1.946208e-03	1.946208e-03
-4.000000e-01	-3.000000e-01	4.405366e-01	2.032931e-03	2.032931e-03
-3.000000e-01	-2.000000e-01	4.684460e-01	2.096338e-03	2.096338e-03
-2.000000e-01	-1.000000e-01	4.908673e-01	2.145921e-03	2.145921e-03
-1.000000e-01	0.000000e+00	4.980534e-01	2.161571e-03	2.161571e-03
0.000000e+00	1.000000e-01	5.028472e-01	2.171949e-03	2.171949e-03
1.000000e-01	2.000000e-01	4.955486e-01	2.156129e-03	2.156129e-03
2.000000e-01	3.000000e-01	4.769454e-01	2.115271e-03	2.115271e-03
3.000000e-01	4.000000e-01	4.452273e-01	2.043725e-03	2.043725e-03
4.000000e-01	5.000000e-01	4.090530e-01	1.958941e-03	1.958941e-03
5.000000e-01	6.000000e-01	3.704677e-01	1.864261e-03	1.864261e-03
6.000000e-01	7.000000e-01	3.355411e-01	1.774207e-03	1.774207e-03
7.000000e-01	8.000000e-01	2.962991e-01	1.667235e-03	1.667235e-03
8.000000e-01	9.000000e-01	2.627515e-01	1.570017e-03	1.570017e-03
9.000000e-01	1.000000e+00	2.260613e-01	1.456279e-03	1.456279e-03
1.000000e+00	1.100000e+00	1.925606e-01	1.344050e-03	1.344050e-03
1.100000e+00	1.200000e+00	1.653736e-01	1.245560e-03	1.245560e-03
1.200000e+00	1.300000e+00	1.389934e-01	1.141901e-03	1.141901e-03
1.300000e+00	1.400000e+00	1.202402e-01	1.062078e-03	1.062078e-03
1.400000e+00	1.500000e+00	9.884141e-02	9.629440e-04	9.629440e-04
1.500000e+00	1.600000e+00	8.210516e-02	8.776408e-04	8.776408e-04
1.600000e+00	1.700000e+00	6.902763e-02	8.047168e-04	8.047168e-04
1.700000e+00	1.800000e+00	5.672874e-02	7.295132e-04	7.295132e-04
1.800000e+00	1.900000e+00	4.785403e-02	6.700247e-04	6.700247e-04
1.900000e+00	2.000000e+00	3.942024e-02	6.081227e-04	6.081227e-04
2.000000e+00	2.100000e+00	3.211220e-02	5.488664e-04	5.488664e-04
2.100000e+00	2.200000e+00	2.664290e-02	4.999451e-04	4.999451e-04
2.200000e+00	2.300000e+00	2.158638e-02	4.500093e-04	4.500093e-04
2.300000e+00	2.400000e+00	1.762747e-02	4.066554e-04	4.066554e-04
2.400000e+00	2.500000e+00	1.556358e-02	3.821082e-04	3.821082e-04
2.500000e+00	2.600000e+00	1.187673e-02	3.337951e-04	3.337951e-04
2.600000e+00	2.700000e+00	1.034758e-02	3.115666e-04	3.115666e-04
2.700000e+00	2.800000e+00	8.133590e-03	2.762312e-04	2.762312e-04
2.800000e+00	2.900000e+00	6.707632e-03	2.508512e-04	2.508512e-04
2.900000e+00	3.000000e+00	5.469300e-03	2.265153e-04	2.265153e-04
3.000000e+00	3.100000e+00	4.259112e-03	1.998900e-04	1.998900e-04
3.100000e+00	3.200000e+00	3.724377e-03	1.869211e-04	1.869211e-04
3.200000e+00	3.300000e+00	3.367888e-03	1.777503e-04	1.777503e-04
3.300000e+00	3.400000e+00	2.467283e-03	1.521392e-04	1.521392e-04
3.400000e+00	3.500000e+00	1.810591e-03	1.303292e-04	1.303292e-04
3.500000e+00	3.600000e+00	1.529152e-03	1.197725e-04	1.197725e-04
3.600000e+00	3.700000e+00	1.463483e-03	1.171724e-04	1.171724e-04
3.700000e+00	3.800000e+00	1.097612e-03	1.014743e-04	1.014743e-04
3.800000e+00	3.900000e+00	8.255547e-04	8.800443e-05	8.800443e-05
3.900000e+00	4.000000e+00	7.505042e-04	8.390893e-05	8.390893e-05
4.000000e+00	4.100000e+00	7.317416e-04	8.285342e-05	8.285342e-05
4.100000e+00	4.200000e+00	6.379286e-04	7.736021e-05	7.736021e-05
4.200000e+00	4.300000e+00	5.534969e-04	7.205916e-05	7.205916e-05
4.300000e+00	4.400000e+00	3.752521e-04	5.933257e-05	5.933257e-05
4.400000e+00	4.500000e+00	2.063887e-04	4.400222e-05	4.400222e-05
4.500000e+00	4.600000e+00	2.063887e-04	4.400222e-05	4.400222e-05
4.600000e+00	4.700000e+00	1.594822e-04	3.868010e-05	3.868010e-05
4.700000e+00	4.800000e+00	1.407195e-04	3.633363e-05	3.633363e-05
4.800000e+00	4.900000e+00	1.125756e-04	3.249778e-05	3.249778e-05
4.900000e+00	5.000000e+00	1.125756e-04	3.249778e-05	3.249778e-05
# END HISTO1D

