# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyFSAnalysis/Phi
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyFSAnalysis/Phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyFSAnalysis/Phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyFSAnalysis/Phi
ScaledBy=6.78026336398155428e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.601018e-01	1.041755e-03	1.041755e-03
6.283185e-02	1.256637e-01	1.594986e-01	1.039790e-03	1.039790e-03
1.256637e-01	1.884956e-01	1.595662e-01	1.040010e-03	1.040010e-03
1.884956e-01	2.513274e-01	1.577837e-01	1.034186e-03	1.034186e-03
2.513274e-01	3.141593e-01	1.600407e-01	1.041556e-03	1.041556e-03
3.141593e-01	3.769911e-01	1.591055e-01	1.038509e-03	1.038509e-03
3.769911e-01	4.398230e-01	1.570649e-01	1.031827e-03	1.031827e-03
4.398230e-01	5.026548e-01	1.597495e-01	1.040608e-03	1.040608e-03
5.026548e-01	5.654867e-01	1.587460e-01	1.037334e-03	1.037334e-03
5.654867e-01	6.283185e-01	1.588954e-01	1.037823e-03	1.037823e-03
6.283185e-01	6.911504e-01	1.596679e-01	1.040342e-03	1.040342e-03
6.911504e-01	7.539822e-01	1.571059e-01	1.031962e-03	1.031962e-03
7.539822e-01	8.168141e-01	1.574852e-01	1.033206e-03	1.033206e-03
8.168141e-01	8.796459e-01	1.577498e-01	1.034075e-03	1.034075e-03
8.796459e-01	9.424778e-01	1.594510e-01	1.039635e-03	1.039635e-03
9.424778e-01	1.005310e+00	1.595655e-01	1.040006e-03	1.040006e-03
1.005310e+00	1.068142e+00	1.598981e-01	1.041091e-03	1.041091e-03
1.068142e+00	1.130973e+00	1.596160e-01	1.040180e-03	1.040180e-03
1.130973e+00	1.193805e+00	1.586509e-01	1.037022e-03	1.037022e-03
1.193805e+00	1.256637e+00	1.586170e-01	1.036912e-03	1.036912e-03
1.256637e+00	1.319469e+00	1.583797e-01	1.036136e-03	1.036136e-03
1.319469e+00	1.382301e+00	1.589288e-01	1.037930e-03	1.037930e-03
1.382301e+00	1.445133e+00	1.585017e-01	1.036535e-03	1.036535e-03
1.445133e+00	1.507964e+00	1.591821e-01	1.038765e-03	1.038765e-03
1.507964e+00	1.570796e+00	1.580137e-01	1.034938e-03	1.034938e-03
1.570796e+00	1.633628e+00	1.589898e-01	1.038129e-03	1.038129e-03
1.633628e+00	1.696460e+00	1.604472e-01	1.042877e-03	1.042877e-03
1.696460e+00	1.759292e+00	1.599591e-01	1.041289e-03	1.041289e-03
1.759292e+00	1.822124e+00	1.607657e-01	1.043911e-03	1.043911e-03
1.822124e+00	1.884956e+00	1.583729e-01	1.036114e-03	1.036114e-03
1.884956e+00	1.947787e+00	1.595143e-01	1.039849e-03	1.039849e-03
1.947787e+00	2.010619e+00	1.601557e-01	1.041929e-03	1.041929e-03
2.010619e+00	2.073451e+00	1.575324e-01	1.033360e-03	1.033360e-03
2.073451e+00	2.136283e+00	1.563665e-01	1.029529e-03	1.029529e-03
2.136283e+00	2.199115e+00	1.606844e-01	1.043647e-03	1.043647e-03
2.199115e+00	2.261947e+00	1.580950e-01	1.035204e-03	1.035204e-03
2.261947e+00	2.324779e+00	1.582984e-01	1.035870e-03	1.035870e-03
2.324779e+00	2.387610e+00	1.561724e-01	1.028898e-03	1.028898e-03
2.387610e+00	2.450442e+00	1.567054e-01	1.030645e-03	1.030645e-03
2.450442e+00	2.513274e+00	1.568478e-01	1.031113e-03	1.031113e-03
2.513274e+00	2.576106e+00	1.589288e-01	1.037930e-03	1.037930e-03
2.576106e+00	2.638938e+00	1.554921e-01	1.026647e-03	1.026647e-03
2.638938e+00	2.701770e+00	1.595864e-01	1.040075e-03	1.040075e-03
2.701770e+00	2.764602e+00	1.570172e-01	1.031669e-03	1.031669e-03
2.764602e+00	2.827433e+00	1.570875e-01	1.031909e-03	1.031909e-03
2.827433e+00	2.890265e+00	1.568478e-01	1.031113e-03	1.031113e-03
2.890265e+00	2.953097e+00	1.581154e-01	1.035271e-03	1.035271e-03
2.953097e+00	3.015929e+00	1.577764e-01	1.034161e-03	1.034161e-03
3.015929e+00	3.078761e+00	1.580883e-01	1.035182e-03	1.035182e-03
3.078761e+00	3.141593e+00	1.569766e-01	1.031536e-03	1.031536e-03
3.141593e+00	3.204425e+00	1.590576e-01	1.038351e-03	1.038351e-03
3.204425e+00	3.267256e+00	1.591617e-01	1.038699e-03	1.038699e-03
3.267256e+00	3.330088e+00	1.580340e-01	1.035004e-03	1.035004e-03
3.330088e+00	3.392920e+00	1.550989e-01	1.025348e-03	1.025348e-03
3.392920e+00	3.455752e+00	1.599252e-01	1.041179e-03	1.041179e-03
3.455752e+00	3.518584e+00	1.589084e-01	1.037864e-03	1.037864e-03
3.518584e+00	3.581416e+00	1.605556e-01	1.043229e-03	1.043229e-03
3.581416e+00	3.644247e+00	1.606530e-01	1.043554e-03	1.043554e-03
3.644247e+00	3.707079e+00	1.613351e-01	1.045758e-03	1.045758e-03
3.707079e+00	3.769911e+00	1.590982e-01	1.038484e-03	1.038484e-03
3.769911e+00	3.832743e+00	1.601014e-01	1.041752e-03	1.041752e-03
3.832743e+00	3.895575e+00	1.607861e-01	1.043977e-03	1.043977e-03
3.895575e+00	3.958407e+00	1.624129e-01	1.049246e-03	1.049246e-03
3.958407e+00	4.021239e+00	1.595864e-01	1.040075e-03	1.040075e-03
4.021239e+00	4.084070e+00	1.569926e-01	1.031597e-03	1.031597e-03
4.084070e+00	4.146902e+00	1.587119e-01	1.037222e-03	1.037222e-03
4.146902e+00	4.209734e+00	1.592744e-01	1.039059e-03	1.039059e-03
4.209734e+00	4.272566e+00	1.565970e-01	1.030288e-03	1.030288e-03
4.272566e+00	4.335398e+00	1.575527e-01	1.033427e-03	1.033427e-03
4.335398e+00	4.398230e+00	1.611182e-01	1.045055e-03	1.045055e-03
4.398230e+00	4.461062e+00	1.591525e-01	1.038660e-03	1.038660e-03
4.461062e+00	4.523893e+00	1.601854e-01	1.042034e-03	1.042034e-03
4.523893e+00	4.586725e+00	1.596812e-01	1.040384e-03	1.040384e-03
4.586725e+00	4.649557e+00	1.580679e-01	1.035115e-03	1.035115e-03
4.649557e+00	4.712389e+00	1.601964e-01	1.042061e-03	1.042061e-03
4.712389e+00	4.775221e+00	1.604133e-01	1.042766e-03	1.042766e-03
4.775221e+00	4.838053e+00	1.598303e-01	1.040870e-03	1.040870e-03
4.838053e+00	4.900885e+00	1.597218e-01	1.040517e-03	1.040517e-03
4.900885e+00	4.963716e+00	1.593855e-01	1.039429e-03	1.039429e-03
4.963716e+00	5.026548e+00	1.578510e-01	1.034405e-03	1.034405e-03
5.026548e+00	5.089380e+00	1.608403e-01	1.044153e-03	1.044153e-03
5.089380e+00	5.152212e+00	1.596405e-01	1.040252e-03	1.040252e-03
5.152212e+00	5.215044e+00	1.609691e-01	1.044571e-03	1.044571e-03
5.215044e+00	5.277876e+00	1.607251e-01	1.043779e-03	1.043779e-03
5.277876e+00	5.340708e+00	1.615182e-01	1.046351e-03	1.046351e-03
5.340708e+00	5.403539e+00	1.605717e-01	1.043290e-03	1.043290e-03
5.403539e+00	5.466371e+00	1.617283e-01	1.047032e-03	1.047032e-03
5.466371e+00	5.529203e+00	1.592474e-01	1.038970e-03	1.038970e-03
5.529203e+00	5.592035e+00	1.611115e-01	1.045033e-03	1.045033e-03
5.592035e+00	5.654867e+00	1.598168e-01	1.040826e-03	1.040826e-03
5.654867e+00	5.717699e+00	1.616877e-01	1.046900e-03	1.046900e-03
5.717699e+00	5.780530e+00	1.597380e-01	1.040577e-03	1.040577e-03
5.780530e+00	5.843362e+00	1.586644e-01	1.037067e-03	1.037067e-03
5.843362e+00	5.906194e+00	1.610708e-01	1.044901e-03	1.044901e-03
5.906194e+00	5.969026e+00	1.597422e-01	1.040583e-03	1.040583e-03
5.969026e+00	6.031858e+00	1.607522e-01	1.043867e-03	1.043867e-03
