# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyFSAnalysis/PhiCh
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyFSAnalysis/PhiCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyFSAnalysis/PhiCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyFSAnalysis/PhiCh
ScaledBy=1.00000000000000000e+00
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.074424e+03	1.036411e+01	1.036411e+01
6.283185e-02	1.256637e-01	1.068925e+03	1.033755e+01	1.033755e+01
1.256637e-01	1.884956e-01	1.062426e+03	1.030607e+01	1.030607e+01
1.884956e-01	2.513274e-01	1.047231e+03	1.023212e+01	1.023212e+01
2.513274e-01	3.141593e-01	1.059627e+03	1.029249e+01	1.029249e+01
3.141593e-01	3.769911e-01	1.065527e+03	1.032111e+01	1.032111e+01
3.769911e-01	4.398230e-01	1.039432e+03	1.019394e+01	1.019394e+01
4.398230e-01	5.026548e-01	1.057229e+03	1.028085e+01	1.028085e+01
5.026548e-01	5.654867e-01	1.053328e+03	1.026185e+01	1.026185e+01
5.654867e-01	6.283185e-01	1.060528e+03	1.029687e+01	1.029687e+01
6.283185e-01	6.911504e-01	1.051529e+03	1.025308e+01	1.025308e+01
6.911504e-01	7.539822e-01	1.047031e+03	1.023114e+01	1.023114e+01
7.539822e-01	8.168141e-01	1.060626e+03	1.029734e+01	1.029734e+01
8.168141e-01	8.796459e-01	1.055229e+03	1.027112e+01	1.027112e+01
8.796459e-01	9.424778e-01	1.074823e+03	1.036603e+01	1.036603e+01
9.424778e-01	1.005310e+00	1.066720e+03	1.032685e+01	1.032685e+01
1.005310e+00	1.068142e+00	1.072321e+03	1.035395e+01	1.035395e+01
1.068142e+00	1.130973e+00	1.081936e+03	1.040035e+01	1.040035e+01
1.130973e+00	1.193805e+00	1.070422e+03	1.034478e+01	1.034478e+01
1.193805e+00	1.256637e+00	1.060824e+03	1.029830e+01	1.029830e+01
1.256637e+00	1.319469e+00	1.070122e+03	1.034333e+01	1.034333e+01
1.319469e+00	1.382301e+00	1.073721e+03	1.036071e+01	1.036071e+01
1.382301e+00	1.445133e+00	1.046428e+03	1.022818e+01	1.022818e+01
1.445133e+00	1.507964e+00	1.072539e+03	1.035508e+01	1.035508e+01
1.507964e+00	1.570796e+00	1.067623e+03	1.033124e+01	1.033124e+01
1.570796e+00	1.633628e+00	1.070122e+03	1.034333e+01	1.034333e+01
1.633628e+00	1.696460e+00	1.078820e+03	1.038528e+01	1.038528e+01
1.696460e+00	1.759292e+00	1.066523e+03	1.032592e+01	1.032592e+01
1.759292e+00	1.822124e+00	1.070522e+03	1.034526e+01	1.034526e+01
1.822124e+00	1.884956e+00	1.062424e+03	1.030606e+01	1.030606e+01
1.884956e+00	1.947787e+00	1.076438e+03	1.037389e+01	1.037389e+01
1.947787e+00	2.010619e+00	1.076221e+03	1.037276e+01	1.037276e+01
2.010619e+00	2.073451e+00	1.068623e+03	1.033608e+01	1.033608e+01
2.073451e+00	2.136283e+00	1.043529e+03	1.021400e+01	1.021400e+01
2.136283e+00	2.199115e+00	1.059125e+03	1.029004e+01	1.029004e+01
2.199115e+00	2.261947e+00	1.067523e+03	1.033076e+01	1.033076e+01
2.261947e+00	2.324779e+00	1.059225e+03	1.029053e+01	1.029053e+01
2.324779e+00	2.387610e+00	1.047545e+03	1.023372e+01	1.023372e+01
2.387610e+00	2.450442e+00	1.052027e+03	1.025550e+01	1.025550e+01
2.450442e+00	2.513274e+00	1.045029e+03	1.022134e+01	1.022134e+01
2.513274e+00	2.576106e+00	1.048028e+03	1.023599e+01	1.023599e+01
2.576106e+00	2.638938e+00	1.033931e+03	1.016692e+01	1.016692e+01
2.638938e+00	2.701770e+00	1.069122e+03	1.033850e+01	1.033850e+01
2.701770e+00	2.764602e+00	1.057126e+03	1.028033e+01	1.028033e+01
2.764602e+00	2.827433e+00	1.047944e+03	1.023567e+01	1.023567e+01
2.827433e+00	2.890265e+00	1.055426e+03	1.027206e+01	1.027206e+01
2.890265e+00	2.953097e+00	1.074721e+03	1.036553e+01	1.036553e+01
2.953097e+00	3.015929e+00	1.063124e+03	1.030945e+01	1.030945e+01
3.015929e+00	3.078761e+00	1.046928e+03	1.023062e+01	1.023062e+01
3.078761e+00	3.141593e+00	1.049927e+03	1.024527e+01	1.024527e+01
3.141593e+00	3.204425e+00	1.067923e+03	1.033269e+01	1.033269e+01
3.204425e+00	3.267256e+00	1.067740e+03	1.033189e+01	1.033189e+01
3.267256e+00	3.330088e+00	1.053326e+03	1.026184e+01	1.026184e+01
3.330088e+00	3.392920e+00	1.038530e+03	1.018951e+01	1.018951e+01
3.392920e+00	3.455752e+00	1.073121e+03	1.035781e+01	1.035781e+01
3.455752e+00	3.518584e+00	1.051427e+03	1.025258e+01	1.025258e+01
3.518584e+00	3.581416e+00	1.080219e+03	1.039201e+01	1.039201e+01
3.581416e+00	3.644247e+00	1.071539e+03	1.035025e+01	1.035025e+01
3.644247e+00	3.707079e+00	1.093216e+03	1.045434e+01	1.045434e+01
3.707079e+00	3.769911e+00	1.059125e+03	1.029004e+01	1.029004e+01
3.769911e+00	3.832743e+00	1.059825e+03	1.029344e+01	1.029344e+01
3.832743e+00	3.895575e+00	1.069122e+03	1.033850e+01	1.033850e+01
3.895575e+00	3.958407e+00	1.098215e+03	1.047821e+01	1.047821e+01
3.958407e+00	4.021239e+00	1.067623e+03	1.033124e+01	1.033124e+01
4.021239e+00	4.084070e+00	1.059742e+03	1.029312e+01	1.029312e+01
4.084070e+00	4.146902e+00	1.061324e+03	1.030072e+01	1.030072e+01
4.146902e+00	4.209734e+00	1.066323e+03	1.032495e+01	1.032495e+01
4.209734e+00	4.272566e+00	1.054326e+03	1.026671e+01	1.026671e+01
4.272566e+00	4.335398e+00	1.064424e+03	1.031575e+01	1.031575e+01
4.335398e+00	4.398230e+00	1.072821e+03	1.035636e+01	1.035636e+01
4.398230e+00	4.461062e+00	1.065623e+03	1.032156e+01	1.032156e+01
