# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyHAnalysis/H_O
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyHAnalysis/H_O
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyHAnalysis/H_O
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyHAnalysis/H_O
ScaledBy=3.64509560399297336e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	9.646472e+00	1.486185e-01	1.486185e-01
1.000000e-02	2.000000e-02	1.802674e+01	2.031642e-01	2.031642e-01
2.000000e-02	3.000000e-02	1.661858e+01	1.950678e-01	1.950678e-01
3.000000e-02	4.000000e-02	1.127902e+01	1.607031e-01	1.607031e-01
4.000000e-02	5.000000e-02	7.697944e+00	1.327626e-01	1.327626e-01
5.000000e-02	6.000000e-02	5.545634e+00	1.126845e-01	1.126845e-01
6.000000e-02	7.000000e-02	4.153501e+00	9.752044e-02	9.752044e-02
7.000000e-02	8.000000e-02	3.352109e+00	8.760877e-02	8.760877e-02
8.000000e-02	9.000000e-02	2.640015e+00	7.774844e-02	7.774844e-02
9.000000e-02	1.000000e-01	2.356093e+00	7.344881e-02	7.344881e-02
1.000000e-01	1.100000e-01	2.090489e+00	6.918508e-02	6.918508e-02
1.100000e-01	1.200000e-01	1.728717e+00	6.291447e-02	6.291447e-02
1.200000e-01	1.300000e-01	1.641709e+00	6.131075e-02	6.131075e-02
1.300000e-01	1.400000e-01	1.415030e+00	5.692084e-02	5.692084e-02
1.400000e-01	1.500000e-01	1.183771e+00	5.206217e-02	5.206217e-02
1.500000e-01	1.600000e-01	1.089893e+00	4.995518e-02	4.995518e-02
1.600000e-01	1.700000e-01	9.639603e-01	4.698055e-02	4.698055e-02
1.700000e-01	1.800000e-01	8.357375e-01	4.374450e-02	4.374450e-02
1.800000e-01	1.900000e-01	7.830746e-01	4.234382e-02	4.234382e-02
