# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyHAnalysis/H_TM
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyHAnalysis/H_TM
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyHAnalysis/H_TM
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHbb/Analysis.yoda/MyHAnalysis/H_TM
ScaledBy=3.64509560399297336e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	2.518661e-02	7.594048e-03	7.594048e-03
4.000000e-02	5.000000e-02	7.876540e-01	4.246746e-02	4.246746e-02
5.000000e-02	6.000000e-02	4.606860e+00	1.027049e-01	1.027049e-01
6.000000e-02	7.000000e-02	9.218299e+00	1.452827e-01	1.452827e-01
7.000000e-02	8.000000e-02	1.034712e+01	1.539211e-01	1.539211e-01
8.000000e-02	9.000000e-02	9.955580e+00	1.509808e-01	1.509808e-01
9.000000e-02	1.000000e-01	7.981866e+00	1.351888e-01	1.351888e-01
1.000000e-01	1.100000e-01	6.589733e+00	1.228351e-01	1.228351e-01
1.100000e-01	1.200000e-01	5.561661e+00	1.128472e-01	1.128472e-01
1.200000e-01	1.300000e-01	4.680130e+00	1.035184e-01	1.035184e-01
1.300000e-01	1.400000e-01	4.112286e+00	9.703540e-02	9.703540e-02
1.400000e-01	1.500000e-01	3.663507e+00	9.158767e-02	9.158767e-02
1.500000e-01	1.600000e-01	2.988048e+00	8.271462e-02	8.271462e-02
1.600000e-01	1.700000e-01	2.669781e+00	7.818552e-02	7.818552e-02
1.700000e-01	1.800000e-01	2.269085e+00	7.207984e-02	7.207984e-02
1.800000e-01	1.900000e-01	2.156890e+00	7.027527e-02	7.027527e-02
1.900000e-01	2.000000e-01	1.950817e+00	6.683391e-02	6.683391e-02
2.000000e-01	2.100000e-01	1.749325e+00	6.328834e-02	6.328834e-02
2.100000e-01	2.200000e-01	1.511197e+00	5.882324e-02	5.882324e-02
2.200000e-01	2.300000e-01	1.437926e+00	5.737951e-02	5.737951e-02
2.300000e-01	2.400000e-01	1.323442e+00	5.504792e-02	5.504792e-02
2.400000e-01	2.500000e-01	1.268489e+00	5.389294e-02	5.389294e-02
2.500000e-01	2.600000e-01	1.021203e+00	4.835534e-02	4.835534e-02
2.600000e-01	2.700000e-01	9.960159e-01	4.775531e-02	4.775531e-02
2.700000e-01	2.800000e-01	9.525118e-01	4.670073e-02	4.670073e-02
2.800000e-01	2.900000e-01	8.494757e-01	4.410257e-02	4.410257e-02
2.900000e-01	3.000000e-01	7.739158e-01	4.209547e-02	4.209547e-02
3.000000e-01	3.100000e-01	7.739158e-01	4.209547e-02	4.209547e-02
3.100000e-01	3.200000e-01	7.052251e-01	4.018393e-02	4.018393e-02
3.200000e-01	3.300000e-01	6.594312e-01	3.885735e-02	3.885735e-02
3.300000e-01	3.400000e-01	5.312085e-01	3.487555e-02	3.487555e-02
