# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/EtaCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/EtaCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/EtaCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/EtaCh
ScaledBy=7.45393264114087856e-06
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	9.879524e-05	6.801345e-06	6.801345e-06
-4.900000e+00	-4.800000e+00	1.306345e-04	7.820881e-06	7.820881e-06
-4.800000e+00	-4.700000e+00	1.315709e-04	7.848863e-06	7.848863e-06
-4.700000e+00	-4.600000e+00	1.718382e-04	8.969880e-06	8.969880e-06
-4.600000e+00	-4.500000e+00	2.294297e-04	1.036458e-05	1.036458e-05
-4.500000e+00	-4.400000e+00	2.692287e-04	1.122761e-05	1.122761e-05
-4.400000e+00	-4.300000e+00	3.474221e-04	1.275427e-05	1.275427e-05
-4.300000e+00	-4.200000e+00	4.373211e-04	1.430958e-05	1.430958e-05
-4.200000e+00	-4.100000e+00	4.902304e-04	1.515050e-05	1.515050e-05
-4.100000e+00	-4.000000e+00	6.091593e-04	1.688854e-05	1.688854e-05
-4.000000e+00	-3.900000e+00	7.383891e-04	1.859385e-05	1.859385e-05
-3.900000e+00	-3.800000e+00	8.755787e-04	2.024764e-05	2.024764e-05
-3.800000e+00	-3.700000e+00	1.119523e-03	2.289514e-05	2.289514e-05
-3.700000e+00	-3.600000e+00	1.346612e-03	2.511008e-05	2.511008e-05
-3.600000e+00	-3.500000e+00	1.700589e-03	2.821802e-05	2.821802e-05
-3.500000e+00	-3.400000e+00	2.002125e-03	3.061769e-05	3.061769e-05
-3.400000e+00	-3.300000e+00	2.458644e-03	3.392928e-05	3.392928e-05
-3.300000e+00	-3.200000e+00	2.976499e-03	3.733186e-05	3.733186e-05
-3.200000e+00	-3.100000e+00	3.697564e-03	4.160875e-05	4.160875e-05
-3.100000e+00	-3.000000e+00	4.493545e-03	4.586922e-05	4.586922e-05
-3.000000e+00	-2.900000e+00	5.482434e-03	5.066563e-05	5.066563e-05
-2.900000e+00	-2.800000e+00	6.553262e-03	5.539309e-05	5.539309e-05
-2.800000e+00	-2.700000e+00	8.073585e-03	6.148370e-05	6.148370e-05
-2.700000e+00	-2.600000e+00	9.675847e-03	6.730871e-05	6.730871e-05
-2.600000e+00	-2.500000e+00	1.186105e-02	7.452265e-05	7.452265e-05
-2.500000e+00	-2.400000e+00	1.460812e-02	8.270350e-05	8.270350e-05
-2.400000e+00	-2.300000e+00	1.777659e-02	9.123280e-05	9.123280e-05
-2.300000e+00	-2.200000e+00	2.169281e-02	1.007824e-04	1.007824e-04
-2.200000e+00	-2.100000e+00	2.620321e-02	1.107654e-04	1.107654e-04
-2.100000e+00	-2.000000e+00	3.187106e-02	1.221589e-04	1.221589e-04
-2.000000e+00	-1.900000e+00	3.853764e-02	1.343289e-04	1.343289e-04
-1.900000e+00	-1.800000e+00	4.709209e-02	1.484912e-04	1.484912e-04
-1.800000e+00	-1.700000e+00	5.659141e-02	1.627804e-04	1.627804e-04
-1.700000e+00	-1.600000e+00	6.838550e-02	1.789406e-04	1.789406e-04
-1.600000e+00	-1.500000e+00	8.259750e-02	1.966574e-04	1.966574e-04
-1.500000e+00	-1.400000e+00	9.863651e-02	2.149046e-04	2.149046e-04
-1.400000e+00	-1.300000e+00	1.175706e-01	2.346260e-04	2.346260e-04
-1.300000e+00	-1.200000e+00	1.394713e-01	2.555460e-04	2.555460e-04
-1.200000e+00	-1.100000e+00	1.652025e-01	2.781218e-04	2.781218e-04
-1.100000e+00	-1.000000e+00	1.936316e-01	3.011029e-04	3.011029e-04
-1.000000e+00	-9.000000e-01	2.261109e-01	3.253775e-04	3.253775e-04
-9.000000e-01	-8.000000e-01	2.606073e-01	3.493173e-04	3.493173e-04
-8.000000e-01	-7.000000e-01	2.981823e-01	3.736524e-04	3.736524e-04
-7.000000e-01	-6.000000e-01	3.362676e-01	3.967978e-04	3.967978e-04
-6.000000e-01	-5.000000e-01	3.746676e-01	4.188416e-04	4.188416e-04
-5.000000e-01	-4.000000e-01	4.110453e-01	4.387040e-04	4.387040e-04
-4.000000e-01	-3.000000e-01	4.439868e-01	4.559443e-04	4.559443e-04
-3.000000e-01	-2.000000e-01	4.704807e-01	4.693509e-04	4.693509e-04
-2.000000e-01	-1.000000e-01	4.898769e-01	4.789281e-04	4.789281e-04
-1.000000e-01	0.000000e+00	4.995776e-01	4.836468e-04	4.836468e-04
0.000000e+00	1.000000e-01	5.006521e-01	4.841666e-04	4.841666e-04
1.000000e-01	2.000000e-01	4.916445e-01	4.797913e-04	4.797913e-04
2.000000e-01	3.000000e-01	4.716110e-01	4.699144e-04	4.699144e-04
3.000000e-01	4.000000e-01	4.447701e-01	4.563464e-04	4.563464e-04
4.000000e-01	5.000000e-01	4.118235e-01	4.391191e-04	4.391191e-04
5.000000e-01	6.000000e-01	3.747421e-01	4.188833e-04	4.188833e-04
6.000000e-01	7.000000e-01	3.367817e-01	3.971011e-04	3.971011e-04
7.000000e-01	8.000000e-01	2.979974e-01	3.735365e-04	3.735365e-04
8.000000e-01	9.000000e-01	2.612989e-01	3.497805e-04	3.497805e-04
9.000000e-01	1.000000e+00	2.263525e-01	3.255514e-04	3.255514e-04
1.000000e+00	1.100000e+00	1.940090e-01	3.013962e-04	3.013962e-04
1.100000e+00	1.200000e+00	1.646069e-01	2.776200e-04	2.776200e-04
1.200000e+00	1.300000e+00	1.393322e-01	2.554186e-04	2.554186e-04
1.300000e+00	1.400000e+00	1.175523e-01	2.346077e-04	2.346077e-04
1.400000e+00	1.500000e+00	9.855364e-02	2.148143e-04	2.148143e-04
1.500000e+00	1.600000e+00	8.201691e-02	1.959650e-04	1.959650e-04
1.600000e+00	1.700000e+00	6.815327e-02	1.786365e-04	1.786365e-04
1.700000e+00	1.800000e+00	5.670894e-02	1.629493e-04	1.629493e-04
1.800000e+00	1.900000e+00	4.684112e-02	1.480950e-04	1.480950e-04
1.900000e+00	2.000000e+00	3.859476e-02	1.344284e-04	1.344284e-04
2.000000e+00	2.100000e+00	3.203962e-02	1.224815e-04	1.224815e-04
2.100000e+00	2.200000e+00	2.625004e-02	1.108643e-04	1.108643e-04
2.200000e+00	2.300000e+00	2.151536e-02	1.003693e-04	1.003693e-04
2.300000e+00	2.400000e+00	1.781311e-02	9.132647e-05	9.132647e-05
2.400000e+00	2.500000e+00	1.465915e-02	8.284785e-05	8.284785e-05
2.500000e+00	2.600000e+00	1.210171e-02	7.527491e-05	7.527491e-05
2.600000e+00	2.700000e+00	9.920260e-03	6.815353e-05	6.815353e-05
2.700000e+00	2.800000e+00	8.035190e-03	6.133733e-05	6.133733e-05
2.800000e+00	2.900000e+00	6.671722e-03	5.589150e-05	5.589150e-05
2.900000e+00	3.000000e+00	5.405177e-03	5.030739e-05	5.030739e-05
3.000000e+00	3.100000e+00	4.420970e-03	4.549730e-05	4.549730e-05
3.100000e+00	3.200000e+00	3.609538e-03	4.111049e-05	4.111049e-05
3.200000e+00	3.300000e+00	2.994760e-03	3.744620e-05	3.744620e-05
3.300000e+00	3.400000e+00	2.398243e-03	3.350992e-05	3.350992e-05
3.400000e+00	3.500000e+00	2.015236e-03	3.071777e-05	3.071777e-05
3.500000e+00	3.600000e+00	1.621459e-03	2.755369e-05	2.755369e-05
3.600000e+00	3.700000e+00	1.333970e-03	2.499193e-05	2.499193e-05
3.700000e+00	3.800000e+00	1.085811e-03	2.254779e-05	2.254779e-05
3.800000e+00	3.900000e+00	8.872843e-04	2.038253e-05	2.038253e-05
3.900000e+00	4.000000e+00	7.397937e-04	1.861153e-05	1.861153e-05
4.000000e+00	4.100000e+00	6.049453e-04	1.683003e-05	1.683003e-05
4.100000e+00	4.200000e+00	4.967855e-04	1.525146e-05	1.525146e-05
4.200000e+00	4.300000e+00	4.298295e-04	1.418649e-05	1.418649e-05
4.300000e+00	4.400000e+00	3.432081e-04	1.267668e-05	1.267668e-05
4.400000e+00	4.500000e+00	2.593960e-04	1.102068e-05	1.102068e-05
4.500000e+00	4.600000e+00	2.167877e-04	1.007498e-05	1.007498e-05
4.600000e+00	4.700000e+00	1.727746e-04	8.994287e-06	8.994287e-06
4.700000e+00	4.800000e+00	1.587279e-04	8.620916e-06	8.620916e-06
4.800000e+00	4.900000e+00	1.226747e-04	7.578866e-06	7.578866e-06
4.900000e+00	5.000000e+00	1.016046e-04	6.897368e-06	6.897368e-06
# END HISTO1D

