# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/PtCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/PtCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/PtCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/PtCh
ScaledBy=7.45393264114087856e-06
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	3.598431e-01	1.059834e-04	1.059834e-04
1.500000e+00	3.000000e+00	1.274734e-01	6.307989e-05	6.307989e-05
3.000000e+00	4.500000e+00	6.332713e-02	4.446067e-05	4.446067e-05
4.500000e+00	6.000000e+00	3.715301e-02	3.405479e-05	3.405479e-05
6.000000e+00	7.500000e+00	2.355681e-02	2.711686e-05	2.711686e-05
7.500000e+00	9.000000e+00	1.563297e-02	2.209031e-05	2.209031e-05
9.000000e+00	1.050000e+01	1.071886e-02	1.829176e-05	1.829176e-05
1.050000e+01	1.200000e+01	7.531380e-03	1.533269e-05	1.533269e-05
1.200000e+01	1.350000e+01	5.390412e-03	1.297156e-05	1.297156e-05
1.350000e+01	1.500000e+01	3.922561e-03	1.106537e-05	1.106537e-05
1.500000e+01	1.650000e+01	2.873271e-03	9.470426e-06	9.470426e-06
1.650000e+01	1.800000e+01	2.152675e-03	8.197292e-06	8.197292e-06
1.800000e+01	1.950000e+01	1.620335e-03	7.111868e-06	7.111868e-06
1.950000e+01	2.100000e+01	1.230992e-03	6.198816e-06	6.198816e-06
2.100000e+01	2.250000e+01	9.517120e-04	5.450470e-06	5.450470e-06
2.250000e+01	2.400000e+01	7.171627e-04	4.731404e-06	4.731404e-06
2.400000e+01	2.550000e+01	5.637728e-04	4.195012e-06	4.195012e-06
2.550000e+01	2.700000e+01	4.330759e-04	3.676742e-06	3.676742e-06
2.700000e+01	2.850000e+01	3.389005e-04	3.252499e-06	3.252499e-06
2.850000e+01	3.000000e+01	2.690103e-04	2.897781e-06	2.897781e-06
3.000000e+01	3.150000e+01	2.103886e-04	2.562668e-06	2.562668e-06
3.150000e+01	3.300000e+01	1.652206e-04	2.270980e-06	2.270980e-06
3.300000e+01	3.450000e+01	1.284182e-04	2.002140e-06	2.002140e-06
3.450000e+01	3.600000e+01	1.007930e-04	1.773766e-06	1.773766e-06
3.600000e+01	3.750000e+01	8.268833e-05	1.606583e-06	1.606583e-06
3.750000e+01	3.900000e+01	6.345995e-05	1.407444e-06	1.407444e-06
3.900000e+01	4.050000e+01	5.116127e-05	1.263723e-06	1.263723e-06
4.050000e+01	4.200000e+01	3.973660e-05	1.113721e-06	1.113721e-06
4.200000e+01	4.350000e+01	2.959175e-05	9.610954e-07	9.610954e-07
4.350000e+01	4.500000e+01	2.344241e-05	8.554256e-07	8.554256e-07
4.500000e+01	4.650000e+01	1.638783e-05	7.152237e-07	7.152237e-07
4.650000e+01	4.800000e+01	1.398429e-05	6.606955e-07	6.606955e-07
4.800000e+01	4.950000e+01	1.080037e-05	5.806312e-07	5.806312e-07
4.950000e+01	5.100000e+01	8.396813e-06	5.119628e-07	5.119628e-07
5.100000e+01	5.250000e+01	5.868406e-06	4.279975e-07	4.279975e-07
5.250000e+01	5.400000e+01	4.494949e-06	3.745791e-07	3.745791e-07
5.400000e+01	5.550000e+01	2.715699e-06	2.911534e-07	2.911534e-07
5.550000e+01	5.700000e+01	2.216260e-06	2.630217e-07	2.630217e-07
5.700000e+01	5.850000e+01	1.560746e-06	2.207229e-07	2.207229e-07
5.850000e+01	6.000000e+01	1.591961e-06	2.229191e-07	2.229191e-07
