# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/RapidityCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/RapidityCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/RapidityCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/RapidityCh
ScaledBy=7.45393264114087856e-06
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	8.428030e-06	1.986506e-06	1.986506e-06
-4.900000e+00	-4.800000e+00	1.170560e-05	2.341119e-06	2.341119e-06
-4.800000e+00	-4.700000e+00	1.451494e-05	2.606960e-06	2.606960e-06
-4.700000e+00	-4.600000e+00	1.685606e-05	2.809343e-06	2.809343e-06
-4.600000e+00	-4.500000e+00	2.762521e-05	3.596496e-06	3.596496e-06
-4.500000e+00	-4.400000e+00	4.401305e-05	4.539599e-06	4.539599e-06
-4.400000e+00	-4.300000e+00	5.337752e-05	4.999263e-06	4.999263e-06
-4.300000e+00	-4.200000e+00	7.725694e-05	6.014445e-06	6.014445e-06
-4.200000e+00	-4.100000e+00	9.926347e-05	6.817443e-06	6.817443e-06
-4.100000e+00	-4.000000e+00	1.362532e-04	7.987301e-06	7.987301e-06
-4.000000e+00	-3.900000e+00	1.812026e-04	9.211048e-06	9.211048e-06
-3.900000e+00	-3.800000e+00	2.495633e-04	1.080979e-05	1.080979e-05
-3.800000e+00	-3.700000e+00	3.338436e-04	1.250254e-05	1.250254e-05
-3.700000e+00	-3.600000e+00	4.129735e-04	1.390554e-05	1.390554e-05
-3.600000e+00	-3.500000e+00	6.044770e-04	1.682351e-05	1.682351e-05
-3.500000e+00	-3.400000e+00	8.030040e-04	1.939035e-05	1.939035e-05
-3.400000e+00	-3.300000e+00	1.017451e-03	2.182647e-05	2.182647e-05
-3.300000e+00	-3.200000e+00	1.365341e-03	2.528409e-05	2.528409e-05
-3.200000e+00	-3.100000e+00	1.787679e-03	2.893154e-05	2.893154e-05
-3.100000e+00	-3.000000e+00	2.210485e-03	3.217145e-05	3.217145e-05
-3.000000e+00	-2.900000e+00	2.921717e-03	3.698673e-05	3.698673e-05
-2.900000e+00	-2.800000e+00	3.762179e-03	4.197073e-05	4.197073e-05
-2.800000e+00	-2.700000e+00	4.809596e-03	4.745490e-05	4.745490e-05
-2.700000e+00	-2.600000e+00	6.127178e-03	5.356203e-05	5.356203e-05
-2.600000e+00	-2.500000e+00	7.875526e-03	6.072486e-05	6.072486e-05
-2.500000e+00	-2.400000e+00	1.002374e-02	6.850805e-05	6.850805e-05
-2.400000e+00	-2.300000e+00	1.254700e-02	7.664726e-05	7.664726e-05
-2.300000e+00	-2.200000e+00	1.610877e-02	8.684764e-05	8.684764e-05
-2.200000e+00	-2.100000e+00	2.021603e-02	9.729147e-05	9.729147e-05
-2.100000e+00	-2.000000e+00	2.542362e-02	1.091052e-04	1.091052e-04
-2.000000e+00	-1.900000e+00	3.180411e-02	1.220305e-04	1.220305e-04
-1.900000e+00	-1.800000e+00	3.957569e-02	1.361260e-04	1.361260e-04
-1.800000e+00	-1.700000e+00	4.910966e-02	1.516388e-04	1.516388e-04
-1.700000e+00	-1.600000e+00	6.075392e-02	1.686607e-04	1.686607e-04
-1.600000e+00	-1.500000e+00	7.484559e-02	1.872017e-04	1.872017e-04
-1.500000e+00	-1.400000e+00	9.107423e-02	2.065021e-04	2.065021e-04
-1.400000e+00	-1.300000e+00	1.107275e-01	2.276955e-04	2.276955e-04
-1.300000e+00	-1.200000e+00	1.338306e-01	2.503251e-04	2.503251e-04
-1.200000e+00	-1.100000e+00	1.606359e-01	2.742509e-04	2.742509e-04
-1.100000e+00	-1.000000e+00	1.907778e-01	2.988758e-04	2.988758e-04
-1.000000e+00	-9.000000e-01	2.248739e-01	3.244862e-04	3.244862e-04
-9.000000e-01	-8.000000e-01	2.625374e-01	3.506085e-04	3.506085e-04
-8.000000e-01	-7.000000e-01	3.032040e-01	3.767856e-04	3.767856e-04
-7.000000e-01	-6.000000e-01	3.439104e-01	4.012818e-04	4.012818e-04
-6.000000e-01	-5.000000e-01	3.863081e-01	4.252984e-04	4.252984e-04
-5.000000e-01	-4.000000e-01	4.254928e-01	4.463473e-04	4.463473e-04
-4.000000e-01	-3.000000e-01	4.620120e-01	4.651075e-04	4.651075e-04
-3.000000e-01	-2.000000e-01	4.909711e-01	4.794626e-04	4.794626e-04
-2.000000e-01	-1.000000e-01	5.123254e-01	4.897785e-04	4.897785e-04
-1.000000e-01	0.000000e+00	5.230435e-01	4.948752e-04	4.948752e-04
0.000000e+00	1.000000e-01	5.240886e-01	4.953694e-04	4.953694e-04
1.000000e-01	2.000000e-01	5.141140e-01	4.906328e-04	4.906328e-04
2.000000e-01	3.000000e-01	4.921248e-01	4.800256e-04	4.800256e-04
3.000000e-01	4.000000e-01	4.627326e-01	4.654701e-04	4.654701e-04
4.000000e-01	5.000000e-01	4.264190e-01	4.468329e-04	4.468329e-04
5.000000e-01	6.000000e-01	3.861831e-01	4.252296e-04	4.252296e-04
6.000000e-01	7.000000e-01	3.444400e-01	4.015906e-04	4.015906e-04
7.000000e-01	8.000000e-01	3.028585e-01	3.765708e-04	3.765708e-04
8.000000e-01	9.000000e-01	2.629714e-01	3.508981e-04	3.508981e-04
9.000000e-01	1.000000e+00	2.256352e-01	3.250351e-04	3.250351e-04
1.000000e+00	1.100000e+00	1.908509e-01	2.989330e-04	2.989330e-04
1.100000e+00	1.200000e+00	1.600633e-01	2.737617e-04	2.737617e-04
1.200000e+00	1.300000e+00	1.334742e-01	2.499917e-04	2.499917e-04
1.300000e+00	1.400000e+00	1.110580e-01	2.280351e-04	2.280351e-04
1.400000e+00	1.500000e+00	9.123155e-02	2.066804e-04	2.066804e-04
1.500000e+00	1.600000e+00	7.427810e-02	1.864907e-04	1.864907e-04
1.600000e+00	1.700000e+00	6.050342e-02	1.683127e-04	1.683127e-04
1.700000e+00	1.800000e+00	4.896451e-02	1.514145e-04	1.514145e-04
1.800000e+00	1.900000e+00	3.963141e-02	1.362218e-04	1.362218e-04
1.900000e+00	2.000000e+00	3.179662e-02	1.220161e-04	1.220161e-04
2.000000e+00	2.100000e+00	2.540021e-02	1.090550e-04	1.090550e-04
2.100000e+00	2.200000e+00	2.025630e-02	9.738832e-05	9.738832e-05
2.200000e+00	2.300000e+00	1.604369e-02	8.667203e-05	8.667203e-05
2.300000e+00	2.400000e+00	1.274178e-02	7.723991e-05	7.723991e-05
2.400000e+00	2.500000e+00	1.016280e-02	6.898164e-05	6.898164e-05
2.500000e+00	2.600000e+00	7.941077e-03	6.097706e-05	6.097706e-05
2.600000e+00	2.700000e+00	6.209585e-03	5.392102e-05	5.392102e-05
2.700000e+00	2.800000e+00	4.784312e-03	4.733000e-05	4.733000e-05
2.800000e+00	2.900000e+00	3.739704e-03	4.184518e-05	4.184518e-05
2.900000e+00	3.000000e+00	2.926399e-03	3.701635e-05	3.701635e-05
3.000000e+00	3.100000e+00	2.261990e-03	3.254409e-05	3.254409e-05
3.100000e+00	3.200000e+00	1.712763e-03	2.831884e-05	2.831884e-05
3.200000e+00	3.300000e+00	1.303535e-03	2.470519e-05	2.470519e-05
3.300000e+00	3.400000e+00	9.678188e-04	2.128746e-05	2.128746e-05
3.400000e+00	3.500000e+00	7.510311e-04	1.875235e-05	1.875235e-05
3.500000e+00	3.600000e+00	5.590593e-04	1.617915e-05	1.617915e-05
3.600000e+00	3.700000e+00	4.368529e-04	1.430192e-05	1.430192e-05
3.700000e+00	3.800000e+00	3.296296e-04	1.242339e-05	1.242339e-05
3.800000e+00	3.900000e+00	2.542456e-04	1.091072e-05	1.091072e-05
3.900000e+00	4.000000e+00	1.760522e-04	9.079198e-06	9.079198e-06
4.000000e+00	4.100000e+00	1.250158e-04	7.650841e-06	7.650841e-06
4.100000e+00	4.200000e+00	1.184606e-04	7.447557e-06	7.447557e-06
4.200000e+00	4.300000e+00	7.585227e-05	5.959518e-06	5.959518e-06
4.300000e+00	4.400000e+00	5.525042e-05	5.086214e-06	5.086214e-06
4.400000e+00	4.500000e+00	4.494949e-05	4.587639e-06	4.587639e-06
4.500000e+00	4.600000e+00	2.060185e-05	3.105846e-06	3.105846e-06
4.600000e+00	4.700000e+00	2.200652e-05	3.209981e-06	3.209981e-06
4.700000e+00	4.800000e+00	1.732428e-05	2.848095e-06	2.848095e-06
4.800000e+00	4.900000e+00	8.896254e-06	2.040941e-06	2.040941e-06
4.900000e+00	5.000000e+00	4.682239e-06	1.480654e-06	1.480654e-06
# END HISTO1D

