# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyFSAnalysis/PhiCh
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyFSAnalysis/PhiCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyFSAnalysis/PhiCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyFSAnalysis/PhiCh
ScaledBy=1.00000000000000000e+00
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	4.833775e+01	4.861073e-01	4.861073e-01
6.283185e-02	1.256637e-01	4.958431e+01	4.923354e-01	4.923354e-01
1.256637e-01	1.884956e-01	4.892432e+01	4.890477e-01	4.890477e-01
1.884956e-01	2.513274e-01	4.870441e+01	4.879477e-01	4.879477e-01
2.513274e-01	3.141593e-01	4.849414e+01	4.868928e-01	4.868928e-01
3.141593e-01	3.769911e-01	4.996077e+01	4.942011e-01	4.942011e-01
3.769911e-01	4.398230e-01	4.835725e+01	4.862052e-01	4.862052e-01
4.398230e-01	5.026548e-01	4.976034e+01	4.932088e-01	4.932088e-01
5.026548e-01	5.654867e-01	4.870434e+01	4.879469e-01	4.879469e-01
5.654867e-01	6.283185e-01	4.934971e+01	4.911695e-01	4.911695e-01
6.283185e-01	6.911504e-01	4.942784e+01	4.915578e-01	4.915578e-01
6.911504e-01	7.539822e-01	4.879241e+01	4.883883e-01	4.883883e-01
7.539822e-01	8.168141e-01	4.915409e+01	4.901947e-01	4.901947e-01
8.168141e-01	8.796459e-01	4.894396e+01	4.891462e-01	4.891462e-01
8.796459e-01	9.424778e-01	4.952561e+01	4.920437e-01	4.920437e-01
9.424778e-01	1.005310e+00	4.862590e+01	4.875526e-01	4.875526e-01
1.005310e+00	1.068142e+00	4.814208e+01	4.851219e-01	4.851219e-01
1.068142e+00	1.130973e+00	4.818685e+01	4.853512e-01	4.853512e-01
1.130973e+00	1.193805e+00	4.758968e+01	4.823306e-01	4.823306e-01
1.193805e+00	1.256637e+00	4.792209e+01	4.840123e-01	4.840123e-01
1.256637e+00	1.319469e+00	4.799543e+01	4.843824e-01	4.843824e-01
1.319469e+00	1.382301e+00	4.815675e+01	4.851958e-01	4.851958e-01
1.382301e+00	1.445133e+00	4.755058e+01	4.821324e-01	4.821324e-01
1.445133e+00	1.507964e+00	4.810374e+01	4.849325e-01	4.849325e-01
1.507964e+00	1.570796e+00	4.809809e+01	4.849002e-01	4.849002e-01
1.570796e+00	1.633628e+00	4.856739e+01	4.872600e-01	4.872600e-01
1.633628e+00	1.696460e+00	4.786345e+01	4.837159e-01	4.837159e-01
1.696460e+00	1.759292e+00	4.725237e+01	4.806182e-01	4.806182e-01
1.759292e+00	1.822124e+00	4.827897e+01	4.858111e-01	4.858111e-01
1.822124e+00	1.884956e+00	4.833763e+01	4.861061e-01	4.861061e-01
1.884956e+00	1.947787e+00	4.813307e+01	4.850804e-01	4.850804e-01
1.947787e+00	2.010619e+00	4.840607e+01	4.864501e-01	4.864501e-01
2.010619e+00	2.073451e+00	4.777545e+01	4.832711e-01	4.832711e-01
2.073451e+00	2.136283e+00	4.857716e+01	4.873091e-01	4.873091e-01
2.136283e+00	2.199115e+00	4.836206e+01	4.862290e-01	4.862290e-01
2.199115e+00	2.261947e+00	4.732081e+01	4.809662e-01	4.809662e-01
2.261947e+00	2.324779e+00	4.753591e+01	4.820580e-01	4.820580e-01
2.324779e+00	2.387610e+00	4.873925e+01	4.881253e-01	4.881253e-01
2.387610e+00	2.450442e+00	4.722793e+01	4.804939e-01	4.804939e-01
2.450442e+00	2.513274e+00	4.862605e+01	4.875542e-01	4.875542e-01
2.513274e+00	2.576106e+00	4.832296e+01	4.860324e-01	4.860324e-01
2.576106e+00	2.638938e+00	4.716928e+01	4.801954e-01	4.801954e-01
2.638938e+00	2.701770e+00	4.799543e+01	4.843824e-01	4.843824e-01
2.701770e+00	2.764602e+00	4.751146e+01	4.819341e-01	4.819341e-01
2.764602e+00	2.827433e+00	4.863660e+01	4.876110e-01	4.876110e-01
