# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyFSAnalysis/Rapidity
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyFSAnalysis/Rapidity
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyFSAnalysis/Rapidity
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyFSAnalysis/Rapidity
ScaledBy=1.54670575392064466e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	6.651100e-05	1.777581e-05	1.777581e-05
-4.900000e+00	-4.800000e+00	9.501571e-05	2.124616e-05	2.124616e-05
-4.800000e+00	-4.700000e+00	1.235204e-04	2.422435e-05	2.422435e-05
-4.700000e+00	-4.600000e+00	1.187696e-04	2.375393e-05	2.375393e-05
-4.600000e+00	-4.500000e+00	1.425236e-04	2.602112e-05	2.602112e-05
-4.500000e+00	-4.400000e+00	1.567759e-04	2.729119e-05	2.729119e-05
-4.400000e+00	-4.300000e+00	1.805299e-04	2.928581e-05	2.928581e-05
-4.300000e+00	-4.200000e+00	2.232869e-04	3.256974e-05	3.256974e-05
-4.200000e+00	-4.100000e+00	2.612932e-04	3.523277e-05	3.523277e-05
-4.100000e+00	-4.000000e+00	4.133184e-04	4.431238e-05	4.431238e-05
-4.000000e+00	-3.900000e+00	4.513246e-04	4.630493e-05	4.630493e-05
-3.900000e+00	-3.800000e+00	5.083341e-04	4.914251e-05	4.914251e-05
-3.800000e+00	-3.700000e+00	6.983655e-04	5.760022e-05	5.760022e-05
-3.700000e+00	-3.600000e+00	8.408891e-04	6.320509e-05	6.320509e-05
-3.600000e+00	-3.500000e+00	1.116435e-03	7.282817e-05	7.282817e-05
-3.500000e+00	-3.400000e+00	1.396731e-03	8.145901e-05	8.145901e-05
-3.400000e+00	-3.300000e+00	1.534504e-03	8.538208e-05	8.538208e-05
-3.300000e+00	-3.200000e+00	2.185361e-03	1.018930e-04	1.018930e-04
-3.200000e+00	-3.100000e+00	2.536920e-03	1.097832e-04	1.097832e-04
-3.100000e+00	-3.000000e+00	3.306547e-03	1.253344e-04	1.253344e-04
-3.000000e+00	-2.900000e+00	4.147436e-03	1.403694e-04	1.403694e-04
-2.900000e+00	-2.800000e+00	5.111845e-03	1.558374e-04	1.558374e-04
-2.800000e+00	-2.700000e+00	6.009744e-03	1.689704e-04	1.689704e-04
-2.700000e+00	-2.600000e+00	7.539497e-03	1.892578e-04	1.892578e-04
-2.600000e+00	-2.500000e+00	9.677350e-03	2.144179e-04	2.144179e-04
-2.500000e+00	-2.400000e+00	1.210500e-02	2.398088e-04	2.398088e-04
-2.400000e+00	-2.300000e+00	1.439013e-02	2.614659e-04	2.614659e-04
-2.300000e+00	-2.200000e+00	1.791046e-02	2.916998e-04	2.916998e-04
-2.200000e+00	-2.100000e+00	2.176335e-02	3.215478e-04	3.215478e-04
-2.100000e+00	-2.000000e+00	2.755456e-02	3.618091e-04	3.618091e-04
-2.000000e+00	-1.900000e+00	3.416290e-02	4.028655e-04	4.028655e-04
-1.900000e+00	-1.800000e+00	4.175466e-02	4.453846e-04	4.453846e-04
-1.800000e+00	-1.700000e+00	5.207336e-02	4.973825e-04	4.973825e-04
-1.700000e+00	-1.600000e+00	6.307618e-02	5.474134e-04	5.474134e-04
-1.600000e+00	-1.500000e+00	7.698648e-02	6.047696e-04	6.047696e-04
-1.500000e+00	-1.400000e+00	9.418908e-02	6.689336e-04	6.689336e-04
-1.400000e+00	-1.300000e+00	1.145557e-01	7.377192e-04	7.377192e-04
-1.300000e+00	-1.200000e+00	1.371552e-01	8.072143e-04	8.072143e-04
-1.200000e+00	-1.100000e+00	1.620398e-01	8.773918e-04	8.773918e-04
-1.100000e+00	-1.000000e+00	1.915944e-01	9.540567e-04	9.540567e-04
-1.000000e+00	-9.000000e-01	2.224698e-01	1.028059e-03	1.028059e-03
-9.000000e-01	-8.000000e-01	2.599820e-01	1.111359e-03	1.111359e-03
-8.000000e-01	-7.000000e-01	2.984681e-01	1.190780e-03	1.190780e-03
-7.000000e-01	-6.000000e-01	3.419711e-01	1.274610e-03	1.274610e-03
-6.000000e-01	-5.000000e-01	3.814738e-01	1.346217e-03	1.346217e-03
-5.000000e-01	-4.000000e-01	4.209814e-01	1.414211e-03	1.414211e-03
-4.000000e-01	-3.000000e-01	4.566028e-01	1.472828e-03	1.472828e-03
-3.000000e-01	-2.000000e-01	4.882287e-01	1.522981e-03	1.522981e-03
-2.000000e-01	-1.000000e-01	5.055881e-01	1.549820e-03	1.549820e-03
-1.000000e-01	0.000000e+00	5.134982e-01	1.561896e-03	1.561896e-03
0.000000e+00	1.000000e-01	5.109042e-01	1.557946e-03	1.557946e-03
1.000000e-01	2.000000e-01	5.007281e-01	1.542353e-03	1.542353e-03
2.000000e-01	3.000000e-01	4.822570e-01	1.513638e-03	1.513638e-03
3.000000e-01	4.000000e-01	4.583558e-01	1.475652e-03	1.475652e-03
4.000000e-01	5.000000e-01	4.189243e-01	1.410751e-03	1.410751e-03
5.000000e-01	6.000000e-01	3.837590e-01	1.350243e-03	1.350243e-03
6.000000e-01	7.000000e-01	3.403985e-01	1.271676e-03	1.271676e-03
7.000000e-01	8.000000e-01	2.987342e-01	1.191311e-03	1.191311e-03
8.000000e-01	9.000000e-01	2.616733e-01	1.114968e-03	1.114968e-03
