# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyFSAnalysis/RapidityCh
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyFSAnalysis/RapidityCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyFSAnalysis/RapidityCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyFSAnalysis/RapidityCh
ScaledBy=3.28728813008777451e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.900000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.700000e+00	5.048537e-05	2.257774e-05	2.257774e-05
-4.700000e+00	-4.600000e+00	3.029122e-05	1.748864e-05	1.748864e-05
-4.600000e+00	-4.500000e+00	8.077659e-05	2.855884e-05	2.855884e-05
-4.500000e+00	-4.400000e+00	5.048537e-05	2.257774e-05	2.257774e-05
-4.400000e+00	-4.300000e+00	3.029122e-05	1.748864e-05	1.748864e-05
-4.300000e+00	-4.200000e+00	8.077659e-05	2.855884e-05	2.855884e-05
-4.200000e+00	-4.100000e+00	1.110678e-04	3.348821e-05	3.348821e-05
-4.100000e+00	-4.000000e+00	1.312620e-04	3.640552e-05	3.640552e-05
-4.000000e+00	-3.900000e+00	1.817473e-04	4.283825e-05	4.283825e-05
-3.900000e+00	-3.800000e+00	2.120385e-04	4.627061e-05	4.627061e-05
-3.800000e+00	-3.700000e+00	3.029122e-04	5.530395e-05	5.530395e-05
-3.700000e+00	-3.600000e+00	4.139800e-04	6.465281e-05	6.465281e-05
-3.600000e+00	-3.500000e+00	6.260185e-04	7.950443e-05	7.950443e-05
-3.500000e+00	-3.400000e+00	8.986395e-04	9.525560e-05	9.525560e-05
-3.400000e+00	-3.300000e+00	9.592220e-04	9.841409e-05	9.841409e-05
-3.300000e+00	-3.200000e+00	1.221746e-03	1.110678e-04	1.110678e-04
-3.200000e+00	-3.100000e+00	1.686211e-03	1.304829e-04	1.304829e-04
-3.100000e+00	-3.000000e+00	2.170871e-03	1.480522e-04	1.480522e-04
-3.000000e+00	-2.900000e+00	2.958442e-03	1.728341e-04	1.728341e-04
-2.900000e+00	-2.800000e+00	3.857082e-03	1.973455e-04	1.973455e-04
-2.800000e+00	-2.700000e+00	4.271062e-03	2.076662e-04	2.076662e-04
-2.700000e+00	-2.600000e+00	5.543293e-03	2.365820e-04	2.365820e-04
-2.600000e+00	-2.500000e+00	7.825232e-03	2.810906e-04	2.810906e-04
-2.500000e+00	-2.400000e+00	9.915326e-03	3.164108e-04	3.164108e-04
-2.400000e+00	-2.300000e+00	1.217707e-02	3.506463e-04	3.506463e-04
-2.300000e+00	-2.200000e+00	1.486289e-02	3.873909e-04	3.873909e-04
-2.200000e+00	-2.100000e+00	1.913395e-02	4.395417e-04	4.395417e-04
-2.100000e+00	-2.000000e+00	2.469744e-02	4.993715e-04	4.993715e-04
-2.000000e+00	-1.900000e+00	3.042248e-02	5.542364e-04	5.542364e-04
-1.900000e+00	-1.800000e+00	3.782364e-02	6.179871e-04	6.179871e-04
-1.800000e+00	-1.700000e+00	4.792071e-02	6.955997e-04	6.955997e-04
-1.700000e+00	-1.600000e+00	5.829040e-02	7.671783e-04	7.671783e-04
