# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyHAnalysis/H_O
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyHAnalysis/H_O
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyHAnalysis/H_O
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyHAnalysis/H_O
ScaledBy=7.46083402149878283e-02
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.133442e+01	1.611655e-01	1.611655e-01
1.000000e-02	2.000000e-02	1.814057e+01	2.038910e-01	2.038910e-01
2.000000e-02	3.000000e-02	1.401334e+01	1.792022e-01	1.792022e-01
3.000000e-02	4.000000e-02	9.941105e+00	1.509350e-01	1.509350e-01
4.000000e-02	5.000000e-02	7.143021e+00	1.279421e-01	1.279421e-01
5.000000e-02	6.000000e-02	5.477003e+00	1.120325e-01	1.120325e-01
6.000000e-02	7.000000e-02	4.285354e+00	9.909823e-02	9.909823e-02
7.000000e-02	8.000000e-02	3.765153e+00	9.288892e-02	9.288892e-02
8.000000e-02	9.000000e-02	3.013498e+00	8.310134e-02	8.310134e-02
9.000000e-02	1.000000e-01	2.651420e+00	7.794922e-02	7.794922e-02
1.000000e-01	1.100000e-01	2.128927e+00	6.984784e-02	6.984784e-02
1.100000e-01	1.200000e-01	2.062470e+00	6.874900e-02	6.874900e-02
1.200000e-01	1.300000e-01	1.741641e+00	6.317597e-02	6.317597e-02
1.300000e-01	1.400000e-01	1.594977e+00	6.045744e-02	6.045744e-02
1.400000e-01	1.500000e-01	1.285606e+00	5.427834e-02	5.427834e-02
1.500000e-01	1.600000e-01	1.077068e+00	4.968143e-02	4.968143e-02
1.600000e-01	1.700000e-01	9.716525e-01	4.718761e-02	4.718761e-02
1.700000e-01	1.800000e-01	9.854023e-01	4.752032e-02	4.752032e-02
1.800000e-01	1.900000e-01	7.333226e-01	4.099399e-02	4.099399e-02
1.900000e-01	2.000000e-01	7.768637e-01	4.219345e-02	4.219345e-02
2.000000e-01	2.100000e-01	6.851983e-01	3.962604e-02	3.962604e-02
2.100000e-01	2.200000e-01	6.462406e-01	3.848306e-02	3.848306e-02
2.200000e-01	2.300000e-01	5.156175e-01	3.437450e-02	3.437450e-02
