# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyHAnalysis/H_TM
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyHAnalysis/H_TM
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyHAnalysis/H_TM
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyHAnalysis/H_TM
ScaledBy=7.46083402149878283e-02
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	2.291633e-03	2.291633e-03	2.291633e-03
2.000000e-02	3.000000e-02	2.818709e-01	2.541544e-02	2.541544e-02
3.000000e-02	4.000000e-02	2.335174e+00	7.315301e-02	7.315301e-02
4.000000e-02	5.000000e-02	5.399088e+00	1.112328e-01	1.112328e-01
5.000000e-02	6.000000e-02	8.231547e+00	1.373451e-01	1.373451e-01
6.000000e-02	7.000000e-02	8.843413e+00	1.423582e-01	1.423582e-01
7.000000e-02	8.000000e-02	8.229255e+00	1.373260e-01	1.373260e-01
8.000000e-02	9.000000e-02	7.214061e+00	1.285767e-01	1.285767e-01
9.000000e-02	1.000000e-01	6.324908e+00	1.203926e-01	1.203926e-01
1.000000e-01	1.100000e-01	5.286798e+00	1.100700e-01	1.100700e-01
1.100000e-01	1.200000e-01	4.647432e+00	1.031999e-01	1.031999e-01
1.200000e-01	1.300000e-01	3.934734e+00	9.495772e-02	9.495772e-02
1.300000e-01	1.400000e-01	3.604739e+00	9.088861e-02	9.088861e-02
1.400000e-01	1.500000e-01	3.279327e+00	8.668919e-02	8.668919e-02
1.500000e-01	1.600000e-01	2.960790e+00	8.237138e-02	8.237138e-02
