# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyZAnalysis/Z_pT_peak
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyZAnalysis/Z_pT_peak
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyZAnalysis/Z_pT_peak
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHcc/Analysis.yoda/MyZAnalysis/Z_pT_peak
ScaledBy=7.46083402149878283e-02
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	4.020000e+01	2.635378e-02	1.737717e-03	1.737717e-03
4.020000e+01	4.040000e+01	2.612462e-02	1.730145e-03	1.730145e-03
4.040000e+01	4.060000e+01	2.543713e-02	1.707228e-03	1.707228e-03
4.060000e+01	4.080000e+01	2.555171e-02	1.711069e-03	1.711069e-03
4.080000e+01	4.100000e+01	2.394756e-02	1.656488e-03	1.656488e-03
4.100000e+01	4.120000e+01	2.795792e-02	1.789823e-03	1.789823e-03
4.120000e+01	4.140000e+01	2.497880e-02	1.691778e-03	1.691778e-03
4.140000e+01	4.160000e+01	2.520796e-02	1.699521e-03	1.699521e-03
4.160000e+01	4.180000e+01	2.979123e-02	1.847574e-03	1.847574e-03
4.180000e+01	4.200000e+01	2.612462e-02	1.730145e-03	1.730145e-03
4.200000e+01	4.220000e+01	3.002039e-02	1.854666e-03	1.854666e-03
4.220000e+01	4.240000e+01	2.738502e-02	1.771389e-03	1.771389e-03
4.240000e+01	4.260000e+01	2.784334e-02	1.786152e-03	1.786152e-03
4.260000e+01	4.280000e+01	3.208287e-02	1.917318e-03	1.917318e-03
4.280000e+01	4.300000e+01	2.967665e-02	1.844017e-03	1.844017e-03
4.300000e+01	4.320000e+01	3.322868e-02	1.951255e-03	1.951255e-03
4.320000e+01	4.340000e+01	3.093705e-02	1.882769e-03	1.882769e-03
4.340000e+01	4.360000e+01	3.299952e-02	1.944515e-03	1.944515e-03
4.360000e+01	4.380000e+01	2.921833e-02	1.829723e-03	1.829723e-03
4.380000e+01	4.400000e+01	2.979123e-02	1.847574e-03	1.847574e-03
4.400000e+01	4.420000e+01	3.311410e-02	1.947888e-03	1.947888e-03
4.420000e+01	4.440000e+01	3.070789e-02	1.875783e-03	1.875783e-03
4.440000e+01	4.460000e+01	3.517657e-02	2.007633e-03	2.007633e-03
4.460000e+01	4.480000e+01	3.620781e-02	2.036848e-03	2.036848e-03
4.480000e+01	4.500000e+01	3.700987e-02	2.059284e-03	2.059284e-03
