# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/E
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/E
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/E
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/E
ScaledBy=7.73715600578441513e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	3.828043e-01	7.787757e-05	7.787757e-05
1.500000e+00	3.000000e+00	1.118465e-01	4.209544e-05	4.209544e-05
3.000000e+00	4.500000e+00	5.386783e-02	2.921384e-05	2.921384e-05
4.500000e+00	6.000000e+00	3.175073e-02	2.242853e-05	2.242853e-05
6.000000e+00	7.500000e+00	2.097898e-02	1.823124e-05	1.823124e-05
7.500000e+00	9.000000e+00	1.492294e-02	1.537628e-05	1.537628e-05
9.000000e+00	1.050000e+01	1.098215e-02	1.319070e-05	1.319070e-05
1.050000e+01	1.200000e+01	8.297700e-03	1.146576e-05	1.146576e-05
1.200000e+01	1.350000e+01	6.404813e-03	1.007342e-05	1.007342e-05
1.350000e+01	1.500000e+01	4.975883e-03	8.878896e-06	8.878896e-06
1.500000e+01	1.650000e+01	3.910796e-03	7.871482e-06	7.871482e-06
1.650000e+01	1.800000e+01	3.112812e-03	7.022640e-06	7.022640e-06
1.800000e+01	1.950000e+01	2.472470e-03	6.258777e-06	6.258777e-06
1.950000e+01	2.100000e+01	1.981991e-03	5.603698e-06	5.603698e-06
2.100000e+01	2.250000e+01	1.592481e-03	5.022976e-06	5.022976e-06
2.250000e+01	2.400000e+01	1.291758e-03	4.523916e-06	4.523916e-06
2.400000e+01	2.550000e+01	1.041861e-03	4.062831e-06	4.062831e-06
2.550000e+01	2.700000e+01	8.468127e-04	3.662837e-06	3.662837e-06
2.700000e+01	2.850000e+01	6.894247e-04	3.304969e-06	3.304969e-06
2.850000e+01	3.000000e+01	5.585425e-04	2.974760e-06	2.974760e-06
3.000000e+01	3.150000e+01	4.533108e-04	2.679920e-06	2.679920e-06
3.150000e+01	3.300000e+01	3.707351e-04	2.423571e-06	2.423571e-06
3.300000e+01	3.450000e+01	2.997251e-04	2.179142e-06	2.179142e-06
3.450000e+01	3.600000e+01	2.424354e-04	1.959846e-06	1.959846e-06
3.600000e+01	3.750000e+01	1.929565e-04	1.748452e-06	1.748452e-06
3.750000e+01	3.900000e+01	1.617134e-04	1.600652e-06	1.600652e-06
3.900000e+01	4.050000e+01	1.266361e-04	1.416455e-06	1.416455e-06
4.050000e+01	4.200000e+01	1.027919e-04	1.276154e-06	1.276154e-06
4.200000e+01	4.350000e+01	8.165680e-05	1.137418e-06	1.137418e-06
4.350000e+01	4.500000e+01	6.625701e-05	1.024566e-06	1.024566e-06
4.500000e+01	4.650000e+01	5.264755e-05	9.132990e-07	9.132990e-07
4.650000e+01	4.800000e+01	4.304646e-05	8.258337e-07	8.258337e-07
4.800000e+01	4.950000e+01	3.235218e-05	7.159385e-07	7.159385e-07
4.950000e+01	5.100000e+01	2.639507e-05	6.466739e-07	6.466739e-07
5.100000e+01	5.250000e+01	2.127766e-05	5.806118e-07	5.806118e-07
5.250000e+01	5.400000e+01	1.544729e-05	4.947094e-07	4.947094e-07
5.400000e+01	5.550000e+01	1.135970e-05	4.242359e-07	4.242359e-07
5.550000e+01	5.700000e+01	8.951507e-06	3.765929e-07	3.765929e-07
5.700000e+01	5.850000e+01	6.955247e-06	3.319557e-07	3.319557e-07
5.850000e+01	6.000000e+01	5.386749e-06	2.921375e-07	2.921375e-07
6.000000e+01	6.150000e+01	3.960845e-06	2.505058e-07	2.505058e-07
6.150000e+01	6.300000e+01	2.772591e-06	2.095882e-07	2.095882e-07
6.300000e+01	6.450000e+01	2.170543e-06	1.854420e-07	1.854420e-07
6.450000e+01	6.600000e+01	1.552651e-06	1.568415e-07	1.568415e-07
6.600000e+01	6.750000e+01	1.045663e-06	1.287122e-07	1.287122e-07
6.750000e+01	6.900000e+01	7.921687e-07	1.120296e-07	1.120296e-07
6.900000e+01	7.050000e+01	5.386749e-07	9.238198e-08	9.238198e-08
7.050000e+01	7.200000e+01	3.168676e-07	7.085375e-08	7.085375e-08
7.200000e+01	7.350000e+01	2.693375e-07	6.532393e-08	6.532393e-08
7.350000e+01	7.500000e+01	1.267471e-07	4.481184e-08	4.481184e-08
7.500000e+01	7.650000e+01	9.506027e-08	3.880820e-08	3.880820e-08
7.650000e+01	7.800000e+01	9.506027e-08	3.880820e-08	3.880820e-08
7.800000e+01	7.950000e+01	4.753014e-08	2.744154e-08	2.744154e-08
7.950000e+01	8.100000e+01	3.168676e-08	2.240592e-08	2.240592e-08
