# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/EtaCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/EtaCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/EtaCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/EtaCh
ScaledBy=1.64372406147375827e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	1.014805e-04	7.157884e-06	7.157884e-06
-4.900000e+00	-4.800000e+00	1.358122e-04	8.280619e-06	8.280619e-06
-4.800000e+00	-4.700000e+00	1.565123e-04	8.889299e-06	8.889299e-06
-4.700000e+00	-4.600000e+00	1.711537e-04	9.295794e-06	9.295794e-06
-4.600000e+00	-4.500000e+00	2.261854e-04	1.068626e-05	1.068626e-05
-4.500000e+00	-4.400000e+00	2.605172e-04	1.146863e-05	1.146863e-05
-4.400000e+00	-4.300000e+00	3.337245e-04	1.298038e-05	1.298038e-05
-4.300000e+00	-4.200000e+00	3.988538e-04	1.419058e-05	1.419058e-05
-4.200000e+00	-4.100000e+00	4.831685e-04	1.561862e-05	1.561862e-05
-4.100000e+00	-4.000000e+00	6.169612e-04	1.764909e-05	1.764909e-05
-4.000000e+00	-3.900000e+00	7.280344e-04	1.917208e-05	1.917208e-05
-3.900000e+00	-3.800000e+00	8.956540e-04	2.126491e-05	2.126491e-05
-3.800000e+00	-3.700000e+00	1.086498e-03	2.342113e-05	2.342113e-05
-3.700000e+00	-3.600000e+00	1.319247e-03	2.580812e-05	2.580812e-05
-3.600000e+00	-3.500000e+00	1.630757e-03	2.869379e-05	2.869379e-05
-3.500000e+00	-3.400000e+00	1.979628e-03	3.161441e-05	3.161441e-05
-3.400000e+00	-3.300000e+00	2.423920e-03	3.498264e-05	3.498264e-05
-3.300000e+00	-3.200000e+00	2.977267e-03	3.877057e-05	3.877057e-05
-3.200000e+00	-3.100000e+00	3.679048e-03	4.309839e-05	4.309839e-05
-3.100000e+00	-3.000000e+00	4.438889e-03	4.734025e-05	4.734025e-05
-3.000000e+00	-2.900000e+00	5.435519e-03	5.238583e-05	5.238583e-05
-2.900000e+00	-2.800000e+00	6.594719e-03	5.770208e-05	5.770208e-05
-2.800000e+00	-2.700000e+00	8.083101e-03	6.388256e-05	6.388256e-05
-2.700000e+00	-2.600000e+00	9.755257e-03	7.017989e-05	7.017989e-05
-2.600000e+00	-2.500000e+00	1.201610e-02	7.788882e-05	7.788882e-05
-2.500000e+00	-2.400000e+00	1.464753e-02	8.599545e-05	8.599545e-05
-2.400000e+00	-2.300000e+00	1.781513e-02	9.483920e-05	9.483920e-05
-2.300000e+00	-2.200000e+00	2.156083e-02	1.043340e-04	1.043340e-04
-2.200000e+00	-2.100000e+00	2.628699e-02	1.152030e-04	1.152030e-04
-2.100000e+00	-2.000000e+00	3.208350e-02	1.272724e-04	1.272724e-04
-2.000000e+00	-1.900000e+00	3.865954e-02	1.397081e-04	1.397081e-04
-1.900000e+00	-1.800000e+00	4.698902e-02	1.540251e-04	1.540251e-04
