# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/H_BSum
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/H_BSum
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/H_BSum
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/H_BSum
ScaledBy=3.72717131307522724e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	3.434459e-04	1.982886e-04	1.982886e-04
2.000000e-02	3.000000e-02	2.209502e-02	1.590434e-03	1.590434e-03
3.000000e-02	4.000000e-02	1.259302e-01	3.796937e-03	3.796937e-03
4.000000e-02	5.000000e-02	3.431025e-01	6.267300e-03	6.267300e-03
5.000000e-02	6.000000e-02	6.214081e-01	8.434455e-03	8.434455e-03
6.000000e-02	7.000000e-02	9.425301e-01	1.038762e-02	1.038762e-02
7.000000e-02	8.000000e-02	1.315512e+00	1.227202e-02	1.227202e-02
8.000000e-02	9.000000e-02	1.702461e+00	1.396070e-02	1.396070e-02
9.000000e-02	1.000000e-01	2.097424e+00	1.549572e-02	1.549572e-02
1.000000e-01	1.100000e-01	2.550773e+00	1.708852e-02	1.708852e-02
1.100000e-01	1.200000e-01	3.005953e+00	1.855067e-02	1.855067e-02
1.200000e-01	1.300000e-01	3.491128e+00	1.999178e-02	1.999178e-02
1.300000e-01	1.400000e-01	4.037207e+00	2.149854e-02	2.149854e-02
1.400000e-01	1.500000e-01	4.704865e+00	2.320824e-02	2.320824e-02
1.500000e-01	1.600000e-01	5.401145e+00	2.486632e-02	2.486632e-02
1.600000e-01	1.700000e-01	6.320092e+00	2.689863e-02	2.689863e-02
1.700000e-01	1.800000e-01	7.856898e+00	2.999122e-02	2.999122e-02
1.800000e-01	1.900000e-01	1.044797e+01	3.458474e-02	3.458474e-02
1.900000e-01	2.000000e-01	1.375260e+01	3.967902e-02	3.967902e-02
2.000000e-01	2.100000e-01	1.043583e+01	3.456465e-02	3.456465e-02
2.100000e-01	2.200000e-01	5.797252e+00	2.576200e-02	2.576200e-02
2.200000e-01	2.300000e-01	3.594276e+00	2.028496e-02	2.028496e-02
2.300000e-01	2.400000e-01	2.557871e+00	1.711228e-02	1.711228e-02
2.400000e-01	2.500000e-01	1.896165e+00	1.473352e-02	1.473352e-02
2.500000e-01	2.600000e-01	1.481969e+00	1.302531e-02	1.302531e-02
2.600000e-01	2.700000e-01	1.184087e+00	1.164288e-02	1.164288e-02
2.700000e-01	2.800000e-01	9.637092e-01	1.050368e-02	1.050368e-02
2.800000e-01	2.900000e-01	7.668002e-01	9.369354e-03	9.369354e-03
2.900000e-01	3.000000e-01	6.312536e-01	8.501009e-03	8.501009e-03
3.000000e-01	3.100000e-01	5.292501e-01	7.783932e-03	7.783932e-03
3.100000e-01	3.200000e-01	4.281626e-01	7.001206e-03	7.001206e-03
3.200000e-01	3.300000e-01	3.487121e-01	6.318327e-03	6.318327e-03
3.300000e-01	3.400000e-01	2.702919e-01	5.562693e-03	5.562693e-03
3.400000e-01	3.500000e-01	1.941614e-01	4.714656e-03	4.714656e-03
3.500000e-01	3.600000e-01	1.095592e-01	3.541548e-03	3.541548e-03
3.600000e-01	3.700000e-01	5.048655e-02	2.404121e-03	2.404121e-03
3.700000e-01	3.800000e-01	1.637092e-02	1.369005e-03	1.369005e-03
3.800000e-01	3.900000e-01	3.892387e-03	6.675388e-04	6.675388e-04
3.900000e-01	4.000000e-01	4.579279e-04	2.289639e-04	2.289639e-04
4.000000e-01	4.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.100000e-01	4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e-01	4.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.300000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e-01	4.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e-01	4.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	4.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	5.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.300000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e-01	5.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	5.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e-01	5.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e-01	6.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e-01	6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.100000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e-01	7.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	7.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e-01	8.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	8.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e-01	9.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	9.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e-01	9.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e-01	9.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

