# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/Mult
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/Mult
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/Mult
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/Mult
ScaledBy=3.72717131307522724e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.300000e+01	3.434459e-06	1.982886e-06	1.982886e-06
1.300000e+01	1.400000e+01	1.259302e-05	3.796937e-06	3.796937e-06
1.400000e+01	1.500000e+01	2.747567e-05	5.608448e-06	5.608448e-06
1.500000e+01	1.600000e+01	7.097882e-05	9.014319e-06	9.014319e-06
1.600000e+01	1.700000e+01	1.637092e-04	1.369005e-05	1.369005e-05
1.700000e+01	1.800000e+01	2.610189e-04	1.728640e-05	1.728640e-05
1.800000e+01	1.900000e+01	4.934173e-04	2.376707e-05	2.376707e-05
1.900000e+01	2.000000e+01	8.048082e-04	3.035392e-05	3.035392e-05
2.000000e+01	2.100000e+01	1.204350e-03	3.713171e-05	3.713171e-05
2.100000e+01	2.200000e+01	1.789353e-03	4.526021e-05	4.526021e-05
2.200000e+01	2.300000e+01	2.620492e-03	5.477217e-05	5.477217e-05
