# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/Phi
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/Phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/Phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/Phi
ScaledBy=7.73715600578441513e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.589607e-01	2.452023e-04	2.452023e-04
6.283185e-02	1.256637e-01	1.591760e-01	2.453682e-04	2.453682e-04
1.256637e-01	1.884956e-01	1.591444e-01	2.453438e-04	2.453438e-04
1.884956e-01	2.513274e-01	1.599502e-01	2.459644e-04	2.459644e-04
2.513274e-01	3.141593e-01	1.589008e-01	2.451560e-04	2.451560e-04
3.141593e-01	3.769911e-01	1.590618e-01	2.452803e-04	2.452803e-04
3.769911e-01	4.398230e-01	1.591145e-01	2.453208e-04	2.453208e-04
4.398230e-01	5.026548e-01	1.587202e-01	2.450169e-04	2.450169e-04
5.026548e-01	5.654867e-01	1.586708e-01	2.449785e-04	2.449785e-04
5.654867e-01	6.283185e-01	1.589767e-01	2.452147e-04	2.452147e-04
6.283185e-01	6.911504e-01	1.586636e-01	2.449730e-04	2.449730e-04
6.911504e-01	7.539822e-01	1.588046e-01	2.450819e-04	2.450819e-04
7.539822e-01	8.168141e-01	1.586549e-01	2.449663e-04	2.449663e-04
8.168141e-01	8.796459e-01	1.590958e-01	2.453066e-04	2.453066e-04
8.796459e-01	9.424778e-01	1.589246e-01	2.451743e-04	2.451743e-04
9.424778e-01	1.005310e+00	1.592559e-01	2.454292e-04	2.454292e-04
1.005310e+00	1.068142e+00	1.589459e-01	2.451906e-04	2.451906e-04
1.068142e+00	1.130973e+00	1.589587e-01	2.452024e-04	2.452024e-04
1.130973e+00	1.193805e+00	1.585752e-01	2.449045e-04	2.449045e-04
1.193805e+00	1.256637e+00	1.587110e-01	2.450094e-04	2.450094e-04
1.256637e+00	1.319469e+00	1.586388e-01	2.449536e-04	2.449536e-04
1.319469e+00	1.382301e+00	1.584455e-01	2.448043e-04	2.448043e-04
1.382301e+00	1.445133e+00	1.589357e-01	2.451827e-04	2.451827e-04
1.445133e+00	1.507964e+00	1.588728e-01	2.451361e-04	2.451361e-04
1.507964e+00	1.570796e+00	1.589005e-01	2.451556e-04	2.451556e-04
1.570796e+00	1.633628e+00	1.590583e-01	2.452772e-04	2.452772e-04
1.633628e+00	1.696460e+00	1.587526e-01	2.450415e-04	2.450415e-04
1.696460e+00	1.759292e+00	1.586085e-01	2.449302e-04	2.449302e-04
1.759292e+00	1.822124e+00	1.582337e-01	2.446407e-04	2.446407e-04
1.822124e+00	1.884956e+00	1.586638e-01	2.449729e-04	2.449729e-04
1.884956e+00	1.947787e+00	1.587484e-01	2.450401e-04	2.450401e-04
1.947787e+00	2.010619e+00	1.585968e-01	2.449212e-04	2.449212e-04
2.010619e+00	2.073451e+00	1.590840e-01	2.452971e-04	2.452971e-04
2.073451e+00	2.136283e+00	1.589675e-01	2.452072e-04	2.452072e-04
2.136283e+00	2.199115e+00	1.595631e-01	2.456663e-04	2.456663e-04
2.199115e+00	2.261947e+00	1.586101e-01	2.449314e-04	2.449314e-04
2.261947e+00	2.324779e+00	1.589387e-01	2.451850e-04	2.451850e-04
2.324779e+00	2.387610e+00	1.588539e-01	2.451215e-04	2.451215e-04
2.387610e+00	2.450442e+00	1.591335e-01	2.453353e-04	2.453353e-04
2.450442e+00	2.513274e+00	1.599472e-01	2.459616e-04	2.459616e-04
2.513274e+00	2.576106e+00	1.590480e-01	2.452693e-04	2.452693e-04
2.576106e+00	2.638938e+00	1.591460e-01	2.453449e-04	2.453449e-04
2.638938e+00	2.701770e+00	1.590855e-01	2.452982e-04	2.452982e-04
2.701770e+00	2.764602e+00	1.583101e-01	2.446997e-04	2.446997e-04
2.764602e+00	2.827433e+00	1.588380e-01	2.451093e-04	2.451093e-04
2.827433e+00	2.890265e+00	1.593732e-01	2.455200e-04	2.455200e-04
2.890265e+00	2.953097e+00	1.587500e-01	2.450394e-04	2.450394e-04
2.953097e+00	3.015929e+00	1.592295e-01	2.454093e-04	2.454093e-04
3.015929e+00	3.078761e+00	1.588079e-01	2.450841e-04	2.450841e-04
3.078761e+00	3.141593e+00	1.583279e-01	2.447134e-04	2.447134e-04
3.141593e+00	3.204425e+00	1.588483e-01	2.451153e-04	2.451153e-04
3.204425e+00	3.267256e+00	1.591274e-01	2.453325e-04	2.453325e-04
3.267256e+00	3.330088e+00	1.593836e-01	2.455279e-04	2.455279e-04
3.330088e+00	3.392920e+00	1.592655e-01	2.454370e-04	2.454370e-04
3.392920e+00	3.455752e+00	1.588344e-01	2.451045e-04	2.451045e-04
3.455752e+00	3.518584e+00	1.591358e-01	2.453370e-04	2.453370e-04
3.518584e+00	3.581416e+00	1.595548e-01	2.456598e-04	2.456598e-04
3.581416e+00	3.644247e+00	1.601630e-01	2.461295e-04	2.461295e-04
3.644247e+00	3.707079e+00	1.597164e-01	2.457841e-04	2.457841e-04
3.707079e+00	3.769911e+00	1.598307e-01	2.458720e-04	2.458720e-04
3.769911e+00	3.832743e+00	1.595219e-01	2.456345e-04	2.456345e-04
