# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/PhiCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/PhiCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/PhiCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/PhiCh
ScaledBy=1.64372406147375827e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.587399e-01	3.571465e-04	3.571465e-04
6.283185e-02	1.256637e-01	1.594077e-01	3.578969e-04	3.578969e-04
1.256637e-01	1.884956e-01	1.592677e-01	3.577396e-04	3.577396e-04
1.884956e-01	2.513274e-01	1.597982e-01	3.583353e-04	3.583353e-04
2.513274e-01	3.141593e-01	1.583492e-01	3.567067e-04	3.567067e-04
3.141593e-01	3.769911e-01	1.592334e-01	3.577014e-04	3.577014e-04
3.769911e-01	4.398230e-01	1.590612e-01	3.575076e-04	3.575076e-04
4.398230e-01	5.026548e-01	1.589248e-01	3.573546e-04	3.573546e-04
5.026548e-01	5.654867e-01	1.592042e-01	3.576683e-04	3.576683e-04
5.654867e-01	6.283185e-01	1.590462e-01	3.574910e-04	3.574910e-04
6.283185e-01	6.911504e-01	1.581716e-01	3.565066e-04	3.565066e-04
6.911504e-01	7.539822e-01	1.591434e-01	3.576003e-04	3.576003e-04
7.539822e-01	8.168141e-01	1.584866e-01	3.568614e-04	3.568614e-04
8.168141e-01	8.796459e-01	1.583784e-01	3.567398e-04	3.567398e-04
8.796459e-01	9.424778e-01	1.592901e-01	3.577649e-04	3.577649e-04
9.424778e-01	1.005310e+00	1.592959e-01	3.577704e-04	3.577704e-04
1.005310e+00	1.068142e+00	1.593228e-01	3.578013e-04	3.578013e-04
1.068142e+00	1.130973e+00	1.590876e-01	3.575398e-04	3.575398e-04
1.130973e+00	1.193805e+00	1.580645e-01	3.563855e-04	3.563855e-04
1.193805e+00	1.256637e+00	1.585643e-01	3.569485e-04	3.569485e-04
1.256637e+00	1.319469e+00	1.588616e-01	3.572830e-04	3.572830e-04
1.319469e+00	1.382301e+00	1.582373e-01	3.565803e-04	3.565803e-04
1.382301e+00	1.445133e+00	1.591445e-01	3.576009e-04	3.576009e-04
1.445133e+00	1.507964e+00	1.589477e-01	3.573827e-04	3.573827e-04
1.507964e+00	1.570796e+00	1.588641e-01	3.572857e-04	3.572857e-04
1.570796e+00	1.633628e+00	1.591260e-01	3.575802e-04	3.575802e-04
1.633628e+00	1.696460e+00	1.583458e-01	3.567025e-04	3.567025e-04
1.696460e+00	1.759292e+00	1.589283e-01	3.573580e-04	3.573580e-04
1.759292e+00	1.822124e+00	1.578492e-01	3.561427e-04	3.561427e-04
1.822124e+00	1.884956e+00	1.589540e-01	3.573869e-04	3.573869e-04
1.884956e+00	1.947787e+00	1.584391e-01	3.568104e-04	3.568104e-04
1.947787e+00	2.010619e+00	1.590609e-01	3.575070e-04	3.575070e-04
2.010619e+00	2.073451e+00	1.587395e-01	3.571457e-04	3.571457e-04
2.073451e+00	2.136283e+00	1.591067e-01	3.575585e-04	3.575585e-04
2.136283e+00	2.199115e+00	1.597664e-01	3.582990e-04	3.582990e-04
2.199115e+00	2.261947e+00	1.589291e-01	3.573589e-04	3.573589e-04
2.261947e+00	2.324779e+00	1.587299e-01	3.571348e-04	3.571348e-04
2.324779e+00	2.387610e+00	1.588160e-01	3.572345e-04	3.572345e-04
2.387610e+00	2.450442e+00	1.593188e-01	3.577968e-04	3.577968e-04
2.450442e+00	2.513274e+00	1.600043e-01	3.585656e-04	3.585656e-04
2.513274e+00	2.576106e+00	1.592400e-01	3.577084e-04	3.577084e-04
2.576106e+00	2.638938e+00	1.591228e-01	3.575766e-04	3.575766e-04
2.638938e+00	2.701770e+00	1.594980e-01	3.579980e-04	3.579980e-04
2.701770e+00	2.764602e+00	1.580227e-01	3.563384e-04	3.563384e-04
2.764602e+00	2.827433e+00	1.591494e-01	3.576094e-04	3.576094e-04
2.827433e+00	2.890265e+00	1.597800e-01	3.583143e-04	3.583143e-04
2.890265e+00	2.953097e+00	1.588648e-01	3.572867e-04	3.572867e-04
2.953097e+00	3.015929e+00	1.590794e-01	3.575278e-04	3.575278e-04
3.015929e+00	3.078761e+00	1.591131e-01	3.575657e-04	3.575657e-04
3.078761e+00	3.141593e+00	1.581264e-01	3.564553e-04	3.564553e-04
3.141593e+00	3.204425e+00	1.589275e-01	3.573571e-04	3.573571e-04
3.204425e+00	3.267256e+00	1.591936e-01	3.576590e-04	3.576590e-04
3.267256e+00	3.330088e+00	1.594530e-01	3.579474e-04	3.579474e-04
3.330088e+00	3.392920e+00	1.594418e-01	3.579348e-04	3.579348e-04
3.392920e+00	3.455752e+00	1.584510e-01	3.568210e-04	3.568210e-04
3.455752e+00	3.518584e+00	1.592513e-01	3.577210e-04	3.577210e-04
3.518584e+00	3.581416e+00	1.595502e-01	3.580566e-04	3.580566e-04
3.581416e+00	3.644247e+00	1.604254e-01	3.590401e-04	3.590401e-04
3.644247e+00	3.707079e+00	1.598467e-01	3.583891e-04	3.583891e-04
