# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHgg/Analysis.yoda/MyFSAnalysis/Eta
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHgg/Analysis.yoda/MyFSAnalysis/Eta
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHgg/Analysis.yoda/MyFSAnalysis/Eta
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHgg/Analysis.yoda/MyFSAnalysis/Eta
ScaledBy=2.03091170098936187e-02
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.900000e+00	-4.800000e+00	3.190727e-04	2.256185e-04	2.256185e-04
-4.800000e+00	-4.700000e+00	1.595364e-04	1.595364e-04	1.595364e-04
-4.700000e+00	-4.600000e+00	3.190727e-04	2.256185e-04	2.256185e-04
-4.600000e+00	-4.500000e+00	1.595364e-04	1.595364e-04	1.595364e-04
-4.500000e+00	-4.400000e+00	1.595364e-04	1.595364e-04	1.595364e-04
-4.400000e+00	-4.300000e+00	3.190727e-04	2.256185e-04	2.256185e-04
-4.300000e+00	-4.200000e+00	4.786091e-04	2.763251e-04	2.763251e-04
-4.200000e+00	-4.100000e+00	7.976818e-04	3.567342e-04	3.567342e-04
-4.100000e+00	-4.000000e+00	6.381454e-04	3.190727e-04	3.190727e-04
-4.000000e+00	-3.900000e+00	1.595364e-03	5.044983e-04	5.044983e-04
-3.900000e+00	-3.800000e+00	6.381454e-04	3.190727e-04	3.190727e-04
-3.800000e+00	-3.700000e+00	1.116755e-03	4.220936e-04	4.220936e-04
-3.700000e+00	-3.600000e+00	2.233509e-03	5.969304e-04	5.969304e-04
-3.600000e+00	-3.500000e+00	1.914436e-03	5.526502e-04	5.526502e-04
-3.500000e+00	-3.400000e+00	2.393045e-03	6.178817e-04	6.178817e-04
-3.400000e+00	-3.300000e+00	3.669336e-03	7.651095e-04	7.651095e-04
-3.300000e+00	-3.200000e+00	3.669336e-03	7.651095e-04	7.651095e-04
-3.200000e+00	-3.100000e+00	3.828873e-03	7.815654e-04	7.815654e-04
-3.100000e+00	-3.000000e+00	4.626554e-03	8.591296e-04	8.591296e-04
-3.000000e+00	-2.900000e+00	4.626554e-03	8.591296e-04	8.591296e-04
-2.900000e+00	-2.800000e+00	6.540991e-03	1.021531e-03	1.021531e-03
-2.800000e+00	-2.700000e+00	8.136354e-03	1.139317e-03	1.139317e-03
-2.700000e+00	-2.600000e+00	1.021033e-02	1.276291e-03	1.276291e-03
-2.600000e+00	-2.500000e+00	1.149016e-02	1.354130e-03	1.354130e-03
-2.500000e+00	-2.400000e+00	1.515595e-02	1.554968e-03	1.554968e-03
-2.400000e+00	-2.300000e+00	1.866752e-02	1.725814e-03	1.725814e-03
-2.300000e+00	-2.200000e+00	2.185648e-02	1.867325e-03	1.867325e-03
-2.200000e+00	-2.100000e+00	2.808017e-02	2.116623e-03	2.116623e-03
-2.100000e+00	-2.000000e+00	3.685290e-02	2.424743e-03	2.424743e-03
-2.000000e+00	-1.900000e+00	3.988802e-02	2.522742e-03	2.522742e-03
-1.900000e+00	-1.800000e+00	5.472097e-02	2.954655e-03	2.954655e-03
-1.800000e+00	-1.700000e+00	6.110420e-02	3.122279e-03	3.122279e-03
-1.700000e+00	-1.600000e+00	7.722091e-02	3.510043e-03	3.510043e-03
-1.600000e+00	-1.500000e+00	8.870576e-02	3.761962e-03	3.761962e-03
-1.500000e+00	-1.400000e+00	1.068929e-01	4.129634e-03	4.129634e-03
-1.400000e+00	-1.300000e+00	1.171070e-01	4.322498e-03	4.322498e-03
-1.300000e+00	-1.200000e+00	1.494944e-01	4.883771e-03	4.883771e-03
