# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHgg/Analysis.yoda/MyHAnalysis/H_Tm
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHgg/Analysis.yoda/MyHAnalysis/H_Tm
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHgg/Analysis.yoda/MyHAnalysis/H_Tm
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHgg/Analysis.yoda/MyHAnalysis/H_Tm
ScaledBy=1.48016543484707541e+00
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	1.162730e-01	1.162730e-01	1.162730e-01
5.000000e-02	6.000000e-02	1.627822e+00	4.350538e-01	4.350538e-01
6.000000e-02	7.000000e-02	1.976641e+00	4.794059e-01	4.794059e-01
7.000000e-02	8.000000e-02	4.883466e+00	7.535352e-01	7.535352e-01
8.000000e-02	9.000000e-02	6.627561e+00	8.778420e-01	8.778420e-01
9.000000e-02	1.000000e-01	8.373090e+00	9.867792e-01	9.867792e-01
1.000000e-01	1.100000e-01	8.139110e+00	9.728097e-01	9.728097e-01
1.100000e-01	1.200000e-01	9.071787e+00	1.027181e+00	1.027181e+00
1.200000e-01	1.300000e-01	7.906564e+00	9.588118e-01	9.588118e-01
1.300000e-01	1.400000e-01	7.208926e+00	9.155345e-01	9.155345e-01
1.400000e-01	1.500000e-01	6.046196e+00	8.384566e-01	8.384566e-01
1.500000e-01	1.600000e-01	7.790291e+00	9.517356e-01	9.517356e-01
1.600000e-01	1.700000e-01	4.069555e+00	6.878804e-01	6.878804e-01
1.700000e-01	1.800000e-01	4.883466e+00	7.535352e-01	7.535352e-01
1.800000e-01	1.900000e-01	3.953282e+00	6.779823e-01	6.779823e-01
1.900000e-01	2.000000e-01	2.209187e+00	5.068223e-01	5.068223e-01
2.000000e-01	2.100000e-01	2.906825e+00	5.813650e-01	5.813650e-01
2.100000e-01	2.200000e-01	2.674279e+00	5.576258e-01	5.576258e-01
2.200000e-01	2.300000e-01	1.860368e+00	4.650920e-01	4.650920e-01
2.300000e-01	2.400000e-01	1.162730e+00	3.676875e-01	3.676875e-01
2.400000e-01	2.500000e-01	1.511549e+00	4.192283e-01	4.192283e-01
2.500000e-01	2.600000e-01	1.279003e+00	3.856339e-01	3.856339e-01
2.600000e-01	2.700000e-01	1.396566e+00	4.031558e-01	4.031558e-01
2.700000e-01	2.800000e-01	5.813650e-01	2.599943e-01	2.599943e-01
2.800000e-01	2.900000e-01	5.813650e-01	2.599943e-01	2.599943e-01
2.900000e-01	3.000000e-01	2.325460e-01	1.644349e-01	1.644349e-01
3.000000e-01	3.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e-01	3.200000e-01	1.162730e-01	1.162730e-01	1.162730e-01
3.200000e-01	3.300000e-01	2.325460e-01	1.644349e-01	1.644349e-01
3.300000e-01	3.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
