# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHgg/Analysis.yoda/MyZAnalysis/Z_pT_peak
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHgg/Analysis.yoda/MyZAnalysis/Z_pT_peak
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHgg/Analysis.yoda/MyZAnalysis/Z_pT_peak
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHgg/Analysis.yoda/MyZAnalysis/Z_pT_peak
ScaledBy=1.48016543484707541e+00
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	4.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.020000e+01	4.040000e+01	1.744095e-02	1.006954e-02	1.006954e-02
4.040000e+01	4.060000e+01	3.488190e-02	1.424048e-02	1.424048e-02
4.060000e+01	4.080000e+01	4.069555e-02	1.538147e-02	1.538147e-02
4.080000e+01	4.100000e+01	1.744095e-02	1.006954e-02	1.006954e-02
4.100000e+01	4.120000e+01	3.488190e-02	1.424048e-02	1.424048e-02
4.120000e+01	4.140000e+01	3.488190e-02	1.424048e-02	1.424048e-02
4.140000e+01	4.160000e+01	1.744095e-02	1.006954e-02	1.006954e-02
4.160000e+01	4.180000e+01	1.162730e-02	8.221743e-03	8.221743e-03
4.180000e+01	4.200000e+01	2.906825e-02	1.299972e-02	1.299972e-02
4.200000e+01	4.220000e+01	4.069555e-02	1.538147e-02	1.538147e-02
4.220000e+01	4.240000e+01	4.650920e-02	1.644349e-02	1.644349e-02
4.240000e+01	4.260000e+01	2.325460e-02	1.162730e-02	1.162730e-02
4.260000e+01	4.280000e+01	2.906825e-02	1.299972e-02	1.299972e-02
4.280000e+01	4.300000e+01	4.069555e-02	1.538147e-02	1.538147e-02
4.300000e+01	4.320000e+01	1.162730e-02	8.221743e-03	8.221743e-03
4.320000e+01	4.340000e+01	4.650920e-02	1.644349e-02	1.644349e-02
4.340000e+01	4.360000e+01	2.325460e-02	1.162730e-02	1.162730e-02
4.360000e+01	4.380000e+01	2.906825e-02	1.299972e-02	1.299972e-02
4.380000e+01	4.400000e+01	1.744095e-02	1.006954e-02	1.006954e-02
4.400000e+01	4.420000e+01	4.069555e-02	1.538147e-02	1.538147e-02
4.420000e+01	4.440000e+01	4.069555e-02	1.538147e-02	1.538147e-02
4.440000e+01	4.460000e+01	2.325460e-02	1.162730e-02	1.162730e-02
4.460000e+01	4.480000e+01	3.488190e-02	1.424048e-02	1.424048e-02
4.480000e+01	4.500000e+01	4.650920e-02	1.644349e-02	1.644349e-02
4.500000e+01	4.520000e+01	5.232285e-02	1.744095e-02	1.744095e-02
4.520000e+01	4.540000e+01	5.232285e-02	1.744095e-02	1.744095e-02
4.540000e+01	4.560000e+01	1.744095e-02	1.006954e-02	1.006954e-02
4.560000e+01	4.580000e+01	5.813650e-02	1.838438e-02	1.838438e-02
4.580000e+01	4.600000e+01	4.650920e-02	1.644349e-02	1.644349e-02
4.600000e+01	4.620000e+01	5.232285e-02	1.744095e-02	1.744095e-02
4.620000e+01	4.640000e+01	2.906825e-02	1.299972e-02	1.299972e-02
4.640000e+01	4.660000e+01	5.813650e-02	1.838438e-02	1.838438e-02
4.660000e+01	4.680000e+01	2.906825e-02	1.299972e-02	1.299972e-02
4.680000e+01	4.700000e+01	2.325460e-02	1.162730e-02	1.162730e-02
4.700000e+01	4.720000e+01	5.813650e-02	1.838438e-02	1.838438e-02
4.720000e+01	4.740000e+01	4.650920e-02	1.644349e-02	1.644349e-02
4.740000e+01	4.760000e+01	6.395015e-02	1.928169e-02	1.928169e-02
4.760000e+01	4.780000e+01	5.232285e-02	1.744095e-02	1.744095e-02
4.780000e+01	4.800000e+01	5.813650e-02	1.838438e-02	1.838438e-02
4.800000e+01	4.820000e+01	3.488190e-02	1.424048e-02	1.424048e-02
