# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/EtaCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/EtaCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/EtaCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/EtaCh
ScaledBy=4.19853314334648120e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	9.269087e-05	5.529483e-06	5.529483e-06
-4.900000e+00	-4.800000e+00	1.282995e-04	6.505042e-06	6.505042e-06
-4.800000e+00	-4.700000e+00	1.474260e-04	6.973013e-06	6.973013e-06
-4.700000e+00	-4.600000e+00	1.794200e-04	7.692570e-06	7.692570e-06
-4.600000e+00	-4.500000e+00	2.308760e-04	8.726295e-06	8.726295e-06
-4.500000e+00	-4.400000e+00	2.800102e-04	9.609927e-06	9.609927e-06
-4.400000e+00	-4.300000e+00	3.248646e-04	1.035105e-05	1.035105e-05
-4.300000e+00	-4.200000e+00	4.007309e-04	1.149648e-05	1.149648e-05
-4.200000e+00	-4.100000e+00	4.792295e-04	1.257219e-05	1.257219e-05
-4.100000e+00	-4.000000e+00	6.032418e-04	1.410537e-05	1.410537e-05
-4.000000e+00	-3.900000e+00	7.087673e-04	1.528922e-05	1.528922e-05
-3.900000e+00	-3.800000e+00	9.300938e-04	1.751468e-05	1.751468e-05
-3.800000e+00	-3.700000e+00	1.105546e-03	1.909523e-05	1.909523e-05
-3.700000e+00	-3.600000e+00	1.300143e-03	2.070775e-05	2.070775e-05
-3.600000e+00	-3.500000e+00	1.612486e-03	2.306142e-05	2.306142e-05
-3.500000e+00	-3.400000e+00	1.961139e-03	2.543291e-05	2.543291e-05
-3.400000e+00	-3.300000e+00	2.472979e-03	2.855931e-05	2.855931e-05
-3.300000e+00	-3.200000e+00	2.981529e-03	3.135847e-05	3.135847e-05
-3.200000e+00	-3.100000e+00	3.586449e-03	3.439299e-05	3.439299e-05
-3.100000e+00	-3.000000e+00	4.455563e-03	3.833461e-05	3.833461e-05
-3.000000e+00	-2.900000e+00	5.405741e-03	4.222463e-05	4.222463e-05
-2.900000e+00	-2.800000e+00	6.604333e-03	4.667170e-05	4.667170e-05
-2.800000e+00	-2.700000e+00	8.124144e-03	5.176400e-05	5.176400e-05
-2.700000e+00	-2.600000e+00	9.844067e-03	5.698023e-05	5.698023e-05
-2.600000e+00	-2.500000e+00	1.198761e-02	6.287884e-05	6.287884e-05
-2.500000e+00	-2.400000e+00	1.455327e-02	6.928168e-05	6.928168e-05
-2.400000e+00	-2.300000e+00	1.778261e-02	7.658376e-05	7.658376e-05
-2.300000e+00	-2.200000e+00	2.158432e-02	8.437365e-05	8.437365e-05
-2.200000e+00	-2.100000e+00	2.613486e-02	9.284274e-05	9.284274e-05
-2.100000e+00	-2.000000e+00	3.186873e-02	1.025227e-04	1.025227e-04
-2.000000e+00	-1.900000e+00	3.877883e-02	1.130929e-04	1.130929e-04
-1.900000e+00	-1.800000e+00	4.677426e-02	1.242056e-04	1.242056e-04
-1.800000e+00	-1.700000e+00	5.624530e-02	1.362011e-04	1.362011e-04
-1.700000e+00	-1.600000e+00	6.835213e-02	1.501462e-04	1.501462e-04
-1.600000e+00	-1.500000e+00	8.205359e-02	1.645081e-04	1.645081e-04
-1.500000e+00	-1.400000e+00	9.814379e-02	1.799160e-04	1.799160e-04
-1.400000e+00	-1.300000e+00	1.173508e-01	1.967352e-04	1.967352e-04
-1.300000e+00	-1.200000e+00	1.397730e-01	2.147088e-04	2.147088e-04
-1.200000e+00	-1.100000e+00	1.651824e-01	2.334106e-04	2.334106e-04
-1.100000e+00	-1.000000e+00	1.935420e-01	2.526538e-04	2.526538e-04
-1.000000e+00	-9.000000e-01	2.258388e-01	2.729215e-04	2.729215e-04
-9.000000e-01	-8.000000e-01	2.607703e-01	2.932701e-04	2.932701e-04
-8.000000e-01	-7.000000e-01	2.980274e-01	3.135211e-04	3.135211e-04
-7.000000e-01	-6.000000e-01	3.368383e-01	3.333111e-04	3.333111e-04
-6.000000e-01	-5.000000e-01	3.750330e-01	3.517012e-04	3.517012e-04
-5.000000e-01	-4.000000e-01	4.114875e-01	3.683982e-04	3.683982e-04
-4.000000e-01	-3.000000e-01	4.437546e-01	3.825697e-04	3.825697e-04
-3.000000e-01	-2.000000e-01	4.710285e-01	3.941515e-04	3.941515e-04
-2.000000e-01	-1.000000e-01	4.892709e-01	4.017115e-04	4.017115e-04
-1.000000e-01	0.000000e+00	5.001904e-01	4.061694e-04	4.061694e-04
0.000000e+00	1.000000e-01	4.999510e-01	4.060722e-04	4.060722e-04
1.000000e-01	2.000000e-01	4.898909e-01	4.019657e-04	4.019657e-04
2.000000e-01	3.000000e-01	4.719267e-01	3.945267e-04	3.945267e-04
3.000000e-01	4.000000e-01	4.444952e-01	3.828889e-04	3.828889e-04
4.000000e-01	5.000000e-01	4.117310e-01	3.685070e-04	3.685070e-04
5.000000e-01	6.000000e-01	3.758242e-01	3.520716e-04	3.520716e-04
6.000000e-01	7.000000e-01	3.370421e-01	3.334118e-04	3.334118e-04
7.000000e-01	8.000000e-01	2.983929e-01	3.137131e-04	3.137131e-04
8.000000e-01	9.000000e-01	2.612040e-01	2.935139e-04	2.935139e-04
9.000000e-01	1.000000e+00	2.260706e-01	2.730616e-04	2.730616e-04
1.000000e+00	1.100000e+00	1.939111e-01	2.528949e-04	2.528949e-04
1.100000e+00	1.200000e+00	1.649818e-01	2.332686e-04	2.332686e-04
1.200000e+00	1.300000e+00	1.397460e-01	2.146884e-04	2.146884e-04
1.300000e+00	1.400000e+00	1.176352e-01	1.969732e-04	1.969732e-04
1.400000e+00	1.500000e+00	9.849243e-02	1.802353e-04	1.802353e-04
1.500000e+00	1.600000e+00	8.214477e-02	1.645993e-04	1.645993e-04
1.600000e+00	1.700000e+00	6.840092e-02	1.501997e-04	1.501997e-04
1.700000e+00	1.800000e+00	5.667554e-02	1.367213e-04	1.367213e-04
1.800000e+00	1.900000e+00	4.689677e-02	1.243684e-04	1.243684e-04
1.900000e+00	2.000000e+00	3.875334e-02	1.130556e-04	1.130556e-04
2.000000e+00	2.100000e+00	3.202511e-02	1.027740e-04	1.027740e-04
2.100000e+00	2.200000e+00	2.641349e-02	9.333625e-05	9.333625e-05
2.200000e+00	2.300000e+00	2.153640e-02	8.427976e-05	8.427976e-05
2.300000e+00	2.400000e+00	1.781346e-02	7.664985e-05	7.664985e-05
