# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/H_S
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/H_S
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/H_S
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/H_S
ScaledBy=1.45528307020074835e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.263362e+00	1.201786e-02	1.201786e-02
1.000000e-02	2.000000e-02	5.403177e+00	2.485356e-02	2.485356e-02
2.000000e-02	3.000000e-02	6.838589e+00	2.796063e-02	2.796063e-02
3.000000e-02	4.000000e-02	6.712384e+00	2.770144e-02	2.770144e-02
4.000000e-02	5.000000e-02	6.199648e+00	2.662241e-02	2.662241e-02
5.000000e-02	6.000000e-02	5.519429e+00	2.511948e-02	2.511948e-02
6.000000e-02	7.000000e-02	4.914444e+00	2.370286e-02	2.370286e-02
7.000000e-02	8.000000e-02	4.455564e+00	2.256915e-02	2.256915e-02
8.000000e-02	9.000000e-02	4.006388e+00	2.140129e-02	2.140129e-02
9.000000e-02	1.000000e-01	3.629008e+00	2.036841e-02	2.036841e-02
1.000000e-01	1.100000e-01	3.290303e+00	1.939470e-02	1.939470e-02
1.100000e-01	1.200000e-01	2.984805e+00	1.847230e-02	1.847230e-02
1.200000e-01	1.300000e-01	2.763727e+00	1.777509e-02	1.777509e-02
1.300000e-01	1.400000e-01	2.542267e+00	1.704800e-02	1.704800e-02
1.400000e-01	1.500000e-01	2.356380e+00	1.641290e-02	1.641290e-02
1.500000e-01	1.600000e-01	2.167088e+00	1.573995e-02	1.573995e-02
1.600000e-01	1.700000e-01	2.007138e+00	1.514789e-02	1.514789e-02
1.700000e-01	1.800000e-01	1.872930e+00	1.463272e-02	1.463272e-02
1.800000e-01	1.900000e-01	1.734387e+00	1.408118e-02	1.408118e-02
1.900000e-01	2.000000e-01	1.667029e+00	1.380494e-02	1.380494e-02
2.000000e-01	2.100000e-01	1.537056e+00	1.325590e-02	1.325590e-02
2.100000e-01	2.200000e-01	1.434497e+00	1.280597e-02	1.280597e-02
2.200000e-01	2.300000e-01	1.351160e+00	1.242844e-02	1.242844e-02
2.300000e-01	2.400000e-01	1.278567e+00	1.208997e-02	1.208997e-02
2.400000e-01	2.500000e-01	1.180484e+00	1.161700e-02	1.161700e-02
2.500000e-01	2.600000e-01	1.125832e+00	1.134487e-02	1.134487e-02
2.600000e-01	2.700000e-01	1.043068e+00	1.091994e-02	1.091994e-02
2.700000e-01	2.800000e-01	9.907107e-01	1.064235e-02	1.064235e-02
2.800000e-01	2.900000e-01	9.630425e-01	1.049268e-02	1.049268e-02
2.900000e-01	3.000000e-01	9.270329e-01	1.029465e-02	1.029465e-02
