# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/PhiCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/PhiCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/PhiCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/PhiCh
ScaledBy=4.19853314334648120e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.595177e-01	2.893700e-04	2.893700e-04
6.283185e-02	1.256637e-01	1.599377e-01	2.897509e-04	2.897509e-04
1.256637e-01	1.884956e-01	1.596543e-01	2.894936e-04	2.894936e-04
1.884956e-01	2.513274e-01	1.593128e-01	2.891841e-04	2.891841e-04
2.513274e-01	3.141593e-01	1.594410e-01	2.893001e-04	2.893001e-04
3.141593e-01	3.769911e-01	1.590580e-01	2.889529e-04	2.889529e-04
3.769911e-01	4.398230e-01	1.592116e-01	2.890925e-04	2.890925e-04
4.398230e-01	5.026548e-01	1.588154e-01	2.887319e-04	2.887319e-04
5.026548e-01	5.654867e-01	1.588859e-01	2.887962e-04	2.887962e-04
5.654867e-01	6.283185e-01	1.588499e-01	2.887637e-04	2.887637e-04
6.283185e-01	6.911504e-01	1.583222e-01	2.882835e-04	2.882835e-04
6.911504e-01	7.539822e-01	1.585393e-01	2.884813e-04	2.884813e-04
7.539822e-01	8.168141e-01	1.591001e-01	2.889908e-04	2.889908e-04
8.168141e-01	8.796459e-01	1.583865e-01	2.883417e-04	2.883417e-04
8.796459e-01	9.424778e-01	1.586238e-01	2.885577e-04	2.885577e-04
9.424778e-01	1.005310e+00	1.591259e-01	2.890139e-04	2.890139e-04
1.005310e+00	1.068142e+00	1.585397e-01	2.884812e-04	2.884812e-04
1.068142e+00	1.130973e+00	1.588379e-01	2.887547e-04	2.887547e-04
1.130973e+00	1.193805e+00	1.584533e-01	2.884023e-04	2.884023e-04
1.193805e+00	1.256637e+00	1.594363e-01	2.892956e-04	2.892956e-04
1.256637e+00	1.319469e+00	1.583483e-01	2.883071e-04	2.883071e-04
1.319469e+00	1.382301e+00	1.590901e-01	2.889812e-04	2.889812e-04
1.382301e+00	1.445133e+00	1.592036e-01	2.890844e-04	2.890844e-04
1.445133e+00	1.507964e+00	1.589223e-01	2.888313e-04	2.888313e-04
1.507964e+00	1.570796e+00	1.588298e-01	2.887448e-04	2.887448e-04
1.570796e+00	1.633628e+00	1.591100e-01	2.889992e-04	2.889992e-04
1.633628e+00	1.696460e+00	1.584359e-01	2.883868e-04	2.883868e-04
1.696460e+00	1.759292e+00	1.586150e-01	2.885498e-04	2.885498e-04
1.759292e+00	1.822124e+00	1.590179e-01	2.889158e-04	2.889158e-04
1.822124e+00	1.884956e+00	1.586080e-01	2.885433e-04	2.885433e-04
1.884956e+00	1.947787e+00	1.589008e-01	2.888118e-04	2.888118e-04
1.947787e+00	2.010619e+00	1.585431e-01	2.884844e-04	2.884844e-04
2.010619e+00	2.073451e+00	1.590259e-01	2.889233e-04	2.889233e-04
2.073451e+00	2.136283e+00	1.586181e-01	2.885526e-04	2.885526e-04
2.136283e+00	2.199115e+00	1.588020e-01	2.887201e-04	2.887201e-04
2.199115e+00	2.261947e+00	1.591945e-01	2.890764e-04	2.890764e-04
2.261947e+00	2.324779e+00	1.582404e-01	2.882092e-04	2.882092e-04
2.324779e+00	2.387610e+00	1.581483e-01	2.881273e-04	2.881273e-04
2.387610e+00	2.450442e+00	1.587554e-01	2.886772e-04	2.886772e-04
2.450442e+00	2.513274e+00	1.590686e-01	2.889622e-04	2.889622e-04
2.513274e+00	2.576106e+00	1.590664e-01	2.889600e-04	2.889600e-04
2.576106e+00	2.638938e+00	1.582845e-01	2.882492e-04	2.882492e-04
2.638938e+00	2.701770e+00	1.591967e-01	2.890786e-04	2.890786e-04
2.701770e+00	2.764602e+00	1.589841e-01	2.888855e-04	2.888855e-04
2.764602e+00	2.827433e+00	1.584774e-01	2.884270e-04	2.884270e-04
2.827433e+00	2.890265e+00	1.586330e-01	2.885659e-04	2.885659e-04
2.890265e+00	2.953097e+00	1.586962e-01	2.886235e-04	2.886235e-04
2.953097e+00	3.015929e+00	1.585526e-01	2.884932e-04	2.884932e-04
3.015929e+00	3.078761e+00	1.590390e-01	2.889352e-04	2.889352e-04
3.078761e+00	3.141593e+00	1.591628e-01	2.890476e-04	2.890476e-04
3.141593e+00	3.204425e+00	1.590689e-01	2.889623e-04	2.889623e-04
3.204425e+00	3.267256e+00	1.586289e-01	2.885647e-04	2.885647e-04
3.267256e+00	3.330088e+00	1.587976e-01	2.887158e-04	2.887158e-04
3.330088e+00	3.392920e+00	1.592448e-01	2.891216e-04	2.891216e-04
3.392920e+00	3.455752e+00	1.593104e-01	2.891815e-04	2.891815e-04
3.455752e+00	3.518584e+00	1.591039e-01	2.889940e-04	2.889940e-04
3.518584e+00	3.581416e+00	1.594227e-01	2.892835e-04	2.892835e-04
3.581416e+00	3.644247e+00	1.594168e-01	2.892804e-04	2.892804e-04
3.644247e+00	3.707079e+00	1.595722e-01	2.894191e-04	2.894191e-04
3.707079e+00	3.769911e+00	1.594963e-01	2.893499e-04	2.893499e-04
3.769911e+00	3.832743e+00	1.600076e-01	2.898132e-04	2.898132e-04
3.832743e+00	3.895575e+00	1.597651e-01	2.895939e-04	2.895939e-04
3.895575e+00	3.958407e+00	1.599753e-01	2.897843e-04	2.897843e-04
3.958407e+00	4.021239e+00	1.600267e-01	2.898307e-04	2.898307e-04
4.021239e+00	4.084070e+00	1.594746e-01	2.893329e-04	2.893329e-04
4.084070e+00	4.146902e+00	1.592701e-01	2.891447e-04	2.891447e-04
4.146902e+00	4.209734e+00	1.594939e-01	2.893484e-04	2.893484e-04
4.209734e+00	4.272566e+00	1.593712e-01	2.892367e-04	2.892367e-04
4.272566e+00	4.335398e+00	1.597433e-01	2.895741e-04	2.895741e-04
4.335398e+00	4.398230e+00	1.594511e-01	2.893091e-04	2.893091e-04
4.398230e+00	4.461062e+00	1.587698e-01	2.886906e-04	2.886906e-04
4.461062e+00	4.523893e+00	1.592117e-01	2.890944e-04	2.890944e-04
4.523893e+00	4.586725e+00	1.588717e-01	2.887832e-04	2.887832e-04
4.586725e+00	4.649557e+00	1.593139e-01	2.891850e-04	2.891850e-04
4.649557e+00	4.712389e+00	1.591481e-01	2.890341e-04	2.890341e-04
4.712389e+00	4.775221e+00	1.599591e-01	2.897696e-04	2.897696e-04
4.775221e+00	4.838053e+00	1.593670e-01	2.892329e-04	2.892329e-04
4.838053e+00	4.900885e+00	1.594796e-01	2.893347e-04	2.893347e-04
4.900885e+00	4.963716e+00	1.590402e-01	2.889383e-04	2.889383e-04
4.963716e+00	5.026548e+00	1.597570e-01	2.895865e-04	2.895865e-04
5.026548e+00	5.089380e+00	1.600043e-01	2.898107e-04	2.898107e-04
5.089380e+00	5.152212e+00	1.595623e-01	2.894100e-04	2.894100e-04
5.152212e+00	5.215044e+00	1.595689e-01	2.894157e-04	2.894157e-04
5.215044e+00	5.277876e+00	1.596766e-01	2.895137e-04	2.895137e-04
5.277876e+00	5.340708e+00	1.597489e-01	2.895795e-04	2.895795e-04
5.340708e+00	5.403539e+00	1.598561e-01	2.896787e-04	2.896787e-04
5.403539e+00	5.466371e+00	1.593269e-01	2.891962e-04	2.891962e-04
5.466371e+00	5.529203e+00	1.591494e-01	2.890350e-04	2.890350e-04
5.529203e+00	5.592035e+00	1.593363e-01	2.892054e-04	2.892054e-04
5.592035e+00	5.654867e+00	1.595160e-01	2.893680e-04	2.893680e-04
5.654867e+00	5.717699e+00	1.591513e-01	2.890370e-04	2.890370e-04
5.717699e+00	5.780530e+00	1.595811e-01	2.894293e-04	2.894293e-04
5.780530e+00	5.843362e+00	1.593024e-01	2.891741e-04	2.891741e-04
5.843362e+00	5.906194e+00	1.596406e-01	2.894810e-04	2.894810e-04
5.906194e+00	5.969026e+00	1.591166e-01	2.890055e-04	2.890055e-04
5.969026e+00	6.031858e+00	1.595677e-01	2.894152e-04	2.894152e-04
6.031858e+00	6.094690e+00	1.588737e-01	2.887845e-04	2.887845e-04
6.094690e+00	6.157522e+00	1.597406e-01	2.895714e-04	2.895714e-04
6.157522e+00	6.220353e+00	1.597711e-01	2.896016e-04	2.896016e-04
6.220353e+00	6.283185e+00	1.598241e-01	2.896472e-04	2.896472e-04
# END HISTO1D

