# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/Z_pT
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/Z_pT
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/Z_pT
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/Z_pT
ScaledBy=1.45528307020074835e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.049039e+00	3.496760e-04	9.028594e-05	9.028594e-05
1.049039e+00	1.100484e+00	3.777652e-04	9.162150e-05	9.162150e-05
1.100484e+00	1.154451e+00	4.024773e-04	9.233463e-05	9.233463e-05
1.154451e+00	1.211064e+00	4.038592e-04	9.030565e-05	9.030565e-05
1.211064e+00	1.270454e+00	2.887314e-04	7.455013e-05	7.455013e-05
1.270454e+00	1.332757e+00	4.403706e-04	8.989029e-05	8.989029e-05
1.332757e+00	1.398114e+00	3.148448e-04	7.420963e-05	7.420963e-05
1.398114e+00	1.466677e+00	5.168779e-04	9.283402e-05	9.283402e-05
1.466677e+00	1.538602e+00	6.039762e-04	9.797788e-05	9.797788e-05
1.538602e+00	1.614054e+00	4.999877e-04	8.703668e-05	8.703668e-05
1.614054e+00	1.693207e+00	4.477240e-04	8.041362e-05	8.041362e-05
1.693207e+00	1.776240e+00	4.818740e-04	8.145156e-05	8.145156e-05
1.776240e+00	1.863346e+00	5.905825e-04	8.803884e-05	8.803884e-05
1.863346e+00	1.954724e+00	5.129302e-04	8.010625e-05	8.010625e-05
1.954724e+00	2.050582e+00	6.201419e-04	8.599821e-05	8.599821e-05
2.050582e+00	2.151142e+00	5.797770e-04	8.118503e-05	8.118503e-05
2.151142e+00	2.256632e+00	8.886253e-04	9.813225e-05	9.813225e-05
2.256632e+00	2.367296e+00	6.301437e-04	8.068163e-05	8.068163e-05
2.367296e+00	2.483387e+00	6.400751e-04	7.939154e-05	7.939154e-05
2.483387e+00	2.605171e+00	8.542148e-04	8.954607e-05	8.954607e-05
2.605171e+00	2.732927e+00	7.337509e-04	8.102923e-05	8.102923e-05
2.732927e+00	2.866948e+00	9.894666e-04	9.186970e-05	9.186970e-05
2.866948e+00	3.007542e+00	8.862896e-04	8.489119e-05	8.489119e-05
3.007542e+00	3.155030e+00	1.061891e-03	9.072348e-05	9.072348e-05
3.155030e+00	3.309751e+00	1.093524e-03	8.988717e-05	8.988717e-05
3.309751e+00	3.472059e+00	1.317097e-03	9.631568e-05	9.631568e-05
3.472059e+00	3.642327e+00	1.221953e-03	9.057718e-05	9.057718e-05
3.642327e+00	3.820945e+00	1.312033e-03	9.163637e-05	9.163637e-05
3.820945e+00	4.008322e+00	1.305611e-03	8.924969e-05	8.924969e-05
4.008322e+00	4.204887e+00	1.238767e-03	8.487890e-05	8.487890e-05
4.204887e+00	4.411093e+00	1.480219e-03	9.058796e-05	9.058796e-05
4.411093e+00	4.627410e+00	1.553720e-03	9.061479e-05	9.061479e-05
4.627410e+00	4.854336e+00	1.627175e-03	9.053847e-05	9.053847e-05
4.854336e+00	5.092390e+00	1.608738e-03	8.789477e-05	8.789477e-05
5.092390e+00	5.342118e+00	1.588467e-03	8.527340e-05	8.527340e-05
5.342118e+00	5.604092e+00	1.981134e-03	9.297921e-05	9.297921e-05
5.604092e+00	5.878913e+00	2.042432e-03	9.217368e-05	9.217368e-05
5.878913e+00	6.167212e+00	2.176934e-03	9.290929e-05	9.290929e-05
6.167212e+00	6.469649e+00	2.199906e-03	9.118905e-05	9.118905e-05
6.469649e+00	6.786916e+00	2.252015e-03	9.008059e-05	9.008059e-05
6.786916e+00	7.119743e+00	2.493642e-03	9.254775e-05	9.254775e-05
7.119743e+00	7.468891e+00	2.396722e-03	8.858539e-05	8.858539e-05
7.468891e+00	7.835161e+00	2.659221e-03	9.110340e-05	9.110340e-05
7.835161e+00	8.219393e+00	2.686645e-03	8.940595e-05	8.940595e-05
8.219393e+00	8.622467e+00	2.966626e-03	9.172701e-05	9.172701e-05
8.622467e+00	9.045308e+00	3.122632e-03	9.188190e-05	9.188190e-05
9.045308e+00	9.488885e+00	3.270458e-03	9.180743e-05	9.180743e-05
9.488885e+00	9.954215e+00	3.382898e-03	9.116371e-05	9.116371e-05
9.954215e+00	1.044236e+01	3.531576e-03	9.094271e-05	9.094271e-05
1.044236e+01	1.095445e+01	3.663350e-03	9.043241e-05	9.043241e-05
1.095445e+01	1.149165e+01	3.960285e-03	9.180224e-05	9.180224e-05
1.149165e+01	1.205520e+01	4.168651e-03	9.195801e-05	9.195801e-05
1.205520e+01	1.264638e+01	4.441784e-03	9.267804e-05	9.267804e-05
1.264638e+01	1.326655e+01	4.597289e-03	9.205632e-05	9.205632e-05
1.326655e+01	1.391713e+01	5.023768e-03	9.395556e-05	9.395556e-05
1.391713e+01	1.459962e+01	5.076984e-03	9.221739e-05	9.221739e-05
1.459962e+01	1.531558e+01	5.478328e-03	9.352715e-05	9.352715e-05
1.531558e+01	1.606664e+01	5.596739e-03	9.229715e-05	9.229715e-05
1.606664e+01	1.685454e+01	5.944441e-03	9.287054e-05	9.287054e-05
1.685454e+01	1.768108e+01	6.453524e-03	9.447667e-05	9.447667e-05
1.768108e+01	1.854815e+01	6.605409e-03	9.332131e-05	9.332131e-05
1.854815e+01	1.945774e+01	7.170114e-03	9.492886e-05	9.492886e-05
1.945774e+01	2.041194e+01	7.810119e-03	9.673134e-05	9.673134e-05
2.041194e+01	2.141293e+01	7.985237e-03	9.549642e-05	9.549642e-05
2.141293e+01	2.246300e+01	8.445933e-03	9.588986e-05	9.588986e-05
2.246300e+01	2.356458e+01	9.004709e-03	9.666849e-05	9.666849e-05
2.356458e+01	2.472017e+01	9.700724e-03	9.796213e-05	9.796213e-05
2.472017e+01	2.593243e+01	1.033643e-02	9.872917e-05	9.872917e-05
2.593243e+01	2.720414e+01	1.108835e-02	9.983841e-05	9.983841e-05
2.720414e+01	2.853822e+01	1.196244e-02	1.012458e-04	1.012458e-04
2.853822e+01	2.993772e+01	1.277883e-02	1.021685e-04	1.021685e-04
2.993772e+01	3.140585e+01	1.378084e-02	1.035890e-04	1.035890e-04
3.140585e+01	3.294597e+01	1.512077e-02	1.059419e-04	1.059419e-04
3.294597e+01	3.456162e+01	1.623588e-02	1.071821e-04	1.071821e-04
3.456162e+01	3.625650e+01	1.788754e-02	1.098409e-04	1.098409e-04
3.625650e+01	3.803450e+01	1.982312e-02	1.128959e-04	1.128959e-04
3.803450e+01	3.989969e+01	2.256593e-02	1.176043e-04	1.176043e-04
3.989969e+01	4.185635e+01	2.563409e-02	1.223797e-04	1.223797e-04
4.185635e+01	4.390896e+01	3.005535e-02	1.293796e-04	1.293796e-04
4.390896e+01	4.606223e+01	3.702538e-02	1.402034e-04	1.402034e-04
4.606223e+01	4.832110e+01	5.034398e-02	1.596196e-04	1.596196e-04
4.832110e+01	5.069074e+01	7.046627e-02	1.843777e-04	1.843777e-04
5.069074e+01	5.317658e+01	5.908039e-02	1.648376e-04	1.648376e-04
5.317658e+01	5.578433e+01	1.109962e-02	6.977477e-05	6.977477e-05
5.578433e+01	5.851997e+01	3.439534e-04	1.199693e-05	1.199693e-05
