# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/Phi
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/Phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/Phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/Phi
ScaledBy=5.28345184745567220e-06
Title=Analysisbgwzc
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.585814e-01	3.187872e-04	3.187872e-04
6.283185e-02	1.256637e-01	1.587310e-01	3.189422e-04	3.189422e-04
1.256637e-01	1.884956e-01	1.584574e-01	3.186828e-04	3.186828e-04
1.884956e-01	2.513274e-01	1.592111e-01	3.194621e-04	3.194621e-04
2.513274e-01	3.141593e-01	1.585925e-01	3.187730e-04	3.187730e-04
3.141593e-01	3.769911e-01	1.594312e-01	3.196999e-04	3.196999e-04
3.769911e-01	4.398230e-01	1.594106e-01	3.196707e-04	3.196707e-04
4.398230e-01	5.026548e-01	1.591158e-01	3.193671e-04	3.193671e-04
5.026548e-01	5.654867e-01	1.596342e-01	3.199609e-04	3.199609e-04
5.654867e-01	6.283185e-01	1.597339e-01	3.199734e-04	3.199734e-04
6.283185e-01	6.911504e-01	1.591327e-01	3.193510e-04	3.193510e-04
6.911504e-01	7.539822e-01	1.585843e-01	3.187734e-04	3.187734e-04
7.539822e-01	8.168141e-01	1.584125e-01	3.185568e-04	3.185568e-04
8.168141e-01	8.796459e-01	1.592031e-01	3.193801e-04	3.193801e-04
8.796459e-01	9.424778e-01	1.588716e-01	3.190712e-04	3.190712e-04
9.424778e-01	1.005310e+00	1.594580e-01	3.196732e-04	3.196732e-04
1.005310e+00	1.068142e+00	1.590725e-01	3.193204e-04	3.193204e-04
1.068142e+00	1.130973e+00	1.588182e-01	3.189923e-04	3.189923e-04
1.130973e+00	1.193805e+00	1.584829e-01	3.186341e-04	3.186341e-04
1.193805e+00	1.256637e+00	1.585246e-01	3.187658e-04	3.187658e-04
1.256637e+00	1.319469e+00	1.595149e-01	3.197009e-04	3.197009e-04
1.319469e+00	1.382301e+00	1.592649e-01	3.194563e-04	3.194563e-04
1.382301e+00	1.445133e+00	1.589580e-01	3.190811e-04	3.190811e-04
1.445133e+00	1.507964e+00	1.586516e-01	3.188162e-04	3.188162e-04
1.507964e+00	1.570796e+00	1.588460e-01	3.189909e-04	3.189909e-04
1.570796e+00	1.633628e+00	1.585680e-01	3.186492e-04	3.186492e-04
1.633628e+00	1.696460e+00	1.583108e-01	3.184760e-04	3.184760e-04
1.696460e+00	1.759292e+00	1.580718e-01	3.181743e-04	3.181743e-04
1.759292e+00	1.822124e+00	1.587870e-01	3.189841e-04	3.189841e-04
1.822124e+00	1.884956e+00	1.583491e-01	3.185559e-04	3.185559e-04
1.884956e+00	1.947787e+00	1.578807e-01	3.180715e-04	3.180715e-04
1.947787e+00	2.010619e+00	1.588952e-01	3.190868e-04	3.190868e-04
2.010619e+00	2.073451e+00	1.585738e-01	3.187198e-04	3.187198e-04
2.073451e+00	2.136283e+00	1.586919e-01	3.188092e-04	3.188092e-04
2.136283e+00	2.199115e+00	1.591088e-01	3.192965e-04	3.192965e-04
2.199115e+00	2.261947e+00	1.591625e-01	3.193802e-04	3.193802e-04
2.261947e+00	2.324779e+00	1.589763e-01	3.191519e-04	3.191519e-04
2.324779e+00	2.387610e+00	1.583581e-01	3.185641e-04	3.185641e-04
2.387610e+00	2.450442e+00	1.586102e-01	3.186742e-04	3.186742e-04
2.450442e+00	2.513274e+00	1.581626e-01	3.182510e-04	3.182510e-04
2.513274e+00	2.576106e+00	1.586188e-01	3.187911e-04	3.187911e-04
2.576106e+00	2.638938e+00	1.591417e-01	3.193497e-04	3.193497e-04
2.638938e+00	2.701770e+00	1.590847e-01	3.193172e-04	3.193172e-04
2.701770e+00	2.764602e+00	1.592884e-01	3.195116e-04	3.195116e-04
2.764602e+00	2.827433e+00	1.596623e-01	3.198436e-04	3.198436e-04
2.827433e+00	2.890265e+00	1.589747e-01	3.191786e-04	3.191786e-04
2.890265e+00	2.953097e+00	1.594789e-01	3.197265e-04	3.197265e-04
2.953097e+00	3.015929e+00	1.595864e-01	3.198383e-04	3.198383e-04
3.015929e+00	3.078761e+00	1.599686e-01	3.202583e-04	3.202583e-04
3.078761e+00	3.141593e+00	1.594503e-01	3.197350e-04	3.197350e-04
3.141593e+00	3.204425e+00	1.593099e-01	3.195011e-04	3.195011e-04
3.204425e+00	3.267256e+00	1.597285e-01	3.199932e-04	3.199932e-04
3.267256e+00	3.330088e+00	1.592475e-01	3.194632e-04	3.194632e-04
3.330088e+00	3.392920e+00	1.595663e-01	3.198004e-04	3.198004e-04
