# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/Rapidity
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/Rapidity
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/Rapidity
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/Rapidity
ScaledBy=5.28345184745567220e-06
Title=Analysisbgwzc
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	5.286903e-05	4.605339e-06	4.605339e-06
-4.900000e+00	-4.800000e+00	7.153730e-05	5.410597e-06	5.410597e-06
-4.800000e+00	-4.700000e+00	7.269369e-05	5.441527e-06	5.441527e-06
-4.700000e+00	-4.600000e+00	1.000250e-04	6.376854e-06	6.376854e-06
-4.600000e+00	-4.500000e+00	1.273162e-04	7.173098e-06	7.173098e-06
-4.500000e+00	-4.400000e+00	1.479241e-04	7.716694e-06	7.716694e-06
-4.400000e+00	-4.300000e+00	1.925479e-04	8.849344e-06	8.849344e-06
-4.300000e+00	-4.200000e+00	2.240177e-04	9.518853e-06	9.518853e-06
-4.200000e+00	-4.100000e+00	2.874787e-04	1.075668e-05	1.075668e-05
-4.100000e+00	-4.000000e+00	3.473863e-04	1.184719e-05	1.184719e-05
-4.000000e+00	-3.900000e+00	4.480832e-04	1.345285e-05	1.345285e-05
-3.900000e+00	-3.800000e+00	5.837562e-04	1.536106e-05	1.536106e-05
-3.800000e+00	-3.700000e+00	7.084817e-04	1.693173e-05	1.693173e-05
-3.700000e+00	-3.600000e+00	8.858032e-04	1.892886e-05	1.892886e-05
-3.600000e+00	-3.500000e+00	1.104732e-03	2.114737e-05	2.114737e-05
-3.500000e+00	-3.400000e+00	1.385669e-03	2.363757e-05	2.363757e-05
-3.400000e+00	-3.300000e+00	1.715172e-03	2.629179e-05	2.629179e-05
-3.300000e+00	-3.200000e+00	2.145097e-03	2.943209e-05	2.943209e-05
-3.200000e+00	-3.100000e+00	2.583631e-03	3.231704e-05	3.231704e-05
-3.100000e+00	-3.000000e+00	3.284318e-03	3.642054e-05	3.642054e-05
-3.000000e+00	-2.900000e+00	4.108362e-03	4.072227e-05	4.072227e-05
-2.900000e+00	-2.800000e+00	5.083868e-03	4.529643e-05	4.529643e-05
-2.800000e+00	-2.700000e+00	6.217722e-03	5.012642e-05	5.012642e-05
-2.700000e+00	-2.600000e+00	7.774253e-03	5.601271e-05	5.601271e-05
-2.600000e+00	-2.500000e+00	9.759793e-03	6.275035e-05	6.275035e-05
-2.500000e+00	-2.400000e+00	1.205182e-02	6.974671e-05	6.974671e-05
-2.400000e+00	-2.300000e+00	1.503970e-02	7.786640e-05	7.786640e-05
-2.300000e+00	-2.200000e+00	1.852650e-02	8.642498e-05	8.642498e-05
-2.200000e+00	-2.100000e+00	2.305872e-02	9.643779e-05	9.643779e-05
-2.100000e+00	-2.000000e+00	2.810437e-02	1.064645e-04	1.064645e-04
-2.000000e+00	-1.900000e+00	3.465589e-02	1.181488e-04	1.181488e-04
-1.900000e+00	-1.800000e+00	4.266809e-02	1.311175e-04	1.311175e-04
-1.800000e+00	-1.700000e+00	5.237121e-02	1.452376e-04	1.452376e-04
-1.700000e+00	-1.600000e+00	6.423330e-02	1.608836e-04	1.608836e-04
-1.600000e+00	-1.500000e+00	7.755761e-02	1.767380e-04	1.767380e-04
-1.500000e+00	-1.400000e+00	9.442727e-02	1.950350e-04	1.950350e-04
-1.400000e+00	-1.300000e+00	1.135350e-01	2.138740e-04	2.138740e-04
-1.300000e+00	-1.200000e+00	1.365447e-01	2.345378e-04	2.345378e-04
-1.200000e+00	-1.100000e+00	1.627083e-01	2.559858e-04	2.559858e-04
-1.100000e+00	-1.000000e+00	1.925508e-01	2.784874e-04	2.784874e-04
-1.000000e+00	-9.000000e-01	2.257882e-01	3.015207e-04	3.015207e-04
-9.000000e-01	-8.000000e-01	2.631644e-01	3.255047e-04	3.255047e-04
-8.000000e-01	-7.000000e-01	3.005137e-01	3.477892e-04	3.477892e-04
-7.000000e-01	-6.000000e-01	3.411271e-01	3.705627e-04	3.705627e-04
-6.000000e-01	-5.000000e-01	3.813047e-01	3.917876e-04	3.917876e-04
-5.000000e-01	-4.000000e-01	4.200544e-01	4.112256e-04	4.112256e-04
-4.000000e-01	-3.000000e-01	4.544972e-01	4.276873e-04	4.276873e-04
-3.000000e-01	-2.000000e-01	4.821478e-01	4.405078e-04	4.405078e-04
-2.000000e-01	-1.000000e-01	5.017354e-01	4.494293e-04	4.494293e-04
-1.000000e-01	0.000000e+00	5.109549e-01	4.534598e-04	4.534598e-04
0.000000e+00	1.000000e-01	5.120308e-01	4.539577e-04	4.539577e-04
1.000000e-01	2.000000e-01	5.021644e-01	4.496351e-04	4.496351e-04
2.000000e-01	3.000000e-01	4.831511e-01	4.410071e-04	4.410071e-04
3.000000e-01	4.000000e-01	4.551449e-01	4.279985e-04	4.279985e-04
4.000000e-01	5.000000e-01	4.197195e-01	4.109926e-04	4.109926e-04
5.000000e-01	6.000000e-01	3.817076e-01	3.920175e-04	3.920175e-04
6.000000e-01	7.000000e-01	3.419907e-01	3.711238e-04	3.711238e-04
7.000000e-01	8.000000e-01	3.013147e-01	3.483043e-04	3.483043e-04
8.000000e-01	9.000000e-01	2.620194e-01	3.248278e-04	3.248278e-04
9.000000e-01	1.000000e+00	2.257319e-01	3.015109e-04	3.015109e-04
1.000000e+00	1.100000e+00	1.924591e-01	2.783836e-04	2.783836e-04
1.100000e+00	1.200000e+00	1.622992e-01	2.556916e-04	2.556916e-04
1.200000e+00	1.300000e+00	1.357551e-01	2.338636e-04	2.338636e-04
1.300000e+00	1.400000e+00	1.136503e-01	2.139378e-04	2.139378e-04
1.400000e+00	1.500000e+00	9.432964e-02	1.949471e-04	1.949471e-04
1.500000e+00	1.600000e+00	7.797645e-02	1.772255e-04	1.772255e-04
1.600000e+00	1.700000e+00	6.400797e-02	1.605690e-04	1.605690e-04
1.700000e+00	1.800000e+00	5.233184e-02	1.451953e-04	1.451953e-04
1.800000e+00	1.900000e+00	4.259709e-02	1.310401e-04	1.310401e-04
1.900000e+00	2.000000e+00	3.464250e-02	1.181531e-04	1.181531e-04
2.000000e+00	2.100000e+00	2.828574e-02	1.067927e-04	1.067927e-04
2.100000e+00	2.200000e+00	2.294566e-02	9.618091e-05	9.618091e-05
2.200000e+00	2.300000e+00	1.860464e-02	8.660725e-05	8.660725e-05
2.300000e+00	2.400000e+00	1.504721e-02	7.791386e-05	7.791386e-05
2.400000e+00	2.500000e+00	1.195995e-02	6.949491e-05	6.949491e-05
2.500000e+00	2.600000e+00	9.663190e-03	6.245572e-05	6.245572e-05
2.600000e+00	2.700000e+00	7.773385e-03	5.597562e-05	5.597562e-05
2.700000e+00	2.800000e+00	6.254551e-03	5.026515e-05	5.026515e-05
2.800000e+00	2.900000e+00	5.043997e-03	4.510856e-05	4.510856e-05
2.900000e+00	3.000000e+00	3.945676e-03	3.994036e-05	3.994036e-05
3.000000e+00	3.100000e+00	3.278553e-03	3.645408e-05	3.645408e-05
3.100000e+00	3.200000e+00	2.589955e-03	3.236161e-05	3.236161e-05
3.200000e+00	3.300000e+00	2.082427e-03	2.902300e-05	2.902300e-05
3.300000e+00	3.400000e+00	1.633057e-03	2.568619e-05	2.568619e-05
3.400000e+00	3.500000e+00	1.341179e-03	2.326556e-05	2.326556e-05
3.500000e+00	3.600000e+00	1.071204e-03	2.079813e-05	2.079813e-05
3.600000e+00	3.700000e+00	8.810614e-04	1.889396e-05	1.889396e-05
3.700000e+00	3.800000e+00	6.835851e-04	1.660112e-05	1.660112e-05
3.800000e+00	3.900000e+00	5.470836e-04	1.486870e-05	1.486870e-05
3.900000e+00	4.000000e+00	4.707312e-04	1.380879e-05	1.380879e-05
4.000000e+00	4.100000e+00	3.808002e-04	1.239125e-05	1.239125e-05
4.100000e+00	4.200000e+00	2.826667e-04	1.064735e-05	1.064735e-05
4.200000e+00	4.300000e+00	2.232174e-04	9.507706e-06	9.507706e-06
4.300000e+00	4.400000e+00	1.793267e-04	8.509753e-06	8.509753e-06
4.400000e+00	4.500000e+00	1.545054e-04	7.899785e-06	7.899785e-06
4.500000e+00	4.600000e+00	1.189313e-04	6.940706e-06	6.940706e-06
4.600000e+00	4.700000e+00	1.067837e-04	6.598657e-06	6.598657e-06
4.700000e+00	4.800000e+00	7.585897e-05	5.535501e-06	5.535501e-06
4.800000e+00	4.900000e+00	7.224142e-05	5.364966e-06	5.364966e-06
4.900000e+00	5.000000e+00	5.505268e-05	4.680401e-06	4.680401e-06
# END HISTO1D

