# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_TGPeak
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_TGPeak
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_TGPeak
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_TGPeak
ScaledBy=2.67903409629076383e-03
Title=Analysisbgwzc
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e-01	9.010000e-01	2.159689e+01	6.628820e-01	6.628820e-01
9.010000e-01	9.020000e-01	2.259658e+01	6.783217e-01	6.783217e-01
9.020000e-01	9.030000e-01	2.301609e+01	6.862578e-01	6.862578e-01
9.030000e-01	9.040000e-01	2.261126e+01	6.805995e-01	6.805995e-01
9.040000e-01	9.050000e-01	2.256095e+01	6.778455e-01	6.778455e-01
9.050000e-01	9.060000e-01	2.261498e+01	6.808815e-01	6.808815e-01
9.060000e-01	9.070000e-01	2.382164e+01	6.984360e-01	6.984360e-01
9.070000e-01	9.080000e-01	2.352391e+01	6.963916e-01	6.963916e-01
9.080000e-01	9.090000e-01	2.458082e+01	7.125580e-01	7.125580e-01
9.090000e-01	9.100000e-01	2.382852e+01	7.004415e-01	7.004415e-01
9.100000e-01	9.110000e-01	2.478753e+01	7.140638e-01	7.140638e-01
9.110000e-01	9.120000e-01	2.464521e+01	7.137869e-01	7.137869e-01
9.120000e-01	9.130000e-01	2.436790e+01	7.109781e-01	7.109781e-01
9.130000e-01	9.140000e-01	2.582838e+01	7.332086e-01	7.332086e-01
9.140000e-01	9.150000e-01	2.528085e+01	7.225411e-01	7.225411e-01
9.150000e-01	9.160000e-01	2.758192e+01	7.590655e-01	7.590655e-01
9.160000e-01	9.170000e-01	2.486986e+01	7.205984e-01	7.205984e-01
9.170000e-01	9.180000e-01	2.751356e+01	7.592691e-01	7.592691e-01
9.180000e-01	9.190000e-01	2.762644e+01	7.617906e-01	7.617906e-01
9.190000e-01	9.200000e-01	2.737154e+01	7.573893e-01	7.573893e-01
9.200000e-01	9.210000e-01	2.780003e+01	7.644648e-01	7.644648e-01
9.210000e-01	9.220000e-01	2.802264e+01	7.684939e-01	7.684939e-01
9.220000e-01	9.230000e-01	2.970340e+01	7.909508e-01	7.909508e-01
9.230000e-01	9.240000e-01	2.844817e+01	7.748100e-01	7.748100e-01
9.240000e-01	9.250000e-01	3.013255e+01	7.966027e-01	7.966027e-01
9.250000e-01	9.260000e-01	3.000003e+01	7.965791e-01	7.965791e-01
9.260000e-01	9.270000e-01	3.034465e+01	8.008213e-01	8.008213e-01
9.270000e-01	9.280000e-01	3.252583e+01	8.289482e-01	8.289482e-01
9.280000e-01	9.290000e-01	3.125929e+01	8.125576e-01	8.125576e-01
9.290000e-01	9.300000e-01	3.269638e+01	8.334822e-01	8.334822e-01
9.300000e-01	9.310000e-01	3.340032e+01	8.413660e-01	8.413660e-01
9.310000e-01	9.320000e-01	3.430388e+01	8.543441e-01	8.543441e-01
9.320000e-01	9.330000e-01	3.393573e+01	8.498358e-01	8.498358e-01
9.330000e-01	9.340000e-01	3.342583e+01	8.441542e-01	8.441542e-01
9.340000e-01	9.350000e-01	3.475620e+01	8.615364e-01	8.615364e-01
9.350000e-01	9.360000e-01	3.492685e+01	8.638163e-01	8.638163e-01
9.360000e-01	9.370000e-01	3.611279e+01	8.785180e-01	8.785180e-01
9.370000e-01	9.380000e-01	3.884268e+01	9.119287e-01	9.119287e-01
9.380000e-01	9.390000e-01	4.023457e+01	9.278451e-01	9.278451e-01
9.390000e-01	9.400000e-01	3.984043e+01	9.233784e-01	9.233784e-01
9.400000e-01	9.410000e-01	4.216759e+01	9.512223e-01	9.512223e-01
9.410000e-01	9.420000e-01	4.249373e+01	9.557591e-01	9.557591e-01
9.420000e-01	9.430000e-01	4.376390e+01	9.698132e-01	9.698132e-01
9.430000e-01	9.440000e-01	4.203950e+01	9.512570e-01	9.512570e-01
9.440000e-01	9.450000e-01	4.274745e+01	9.587377e-01	9.587377e-01
9.450000e-01	9.460000e-01	4.653898e+01	1.000993e+00	1.000993e+00
9.460000e-01	9.470000e-01	4.586084e+01	9.932477e-01	9.932477e-01
9.470000e-01	9.480000e-01	4.984018e+01	1.036624e+00	1.036624e+00
9.480000e-01	9.490000e-01	4.714816e+01	1.007909e+00	1.007909e+00
9.490000e-01	9.500000e-01	4.960091e+01	1.034901e+00	1.034901e+00
9.500000e-01	9.510000e-01	5.100436e+01	1.048386e+00	1.048386e+00
9.510000e-01	9.520000e-01	5.370938e+01	1.076718e+00	1.076718e+00
9.520000e-01	9.530000e-01	5.344602e+01	1.074479e+00	1.074479e+00
9.530000e-01	9.540000e-01	5.398152e+01	1.079831e+00	1.079831e+00
9.540000e-01	9.550000e-01	5.698036e+01	1.109723e+00	1.109723e+00
9.550000e-01	9.560000e-01	5.940601e+01	1.133006e+00	1.133006e+00
9.560000e-01	9.570000e-01	6.306459e+01	1.167726e+00	1.167726e+00
9.570000e-01	9.580000e-01	6.176598e+01	1.155909e+00	1.155909e+00
9.580000e-01	9.590000e-01	6.386506e+01	1.175539e+00	1.175539e+00
9.590000e-01	9.600000e-01	6.614518e+01	1.196676e+00	1.196676e+00
9.600000e-01	9.610000e-01	7.030607e+01	1.233649e+00	1.233649e+00
9.610000e-01	9.620000e-01	7.409168e+01	1.266685e+00	1.266685e+00
9.620000e-01	9.630000e-01	7.333358e+01	1.260308e+00	1.260308e+00
9.630000e-01	9.640000e-01	7.776615e+01	1.297933e+00	1.297933e+00
9.640000e-01	9.650000e-01	8.054819e+01	1.321007e+00	1.321007e+00
9.650000e-01	9.660000e-01	8.336961e+01	1.343987e+00	1.343987e+00
9.660000e-01	9.670000e-01	8.756768e+01	1.377501e+00	1.377501e+00
9.670000e-01	9.680000e-01	8.862050e+01	1.386063e+00	1.386063e+00
9.680000e-01	9.690000e-01	9.452314e+01	1.431401e+00	1.431401e+00
9.690000e-01	9.700000e-01	9.608228e+01	1.443380e+00	1.443380e+00
9.700000e-01	9.710000e-01	1.034892e+02	1.497950e+00	1.497950e+00
9.710000e-01	9.720000e-01	1.081299e+02	1.531067e+00	1.531067e+00
9.720000e-01	9.730000e-01	1.126606e+02	1.563016e+00	1.563016e+00
9.730000e-01	9.740000e-01	1.155018e+02	1.582608e+00	1.582608e+00
9.740000e-01	9.750000e-01	1.189024e+02	1.605821e+00	1.605821e+00
9.750000e-01	9.760000e-01	1.255801e+02	1.650385e+00	1.650385e+00
9.760000e-01	9.770000e-01	1.279470e+02	1.665685e+00	1.665685e+00
9.770000e-01	9.780000e-01	1.334918e+02	1.701560e+00	1.701560e+00
9.780000e-01	9.790000e-01	1.386183e+02	1.733776e+00	1.733776e+00
9.790000e-01	9.800000e-01	1.415088e+02	1.751875e+00	1.751875e+00
9.800000e-01	9.810000e-01	1.423335e+02	1.756979e+00	1.756979e+00
9.810000e-01	9.820000e-01	1.484265e+02	1.794182e+00	1.794182e+00
9.820000e-01	9.830000e-01	1.477263e+02	1.789918e+00	1.789918e+00
9.830000e-01	9.840000e-01	1.486825e+02	1.795806e+00	1.795806e+00
9.840000e-01	9.850000e-01	1.502634e+02	1.805315e+00	1.805315e+00
9.850000e-01	9.860000e-01	1.466428e+02	1.783440e+00	1.783440e+00
9.860000e-01	9.870000e-01	1.494561e+02	1.800445e+00	1.800445e+00
9.870000e-01	9.880000e-01	1.437874e+02	1.766026e+00	1.766026e+00
9.880000e-01	9.890000e-01	1.432214e+02	1.762534e+00	1.762534e+00
9.890000e-01	9.900000e-01	1.377461e+02	1.728470e+00	1.728470e+00
9.900000e-01	9.910000e-01	1.304504e+02	1.682147e+00	1.682147e+00
9.910000e-01	9.920000e-01	1.252177e+02	1.648030e+00	1.648030e+00
9.920000e-01	9.930000e-01	1.158210e+02	1.584972e+00	1.584972e+00
9.930000e-01	9.940000e-01	9.910132e+01	1.466118e+00	1.466118e+00
9.940000e-01	9.950000e-01	6.428979e+01	1.180872e+00	1.180872e+00
9.950000e-01	9.960000e-01	2.845839e+01	7.856761e-01	7.856761e-01
9.960000e-01	9.970000e-01	5.813269e+00	3.551021e-01	3.551021e-01
9.970000e-01	9.980000e-01	8.675905e-01	1.371781e-01	1.371781e-01
9.980000e-01	9.990000e-01	1.084488e-01	4.849978e-02	4.849978e-02
9.990000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

