# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_Tm
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_Tm
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_Tm
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_Tm
ScaledBy=2.67903409629076383e-03
Title=Analysisbgwzc
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	1.279696e-01	1.666022e-02	1.666022e-02
2.000000e-02	3.000000e-02	3.294993e+00	8.450462e-02	8.450462e-02
3.000000e-02	4.000000e-02	2.540910e+01	2.346575e-01	2.346575e-01
4.000000e-02	5.000000e-02	7.027936e+01	3.901915e-01	3.901915e-01
5.000000e-02	6.000000e-02	9.758631e+01	4.593943e-01	4.593943e-01
6.000000e-02	7.000000e-02	1.012418e+02	4.673049e-01	4.673049e-01
7.000000e-02	8.000000e-02	9.137091e+01	4.426660e-01	4.426660e-01
8.000000e-02	9.000000e-02	7.832815e+01	4.082357e-01	4.082357e-01
9.000000e-02	1.000000e-01	6.470734e+01	3.689531e-01	3.689531e-01
1.000000e-01	1.100000e-01	5.325570e+01	3.325915e-01	3.325915e-01
1.100000e-01	1.200000e-01	4.438832e+01	3.015437e-01	3.015437e-01
1.200000e-01	1.300000e-01	3.704328e+01	2.729004e-01	2.729004e-01
1.300000e-01	1.400000e-01	3.114521e+01	2.487705e-01	2.487705e-01
1.400000e-01	1.500000e-01	2.646978e+01	2.276823e-01	2.276823e-01
1.500000e-01	1.600000e-01	2.191219e+01	2.049788e-01	2.049788e-01
1.600000e-01	1.700000e-01	1.906093e+01	1.896692e-01	1.896692e-01
1.700000e-01	1.800000e-01	1.628135e+01	1.737187e-01	1.737187e-01
1.800000e-01	1.900000e-01	1.431909e+01	1.620382e-01	1.620382e-01
1.900000e-01	2.000000e-01	1.226239e+01	1.489699e-01	1.489699e-01
2.000000e-01	2.100000e-01	1.064607e+01	1.377551e-01	1.377551e-01
2.100000e-01	2.200000e-01	9.064750e+00	1.266344e-01	1.266344e-01
2.200000e-01	2.300000e-01	8.104276e+00	1.190069e-01	1.190069e-01
2.300000e-01	2.400000e-01	7.101903e+00	1.108652e-01	1.108652e-01
2.400000e-01	2.500000e-01	6.213993e+00	1.032607e-01	1.032607e-01
2.500000e-01	2.600000e-01	5.067967e+00	9.280735e-02	9.280735e-02
2.600000e-01	2.700000e-01	4.473565e+00	8.680308e-02	8.680308e-02
2.700000e-01	2.800000e-01	3.786075e+00	7.943183e-02	7.943183e-02
2.800000e-01	2.900000e-01	3.202065e+00	7.281360e-02	7.281360e-02
2.900000e-01	3.000000e-01	2.750460e+00	6.733860e-02	6.733860e-02
3.000000e-01	3.100000e-01	2.322728e+00	6.204694e-02	6.204694e-02
3.100000e-01	3.200000e-01	1.978325e+00	5.679349e-02	5.679349e-02
3.200000e-01	3.300000e-01	1.760152e+00	5.388688e-02	5.388688e-02
3.300000e-01	3.400000e-01	1.281798e+00	4.567645e-02	4.567645e-02
3.400000e-01	3.500000e-01	1.113383e+00	4.238954e-02	4.238954e-02
3.500000e-01	3.600000e-01	9.389980e-01	3.917250e-02	3.917250e-02
3.600000e-01	3.700000e-01	7.221742e-01	3.422536e-02	3.422536e-02
3.700000e-01	3.800000e-01	5.745025e-01	3.028664e-02	3.028664e-02
3.800000e-01	3.900000e-01	4.810138e-01	2.777169e-02	2.777169e-02
3.900000e-01	4.000000e-01	3.762688e-01	2.443182e-02	2.443182e-02
4.000000e-01	4.100000e-01	2.690579e-01	2.093867e-02	2.093867e-02
4.100000e-01	4.200000e-01	1.912732e-01	1.773105e-02	1.773105e-02
4.200000e-01	4.300000e-01	1.228443e-01	1.421766e-02	1.421766e-02
4.300000e-01	4.400000e-01	1.047409e-01	1.320433e-02	1.320433e-02
4.400000e-01	4.500000e-01	6.113233e-02	9.920067e-03	9.920067e-03
4.500000e-01	4.600000e-01	4.427584e-02	8.305837e-03	8.305837e-03
4.600000e-01	4.700000e-01	4.204979e-02	8.200639e-03	8.200639e-03
4.700000e-01	4.800000e-01	2.770249e-02	6.598288e-03	6.598288e-03
4.800000e-01	4.900000e-01	1.746633e-02	5.344566e-03	5.344566e-03
4.900000e-01	5.000000e-01	1.168190e-02	4.494383e-03	4.494383e-03
5.000000e-01	5.100000e-01	4.338323e-03	2.504732e-03	2.504732e-03
5.100000e-01	5.200000e-01	3.615084e-03	2.606853e-03	2.606853e-03
5.200000e-01	5.300000e-01	1.446108e-03	1.446108e-03	1.446108e-03
5.300000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e-01	5.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	5.800000e-01	1.446108e-03	1.446108e-03	1.446108e-03
5.800000e-01	5.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e-01	6.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e-01	6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
