# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/EtaSumEt //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbg.yoda/MyFSAnalysis/EtaSumEt //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisb.yoda/MyFSAnalysis/EtaSumEt
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/EtaSumEt //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbg.yoda/MyFSAnalysis/EtaSumEt //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisb.yoda/MyFSAnalysis/EtaSumEt
RatioPlot=1
RatioPlotReference=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/EtaSumEt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/EtaSumEt
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/EtaSumEt
Title=Analysisbgwzc
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.350452e+00	2.360226e-03	2.360226e-03
5.000000e-02	1.000000e-01	2.346446e+00	2.359651e-03	2.359651e-03
1.000000e-01	1.500000e-01	2.332453e+00	2.361137e-03	2.361137e-03
1.500000e-01	2.000000e-01	2.318194e+00	2.362565e-03	2.362565e-03
2.000000e-01	2.500000e-01	2.297790e+00	2.363737e-03	2.363737e-03
2.500000e-01	3.000000e-01	2.269329e+00	2.359200e-03	2.359200e-03
3.000000e-01	3.500000e-01	2.236444e+00	2.359000e-03	2.359000e-03
3.500000e-01	4.000000e-01	2.197575e+00	2.355471e-03	2.355471e-03
4.000000e-01	4.500000e-01	2.156311e+00	2.354725e-03	2.354725e-03
4.500000e-01	5.000000e-01	2.108976e+00	2.353690e-03	2.353690e-03
5.000000e-01	5.500000e-01	2.062642e+00	2.358987e-03	2.358987e-03
5.500000e-01	6.000000e-01	2.008164e+00	2.356320e-03	2.356320e-03
6.000000e-01	6.500000e-01	1.959774e+00	2.359338e-03	2.359338e-03
6.500000e-01	7.000000e-01	1.898403e+00	2.346984e-03	2.346984e-03
7.000000e-01	7.500000e-01	1.841355e+00	2.347468e-03	2.347468e-03
7.500000e-01	8.000000e-01	1.785603e+00	2.357162e-03	2.357162e-03
8.000000e-01	8.500000e-01	1.727766e+00	2.352992e-03	2.352992e-03
8.500000e-01	9.000000e-01	1.667581e+00	2.353835e-03	2.353835e-03
9.000000e-01	9.500000e-01	1.609590e+00	2.346204e-03	2.346204e-03
9.500000e-01	1.000000e+00	1.548694e+00	2.343702e-03	2.343702e-03
1.000000e+00	1.050000e+00	1.489258e+00	2.341804e-03	2.341804e-03
1.050000e+00	1.100000e+00	1.431881e+00	2.347532e-03	2.347532e-03
1.100000e+00	1.150000e+00	1.375487e+00	2.351253e-03	2.351253e-03
1.150000e+00	1.200000e+00	1.317567e+00	2.345146e-03	2.345146e-03
1.200000e+00	1.250000e+00	1.271523e+00	2.367611e-03	2.367611e-03
1.250000e+00	1.300000e+00	1.218554e+00	2.368078e-03	2.368078e-03
1.300000e+00	1.350000e+00	1.166802e+00	2.359565e-03	2.359565e-03
1.350000e+00	1.400000e+00	1.112826e+00	2.348541e-03	2.348541e-03
1.400000e+00	1.450000e+00	1.063125e+00	2.338200e-03	2.338200e-03
1.450000e+00	1.500000e+00	1.013645e+00	2.327409e-03	2.327409e-03
1.500000e+00	1.550000e+00	9.721383e-01	2.344000e-03	2.344000e-03
1.550000e+00	1.600000e+00	9.326350e-01	2.357012e-03	2.357012e-03
1.600000e+00	1.650000e+00	8.872932e-01	2.343985e-03	2.343985e-03
1.650000e+00	1.700000e+00	8.477315e-01	2.347981e-03	2.347981e-03
1.700000e+00	1.750000e+00	8.118109e-01	2.358105e-03	2.358105e-03
