# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/RapidityCh //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbg.yoda/MyFSAnalysis/RapidityCh //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisb.yoda/MyFSAnalysis/RapidityCh
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/RapidityCh //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbg.yoda/MyFSAnalysis/RapidityCh //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisb.yoda/MyFSAnalysis/RapidityCh
RatioPlot=1
RatioPlotReference=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/RapidityCh
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/RapidityCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyFSAnalysis/RapidityCh
ScaledBy=5.72443241069951139e-06
Title=Analysisbgwzc
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	6.809584e-06	1.722514e-06	1.722514e-06
-4.900000e+00	-4.800000e+00	1.036278e-05	2.136838e-06	2.136838e-06
-4.800000e+00	-4.700000e+00	1.117158e-05	2.213426e-06	2.213426e-06
-4.700000e+00	-4.600000e+00	1.855046e-05	2.907949e-06	2.907949e-06
-4.600000e+00	-4.500000e+00	2.463621e-05	3.295027e-06	3.295027e-06
-4.500000e+00	-4.400000e+00	3.561682e-05	3.987546e-06	3.987546e-06
-4.400000e+00	-4.300000e+00	4.595537e-05	4.522315e-06	4.522315e-06
-4.300000e+00	-4.200000e+00	6.747776e-05	5.442678e-06	5.442678e-06
-4.200000e+00	-4.100000e+00	9.571242e-05	6.512745e-06	6.512745e-06
-4.100000e+00	-4.000000e+00	1.125063e-04	7.035719e-06	7.035719e-06
-4.000000e+00	-3.900000e+00	1.808985e-04	8.950901e-06	8.950901e-06
-3.900000e+00	-3.800000e+00	2.313841e-04	1.010945e-05	1.010945e-05
-3.800000e+00	-3.700000e+00	3.004199e-04	1.147141e-05	1.147141e-05
-3.700000e+00	-3.600000e+00	4.023210e-04	1.326288e-05	1.326288e-05
-3.600000e+00	-3.500000e+00	5.328946e-04	1.536459e-05	1.536459e-05
-3.500000e+00	-3.400000e+00	7.057229e-04	1.762610e-05	1.762610e-05
-3.400000e+00	-3.300000e+00	9.437986e-04	2.035531e-05	2.035531e-05
-3.300000e+00	-3.200000e+00	1.295044e-03	2.384797e-05	2.384797e-05
-3.200000e+00	-3.100000e+00	1.644988e-03	2.690070e-05	2.690070e-05
