# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_A //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbg.yoda/MyHAnalysis/H_A //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisb.yoda/MyHAnalysis/H_A
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_A //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbg.yoda/MyHAnalysis/H_A //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisb.yoda/MyHAnalysis/H_A
RatioPlot=1
RatioPlotReference=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_A
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_A
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyHAnalysis/H_A
ScaledBy=1.51881227383296550e-04
Title=Analysisbgwzc
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	5.919007e+01	8.479252e-02	8.479252e-02
1.000000e-02	2.000000e-02	1.846560e+01	4.628796e-02	4.628796e-02
2.000000e-02	3.000000e-02	7.658774e+00	2.909681e-02	2.909681e-02
3.000000e-02	4.000000e-02	4.213502e+00	2.117182e-02	2.117182e-02
4.000000e-02	5.000000e-02	2.713206e+00	1.674794e-02	1.674794e-02
5.000000e-02	6.000000e-02	1.862900e+00	1.374716e-02	1.374716e-02
6.000000e-02	7.000000e-02	1.346426e+00	1.159277e-02	1.159277e-02
7.000000e-02	8.000000e-02	1.004283e+00	9.951208e-03	9.951208e-03
8.000000e-02	9.000000e-02	7.589678e-01	8.596795e-03	8.596795e-03
9.000000e-02	1.000000e-01	5.807404e-01	7.502492e-03	7.502492e-03
1.000000e-01	1.100000e-01	4.478409e-01	6.543578e-03	6.543578e-03
1.100000e-01	1.200000e-01	3.540376e-01	5.823109e-03	5.823109e-03
1.200000e-01	1.300000e-01	2.785467e-01	5.144494e-03	5.144494e-03
1.300000e-01	1.400000e-01	2.196437e-01	4.561683e-03	4.561683e-03
1.400000e-01	1.500000e-01	1.726220e-01	4.020415e-03	4.020415e-03
1.500000e-01	1.600000e-01	1.428156e-01	3.680440e-03	3.680440e-03
1.600000e-01	1.700000e-01	1.135035e-01	3.273683e-03	3.273683e-03
1.700000e-01	1.800000e-01	9.340682e-02	2.956408e-03	2.956408e-03
1.800000e-01	1.900000e-01	7.141536e-02	2.582301e-03	2.582301e-03
1.900000e-01	2.000000e-01	6.375926e-02	2.452794e-03	2.452794e-03
2.000000e-01	2.100000e-01	5.134191e-02	2.180519e-03	2.180519e-03
2.100000e-01	2.200000e-01	4.052867e-02	1.941909e-03	1.941909e-03
2.200000e-01	2.300000e-01	3.385728e-02	1.761258e-03	1.761258e-03
2.300000e-01	2.400000e-01	2.530011e-02	1.545243e-03	1.545243e-03
2.400000e-01	2.500000e-01	2.210184e-02	1.433502e-03	1.433502e-03
2.500000e-01	2.600000e-01	1.481215e-02	1.174217e-03	1.174217e-03
2.600000e-01	2.700000e-01	1.233338e-02	1.078816e-03	1.078816e-03
2.700000e-01	2.800000e-01	1.170887e-02	1.052038e-03	1.052038e-03
2.800000e-01	2.900000e-01	7.949826e-03	8.547689e-04	8.547689e-04
2.900000e-01	3.000000e-01	7.511765e-03	8.371684e-04	8.371684e-04
3.000000e-01	3.100000e-01	5.156042e-03	6.787665e-04	6.787665e-04
3.100000e-01	3.200000e-01	4.207776e-03	6.385919e-04	6.385919e-04
3.200000e-01	3.300000e-01	3.159506e-03	5.427486e-04	5.427486e-04
3.300000e-01	3.400000e-01	2.544619e-03	4.992041e-04	4.992041e-04
3.400000e-01	3.500000e-01	1.027998e-03	2.993192e-04	2.993192e-04
3.500000e-01	3.600000e-01	1.113196e-03	3.112085e-04	3.112085e-04
3.600000e-01	3.700000e-01	6.558470e-04	2.526799e-04	2.526799e-04
3.700000e-01	3.800000e-01	1.396892e-03	3.673595e-04	3.673595e-04
3.800000e-01	3.900000e-01	6.180804e-04	2.366126e-04	2.366126e-04
3.900000e-01	4.000000e-01	2.459505e-04	1.419996e-04	1.419996e-04
4.000000e-01	4.100000e-01	2.049483e-04	1.477891e-04	1.477891e-04
4.100000e-01	4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e-01	4.300000e-01	8.198351e-05	8.198350e-05	8.198350e-05
4.300000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.500000e-01	8.198351e-05	8.198350e-05	8.198350e-05
4.500000e-01	4.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e-01	4.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	4.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	5.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.300000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
