# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_pT //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbg.yoda/MyZAnalysis/Z_pT //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisb.yoda/MyZAnalysis/Z_pT
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_pT //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbg.yoda/MyZAnalysis/Z_pT //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisb.yoda/MyZAnalysis/Z_pT
RatioPlot=1
RatioPlotReference=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_pT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_pT
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_pT
ScaledBy=1.51881227383296550e-04
Title=Analysisbgwzc
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.049039e+00	4.192316e-04	9.982569e-05	9.982569e-05
1.049039e+00	1.100484e+00	2.310557e-04	7.345603e-05	7.345603e-05
1.100484e+00	1.154451e+00	2.436467e-04	6.891221e-05	6.891221e-05
1.154451e+00	1.211064e+00	4.288731e-04	9.438863e-05	9.438863e-05
1.211064e+00	1.270454e+00	3.387227e-04	8.087573e-05	8.087573e-05
1.270454e+00	1.332757e+00	5.405072e-04	9.991316e-05	9.991316e-05
1.332757e+00	1.398114e+00	4.833970e-04	9.372029e-05	9.372029e-05
1.398114e+00	1.466677e+00	4.966657e-04	9.170717e-05	9.170717e-05
1.466677e+00	1.538602e+00	4.966938e-04	8.895269e-05	8.895269e-05
1.538602e+00	1.614054e+00	5.921321e-04	9.672096e-05	9.672096e-05
1.614054e+00	1.693207e+00	5.863816e-04	9.262842e-05	9.262842e-05
1.693207e+00	1.776240e+00	6.075696e-04	9.252601e-05	9.252601e-05
1.776240e+00	1.863346e+00	6.070245e-04	9.039161e-05	9.039161e-05
1.863346e+00	1.954724e+00	6.959747e-04	9.469195e-05	9.469195e-05
1.954724e+00	2.050582e+00	6.687312e-04	9.026250e-05	9.026250e-05
2.050582e+00	2.151142e+00	6.992441e-04	8.978766e-05	8.978766e-05
2.151142e+00	2.256632e+00	8.336476e-04	9.503666e-05	9.503666e-05
2.256632e+00	2.367296e+00	7.718615e-04	9.054440e-05	9.054440e-05
2.367296e+00	2.483387e+00	7.849340e-04	8.871071e-05	8.871071e-05
2.483387e+00	2.605171e+00	7.552385e-04	8.445135e-05	8.445135e-05
2.605171e+00	2.732927e+00	8.102735e-04	8.514201e-05	8.514201e-05
2.732927e+00	2.866948e+00	8.577850e-04	8.693081e-05	8.693081e-05
2.866948e+00	3.007542e+00	8.854247e-04	8.568863e-05	8.568863e-05
3.007542e+00	3.155030e+00	1.040921e-03	9.057707e-05	9.057707e-05
3.155030e+00	3.309751e+00	1.080514e-03	9.009295e-05	9.009295e-05
3.309751e+00	3.472059e+00	1.154743e-03	9.024863e-05	9.024863e-05
3.472059e+00	3.642327e+00	1.180577e-03	8.932239e-05	8.932239e-05
3.642327e+00	3.820945e+00	1.353780e-03	9.430438e-05	9.430438e-05
3.820945e+00	4.008322e+00	1.419904e-03	9.415070e-05	9.415070e-05
4.008322e+00	4.204887e+00	1.509311e-03	9.513270e-05	9.513270e-05
4.204887e+00	4.411093e+00	1.464746e-03	9.093132e-05	9.093132e-05
4.411093e+00	4.627410e+00	1.467093e-03	8.928125e-05	8.928125e-05
4.627410e+00	4.854336e+00	1.579027e-03	9.014927e-05	9.014927e-05
4.854336e+00	5.092390e+00	1.678441e-03	9.105079e-05	9.105079e-05
5.092390e+00	5.342118e+00	1.728909e-03	8.966840e-05	8.966840e-05
