# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbg.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisb.yoda/MyZAnalysis/Z_phi
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbg.yoda/MyZAnalysis/Z_phi //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisb.yoda/MyZAnalysis/Z_phi
RatioPlot=1
RatioPlotReference=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/tmp/Analysisbgwzc.yoda/MyZAnalysis/Z_phi
ScaledBy=1.51881227383296550e-04
Title=Analysisbgwzc
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.617611e-01	1.733552e-03	1.733552e-03
6.283185e-02	1.256637e-01	1.600319e-01	1.723788e-03	1.723788e-03
1.256637e-01	1.884956e-01	1.572313e-01	1.708551e-03	1.708551e-03
1.884956e-01	2.513274e-01	1.572020e-01	1.709300e-03	1.709300e-03
2.513274e-01	3.141593e-01	1.567660e-01	1.706189e-03	1.706189e-03
3.141593e-01	3.769911e-01	1.597576e-01	1.722408e-03	1.722408e-03
3.769911e-01	4.398230e-01	1.585905e-01	1.715672e-03	1.715672e-03
4.398230e-01	5.026548e-01	1.606814e-01	1.727759e-03	1.727759e-03
5.026548e-01	5.654867e-01	1.603975e-01	1.725639e-03	1.725639e-03
5.654867e-01	6.283185e-01	1.606187e-01	1.727550e-03	1.727550e-03
6.283185e-01	6.911504e-01	1.561456e-01	1.703923e-03	1.703923e-03
6.911504e-01	7.539822e-01	1.619699e-01	1.732969e-03	1.732969e-03
7.539822e-01	8.168141e-01	1.599188e-01	1.722993e-03	1.722993e-03
8.168141e-01	8.796459e-01	1.576182e-01	1.709972e-03	1.709972e-03
8.796459e-01	9.424778e-01	1.621157e-01	1.735482e-03	1.735482e-03
9.424778e-01	1.005310e+00	1.604692e-01	1.724845e-03	1.724845e-03
1.005310e+00	1.068142e+00	1.593838e-01	1.720342e-03	1.720342e-03
1.068142e+00	1.130973e+00	1.588700e-01	1.718033e-03	1.718033e-03
1.130973e+00	1.193805e+00	1.611532e-01	1.729607e-03	1.729607e-03
1.193805e+00	1.256637e+00	1.569280e-01	1.708592e-03	1.708592e-03
1.256637e+00	1.319469e+00	1.599583e-01	1.725984e-03	1.725984e-03
1.319469e+00	1.382301e+00	1.620451e-01	1.736556e-03	1.736556e-03
1.382301e+00	1.445133e+00	1.592550e-01	1.719533e-03	1.719533e-03
1.445133e+00	1.507964e+00	1.590241e-01	1.718312e-03	1.718312e-03
1.507964e+00	1.570796e+00	1.597150e-01	1.722341e-03	1.722341e-03
1.570796e+00	1.633628e+00	1.570418e-01	1.707700e-03	1.707700e-03
1.633628e+00	1.696460e+00	1.579892e-01	1.710978e-03	1.710978e-03
1.696460e+00	1.759292e+00	1.590528e-01	1.718948e-03	1.718948e-03
1.759292e+00	1.822124e+00	1.614235e-01	1.732222e-03	1.732222e-03
1.822124e+00	1.884956e+00	1.613479e-01	1.731862e-03	1.731862e-03
1.884956e+00	1.947787e+00	1.561509e-01	1.702628e-03	1.702628e-03
1.947787e+00	2.010619e+00	1.575346e-01	1.710159e-03	1.710159e-03
2.010619e+00	2.073451e+00	1.589443e-01	1.716756e-03	1.716756e-03
2.073451e+00	2.136283e+00	1.591325e-01	1.720736e-03	1.720736e-03
2.136283e+00	2.199115e+00	1.578687e-01	1.711907e-03	1.711907e-03
2.199115e+00	2.261947e+00	1.562088e-01	1.701840e-03	1.701840e-03
2.261947e+00	2.324779e+00	1.602674e-01	1.725532e-03	1.725532e-03
2.324779e+00	2.387610e+00	1.572628e-01	1.710033e-03	1.710033e-03
2.387610e+00	2.450442e+00	1.584868e-01	1.714381e-03	1.714381e-03
