# BEGIN PLOT
Legend=1
LogY=0
XLabel=$\eta$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\eta$
LegendYPos=0.5
Title=Pseudorapidity of all particles
DrawOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_FSPARTICLES/Eta
LegendOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_FSPARTICLES/Eta
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_FSPARTICLES/Eta
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_FSPARTICLES/Eta
ScaledBy=2.43442321930015880e-12
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	2.047799e-05	2.047799e-05	2.047799e-05
-3.800000e+00	-3.600000e+00	8.191200e-05	4.095599e-05	4.095599e-05
-3.600000e+00	-3.400000e+00	2.662139e-04	7.383446e-05	7.383446e-05
-3.400000e+00	-3.200000e+00	3.481259e-04	8.443293e-05	8.443293e-05
-3.200000e+00	-3.000000e+00	8.600760e-04	1.327126e-04	1.327126e-04
-3.000000e+00	-2.800000e+00	2.191362e-03	2.118471e-04	2.118471e-04
-2.800000e+00	-2.600000e+00	3.648605e-03	2.734970e-04	2.734970e-04
-2.600000e+00	-2.400000e+00	5.979575e-03	3.499281e-04	3.499281e-04
-2.400000e+00	-2.200000e+00	1.233128e-02	5.025975e-04	5.025975e-04
-2.200000e+00	-2.000000e+00	2.100073e-02	6.559794e-04	6.559794e-04
-2.000000e+00	-1.800000e+00	3.476811e-02	8.443742e-04	8.443742e-04
-1.800000e+00	-1.600000e+00	5.677245e-02	1.078809e-03	1.078809e-03
-1.600000e+00	-1.400000e+00	8.945385e-02	1.353881e-03	1.353881e-03
-1.400000e+00	-1.200000e+00	1.353156e-01	1.665251e-03	1.665251e-03
-1.200000e+00	-1.000000e+00	1.873690e-01	1.960211e-03	1.960211e-03
-1.000000e+00	-8.000000e-01	2.622239e-01	2.318768e-03	2.318768e-03
-8.000000e-01	-6.000000e-01	3.364648e-01	2.625886e-03	2.625886e-03
-6.000000e-01	-4.000000e-01	4.138748e-01	2.912308e-03	2.912308e-03
-4.000000e-01	-2.000000e-01	4.588440e-01	3.067342e-03	3.067342e-03
-2.000000e-01	0.000000e+00	4.774406e-01	3.130082e-03	3.130082e-03
0.000000e+00	2.000000e-01	4.819646e-01	3.144747e-03	3.144747e-03
2.000000e-01	4.000000e-01	4.588890e-01	3.066713e-03	3.066713e-03
4.000000e-01	6.000000e-01	4.155015e-01	2.918225e-03	2.918225e-03
6.000000e-01	8.000000e-01	3.345102e-01	2.618249e-03	2.618249e-03
8.000000e-01	1.000000e+00	2.588265e-01	2.303092e-03	2.303092e-03
1.000000e+00	1.200000e+00	1.901862e-01	1.974493e-03	1.974493e-03
1.200000e+00	1.400000e+00	1.348495e-01	1.662424e-03	1.662424e-03
1.400000e+00	1.600000e+00	8.883430e-02	1.349183e-03	1.349183e-03
1.600000e+00	1.800000e+00	5.593205e-02	1.070559e-03	1.070559e-03
1.800000e+00	2.000000e+00	3.359757e-02	8.296697e-04	8.296697e-04
2.000000e+00	2.200000e+00	2.144659e-02	6.632108e-04	6.632108e-04
2.200000e+00	2.400000e+00	1.228668e-02	5.021568e-04	5.021568e-04
2.400000e+00	2.600000e+00	6.454090e-03	3.636638e-04	3.636638e-04
2.600000e+00	2.800000e+00	3.670143e-03	2.743574e-04	2.743574e-04
2.800000e+00	3.000000e+00	1.965887e-03	2.006425e-04	2.006425e-04
3.000000e+00	3.200000e+00	8.600760e-04	1.327126e-04	1.327126e-04
3.200000e+00	3.400000e+00	5.733840e-04	1.083594e-04	1.083594e-04
3.400000e+00	3.600000e+00	2.529240e-04	8.069286e-05	8.069286e-05
3.600000e+00	3.800000e+00	8.191200e-05	4.095599e-05	4.095599e-05
3.800000e+00	4.000000e+00	2.047799e-05	2.047799e-05	2.047799e-05
4.000000e+00	4.200000e+00	2.047799e-05	2.047799e-05	2.047799e-05
4.200000e+00	4.400000e+00	2.047799e-05	2.047799e-05	2.047799e-05
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

