# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of all particles
XLabel=$p_\perp$ [GeV]
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}p_\perp$ [GeV$^{-1}$]
FullRange=1
DrawOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_FSPARTICLES/Pt
LegendOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_FSPARTICLES/Pt
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_FSPARTICLES/Pt
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_FSPARTICLES/Pt
ScaledBy=2.43442321930015880e-12
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.000000e-01	8.664607e-01	5.960867e-03	5.960867e-03
6.000000e-01	7.000000e-01	7.353799e-01	5.491383e-03	5.491383e-03
7.000000e-01	8.000000e-01	6.390252e-01	5.119697e-03	5.119697e-03
8.000000e-01	9.000000e-01	5.547176e-01	4.768982e-03	4.768982e-03
9.000000e-01	1.000000e+00	4.855291e-01	4.461651e-03	4.461651e-03
1.000000e+00	1.100000e+00	4.304441e-01	4.200218e-03	4.200218e-03
1.100000e+00	1.200000e+00	3.955171e-01	4.026152e-03	4.026152e-03
1.200000e+00	1.300000e+00	3.525730e-01	3.802458e-03	3.802458e-03
1.300000e+00	1.400000e+00	3.133504e-01	3.583558e-03	3.583558e-03
1.400000e+00	1.500000e+00	2.814661e-01	3.397506e-03	3.397506e-03
1.500000e+00	1.600000e+00	2.571732e-01	3.246475e-03	3.246475e-03
1.600000e+00	1.700000e+00	2.431414e-01	3.159275e-03	3.159275e-03
1.700000e+00	1.800000e+00	2.141961e-01	2.962825e-03	2.962825e-03
1.800000e+00	1.900000e+00	1.987738e-01	2.856419e-03	2.856419e-03
1.900000e+00	2.000000e+00	1.865486e-01	2.765192e-03	2.765192e-03
2.000000e+00	2.100000e+00	1.714890e-01	2.651412e-03	2.651412e-03
2.100000e+00	2.200000e+00	1.584558e-01	2.549998e-03	2.549998e-03
2.200000e+00	2.300000e+00	1.535200e-01	2.508484e-03	2.508484e-03
2.300000e+00	2.400000e+00	1.415907e-01	2.409111e-03	2.409111e-03
2.400000e+00	2.500000e+00	1.305417e-01	2.313390e-03	2.313390e-03
2.500000e+00	2.600000e+00	1.228716e-01	2.245189e-03	2.245189e-03
2.600000e+00	2.700000e+00	1.154835e-01	2.175616e-03	2.175616e-03
2.700000e+00	2.800000e+00	1.147791e-01	2.169959e-03	2.169959e-03
2.800000e+00	2.900000e+00	1.061833e-01	2.086225e-03	2.086225e-03
2.900000e+00	3.000000e+00	9.829524e-02	2.007536e-03	2.007536e-03
3.000000e+00	3.100000e+00	9.140824e-02	1.936402e-03	1.936402e-03
3.100000e+00	3.200000e+00	8.590720e-02	1.876042e-03	1.876042e-03
3.200000e+00	3.300000e+00	8.667376e-02	1.884804e-03	1.884804e-03
3.300000e+00	3.400000e+00	8.004105e-02	1.811343e-03	1.811343e-03
3.400000e+00	3.500000e+00	7.592981e-02	1.764022e-03	1.764022e-03
3.500000e+00	3.600000e+00	7.394519e-02	1.740522e-03	1.740522e-03
3.600000e+00	3.700000e+00	6.843838e-02	1.674854e-03	1.674854e-03
3.700000e+00	3.800000e+00	6.776499e-02	1.668278e-03	1.668278e-03
3.800000e+00	3.900000e+00	6.435536e-02	1.624409e-03	1.624409e-03
3.900000e+00	4.000000e+00	6.107197e-02	1.581629e-03	1.581629e-03
4.000000e+00	4.100000e+00	5.712944e-02	1.530279e-03	1.530279e-03
4.100000e+00	4.200000e+00	5.342250e-02	1.479443e-03	1.479443e-03
4.200000e+00	4.300000e+00	5.260116e-02	1.467985e-03	1.467985e-03
4.300000e+00	4.400000e+00	5.012022e-02	1.434769e-03	1.434769e-03
4.400000e+00	4.500000e+00	4.780815e-02	1.400330e-03	1.400330e-03
4.500000e+00	4.600000e+00	4.453791e-02	1.350979e-03	1.350979e-03
4.600000e+00	4.700000e+00	4.726141e-02	1.395024e-03	1.395024e-03
4.700000e+00	4.800000e+00	4.321267e-02	1.330413e-03	1.330413e-03
4.800000e+00	4.900000e+00	4.448125e-02	1.349780e-03	1.349780e-03
4.900000e+00	5.000000e+00	4.050211e-02	1.288776e-03	1.288776e-03
5.000000e+00	5.100000e+00	3.906610e-02	1.267280e-03	1.267280e-03
5.100000e+00	5.200000e+00	3.742588e-02	1.238795e-03	1.238795e-03
5.200000e+00	5.300000e+00	3.643960e-02	1.222265e-03	1.222265e-03
5.300000e+00	5.400000e+00	3.428676e-02	1.185131e-03	1.185131e-03
5.400000e+00	5.500000e+00	3.320181e-02	1.168512e-03	1.168512e-03
5.500000e+00	5.600000e+00	3.203704e-02	1.145656e-03	1.145656e-03
5.600000e+00	5.700000e+00	3.018071e-02	1.112696e-03	1.112696e-03
5.700000e+00	5.800000e+00	2.946550e-02	1.100872e-03	1.100872e-03
5.800000e+00	5.900000e+00	2.745022e-02	1.060535e-03	1.060535e-03
5.900000e+00	6.000000e+00	2.831641e-02	1.077292e-03	1.077292e-03
6.000000e+00	6.100000e+00	2.471072e-02	1.006362e-03	1.006362e-03
6.100000e+00	6.200000e+00	2.516134e-02	1.015475e-03	1.015475e-03
6.200000e+00	6.300000e+00	2.551558e-02	1.022260e-03	1.022260e-03
6.300000e+00	6.400000e+00	2.474869e-02	1.007067e-03	1.007067e-03
6.400000e+00	6.500000e+00	2.336654e-02	9.788346e-04	9.788346e-04
6.500000e+00	6.600000e+00	2.274391e-02	9.654884e-04	9.654884e-04
6.600000e+00	6.700000e+00	2.164995e-02	9.423705e-04	9.423705e-04
6.700000e+00	6.800000e+00	2.109233e-02	9.294393e-04	9.294393e-04
6.800000e+00	6.900000e+00	2.166718e-02	9.420523e-04	9.420523e-04
6.900000e+00	7.000000e+00	2.076660e-02	9.222790e-04	9.222790e-04
7.000000e+00	7.100000e+00	1.942199e-02	8.921251e-04	8.921251e-04
7.100000e+00	7.200000e+00	1.867593e-02	8.745806e-04	8.745806e-04
7.200000e+00	7.300000e+00	1.609918e-02	8.121035e-04	8.121035e-04
7.300000e+00	7.400000e+00	1.770459e-02	8.518804e-04	8.518804e-04
7.400000e+00	7.500000e+00	1.804549e-02	8.628527e-04	8.628527e-04
7.500000e+00	7.600000e+00	1.539945e-02	7.941661e-04	7.941661e-04
7.600000e+00	7.700000e+00	1.774594e-02	8.553678e-04	8.553678e-04
7.700000e+00	7.800000e+00	1.462129e-02	7.738406e-04	7.738406e-04
7.800000e+00	7.900000e+00	1.569147e-02	8.018143e-04	8.018143e-04
7.900000e+00	8.000000e+00	1.531754e-02	7.920511e-04	7.920511e-04
8.000000e+00	8.100000e+00	1.495611e-02	7.828551e-04	7.828551e-04
8.100000e+00	8.200000e+00	1.367930e-02	7.484980e-04	7.484980e-04
8.200000e+00	8.300000e+00	1.307724e-02	7.322445e-04	7.322445e-04
8.300000e+00	8.400000e+00	1.345128e-02	7.456665e-04	7.456665e-04
8.400000e+00	8.500000e+00	1.384312e-02	7.529667e-04	7.529667e-04
8.500000e+00	8.600000e+00	1.212297e-02	7.046335e-04	7.046335e-04
8.600000e+00	8.700000e+00	1.105812e-02	6.729756e-04	6.729756e-04
8.700000e+00	8.800000e+00	1.281922e-02	7.245854e-04	7.245854e-04
8.800000e+00	8.900000e+00	1.154959e-02	6.877680e-04	6.877680e-04
8.900000e+00	9.000000e+00	1.184725e-02	6.969559e-04	6.969559e-04
9.000000e+00	9.100000e+00	1.052569e-02	6.565744e-04	6.565744e-04
9.100000e+00	9.200000e+00	1.036187e-02	6.514449e-04	6.514449e-04
9.200000e+00	9.300000e+00	1.007561e-02	6.423974e-04	6.423974e-04
9.300000e+00	9.400000e+00	1.045297e-02	6.546501e-04	6.546501e-04
9.400000e+00	9.500000e+00	9.624657e-03	6.278435e-04	6.278435e-04
9.500000e+00	9.600000e+00	9.711344e-03	6.308299e-04	6.308299e-04
9.600000e+00	9.700000e+00	8.232154e-03	5.806514e-04	5.806514e-04
9.700000e+00	9.800000e+00	8.928406e-03	6.047079e-04	6.047079e-04
9.800000e+00	9.900000e+00	9.675999e-03	6.299388e-04	6.299388e-04
9.900000e+00	1.000000e+01	8.030848e-03	5.736425e-04	5.736425e-04
1.000000e+01	1.010000e+01	8.150242e-03	5.777553e-04	5.777553e-04
1.010000e+01	1.020000e+01	7.866069e-03	5.676901e-04	5.676901e-04
1.020000e+01	1.030000e+01	7.290166e-03	5.464211e-04	5.464211e-04
1.030000e+01	1.040000e+01	7.617814e-03	5.585652e-04	5.585652e-04
1.040000e+01	1.050000e+01	6.939944e-03	5.341563e-04	5.341563e-04
1.050000e+01	1.060000e+01	7.945462e-03	5.704510e-04	5.704510e-04
1.060000e+01	1.070000e+01	7.044430e-03	5.371328e-04	5.371328e-04
1.070000e+01	1.080000e+01	6.512002e-03	5.164354e-04	5.164354e-04
1.080000e+01	1.090000e+01	5.774794e-03	4.863254e-04	4.863254e-04
1.090000e+01	1.100000e+01	6.675826e-03	5.228911e-04	5.228911e-04
1.100000e+01	1.110000e+01	6.645720e-03	5.222469e-04	5.222469e-04
1.110000e+01	1.120000e+01	6.102442e-03	4.999316e-04	4.999316e-04
1.120000e+01	1.130000e+01	5.856706e-03	4.897624e-04	4.897624e-04
1.130000e+01	1.140000e+01	6.271390e-03	5.070247e-04	5.070247e-04
1.140000e+01	1.150000e+01	6.195955e-03	5.043339e-04	5.043339e-04
1.150000e+01	1.160000e+01	4.832807e-03	4.448959e-04	4.448959e-04
1.160000e+01	1.170000e+01	5.201623e-03	4.615694e-04	4.615694e-04
1.170000e+01	1.180000e+01	5.000918e-03	4.527753e-04	4.527753e-04
1.180000e+01	1.190000e+01	5.119499e-03	4.579018e-04	4.579018e-04
1.190000e+01	1.200000e+01	4.641310e-03	4.368179e-04	4.368179e-04
1.200000e+01	1.210000e+01	4.750895e-03	4.411095e-04	4.411095e-04
1.210000e+01	1.220000e+01	5.037587e-03	4.542238e-04	4.542238e-04
1.220000e+01	1.230000e+01	5.342661e-03	4.689400e-04	4.689400e-04
1.230000e+01	1.240000e+01	5.000454e-03	4.527358e-04	4.527358e-04
1.240000e+01	1.250000e+01	4.546115e-03	4.314981e-04	4.314981e-04
1.250000e+01	1.260000e+01	4.631850e-03	4.357444e-04	4.357444e-04
1.260000e+01	1.270000e+01	4.668983e-03	4.372903e-04	4.372903e-04
1.270000e+01	1.280000e+01	4.300379e-03	4.196740e-04	4.196740e-04
1.280000e+01	1.290000e+01	4.177511e-03	4.136352e-04	4.136352e-04
1.290000e+01	1.300000e+01	3.203842e-03	3.628807e-04	3.628807e-04
1.300000e+01	1.310000e+01	4.347095e-03	4.222607e-04	4.222607e-04
1.310000e+01	1.320000e+01	3.153611e-03	3.593874e-04	3.593874e-04
1.320000e+01	1.330000e+01	3.358391e-03	3.708722e-04	3.708722e-04
1.330000e+01	1.340000e+01	3.972731e-03	4.033697e-04	4.033697e-04
1.340000e+01	1.350000e+01	3.317435e-03	3.686039e-04	3.686039e-04
1.350000e+01	1.360000e+01	3.083092e-03	3.561295e-04	3.561295e-04
1.360000e+01	1.370000e+01	3.541841e-03	3.822667e-04	3.822667e-04
1.370000e+01	1.380000e+01	3.153611e-03	3.593874e-04	3.593874e-04
1.380000e+01	1.390000e+01	3.071699e-03	3.546893e-04	3.546893e-04
1.390000e+01	1.400000e+01	3.153611e-03	3.593874e-04	3.593874e-04
1.400000e+01	1.410000e+01	2.744051e-03	3.352392e-04	3.352392e-04
1.410000e+01	1.420000e+01	2.785007e-03	3.377317e-04	3.377317e-04
1.420000e+01	1.430000e+01	2.989787e-03	3.499281e-04	3.499281e-04
1.430000e+01	1.440000e+01	2.416403e-03	3.145889e-04	3.145889e-04
