# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity $+/-$ ratio of charged particles
XLabel=$|y|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y_+ \; / \; \mathrm{d}\sigma/\mathrm{d}y_-$
LegendYPos=0.5
DrawOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_FSPARTICLES/RapidityChPMRatio
LegendOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_FSPARTICLES/RapidityChPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_FSPARTICLES/RapidityChPMRatio
ErrorBreakdown={0: {"": {up: 0.012113746507125513, dn: 0.012113746507125513}}, 1: {"": {up: 0.012340395046828439, dn: 0.012340395046828439}}, 2: {"": {up: 0.013100943515975138, dn: 0.013100943515975138}}, 3: {"": {up: 0.014505325046350524, dn: 0.014505325046350524}}, 4: {"": {up: 0.016490074340678781, dn: 0.016490074340678781}}, 5: {"": {up: 0.019614910444845687, dn: 0.019614910444845687}}, 6: {"": {up: 0.022415436119215246, dn: 0.022415436119215246}}, 7: {"": {up: 0.028956610717575479, dn: 0.028956610717575479}}, 8: {"": {up: 0.036687596805159269, dn: 0.036687596805159269}}, 9: {"": {up: 0.043365973121133036, dn: 0.043365973121133036}}, 10: {"": {up: 0.060216256535264696, dn: 0.060216256535264696}}, 11: {"": {up: 0.078549316819742629, dn: 0.078549316819742629}}, 12: {"": {up: 0.14175220900801966, dn: 0.14175220900801966}}, 13: {"": {up: 0.13096059936492088, dn: 0.13096059936492088}}, 14: {"": {up: 0.16086844841786524, dn: 0.16086844841786524}}, 15: {"": {up: 0.28867513459481275, dn: 0.28867513459481275}}, 16: {"": {up: 1.0853473255655226, dn: 1.0853473255655226}}, 17: {"": {up: 0.47687026308358887, dn: 0.47687026308358887}}, 18: {"": {up: 0.27950849718747367, dn: 0.27950849718747367}}, 19: {"": {up: .nan, dn: .nan}}, 20: {"": {up: .nan, dn: .nan}}, 21: {"": {up: .nan, dn: .nan}}, 22: {"": {up: .nan, dn: .nan}}, 23: {"": {up: .nan, dn: .nan}}, 24: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_FSPARTICLES/RapidityChPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.003264e+00	1.211375e-02	1.211375e-02
2.000000e-01	4.000000e-01	9.997567e-01	1.234040e-02	1.234040e-02
4.000000e-01	6.000000e-01	1.002350e+00	1.310094e-02	1.310094e-02
6.000000e-01	8.000000e-01	1.004173e+00	1.450533e-02	1.450533e-02
8.000000e-01	1.000000e+00	9.994588e-01	1.649007e-02	1.649007e-02
1.000000e+00	1.200000e+00	1.023257e+00	1.961491e-02	1.961491e-02
1.200000e+00	1.400000e+00	9.853970e-01	2.241544e-02	2.241544e-02
1.400000e+00	1.600000e+00	1.030426e+00	2.895661e-02	2.895661e-02
1.600000e+00	1.800000e+00	1.040633e+00	3.668760e-02	3.668760e-02
1.800000e+00	2.000000e+00	9.652481e-01	4.336597e-02	4.336597e-02
2.000000e+00	2.200000e+00	1.059722e+00	6.021626e-02	6.021626e-02
2.200000e+00	2.400000e+00	1.029954e+00	7.854932e-02	7.854932e-02
2.400000e+00	2.600000e+00	1.317261e+00	1.417522e-01	1.417522e-01
2.600000e+00	2.800000e+00	9.621322e-01	1.309606e-01	1.309606e-01
2.800000e+00	3.000000e+00	8.523109e-01	1.608684e-01	1.608684e-01
3.000000e+00	3.200000e+00	1.000000e+00	2.886751e-01	2.886751e-01
3.200000e+00	3.400000e+00	2.335860e+00	1.085347e+00	1.085347e+00
3.400000e+00	3.600000e+00	8.571429e-01	4.768703e-01	4.768703e-01
3.600000e+00	3.800000e+00	2.500000e-01	2.795085e-01	2.795085e-01
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

