# BEGIN PLOT
Legend=1
LogY=0
XLabel=$\eta$
YLabel=$\langle \sum E_\perp \rangle$
LegendYPos=0.5
Title=Pseudorapidity distribution of $\langle \sum E_\perp \rangle$
DrawOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_GENERIC/EtaSumEt
LegendOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_GENERIC/EtaSumEt
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_GENERIC/EtaSumEt
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_GENERIC/EtaSumEt
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.919989e+00	1.607053e-02	1.607053e-02
2.000000e-01	4.000000e-01	2.910925e+00	1.626530e-02	1.626530e-02
4.000000e-01	6.000000e-01	2.800823e+00	1.592438e-02	1.592438e-02
6.000000e-01	8.000000e-01	2.641463e+00	1.619149e-02	1.619149e-02
8.000000e-01	1.000000e+00	2.457413e+00	1.641621e-02	1.641621e-02
1.000000e+00	1.200000e+00	2.247186e+00	1.694535e-02	1.694535e-02
1.200000e+00	1.400000e+00	2.055073e+00	1.743366e-02	1.743366e-02
1.400000e+00	1.600000e+00	1.882423e+00	1.832913e-02	1.832913e-02
1.600000e+00	1.800000e+00	1.700786e+00	1.992725e-02	1.992725e-02
1.800000e+00	2.000000e+00	1.552534e+00	2.140114e-02	2.140114e-02
2.000000e+00	2.200000e+00	1.430607e+00	2.327026e-02	2.327026e-02
2.200000e+00	2.400000e+00	1.319852e+00	2.625062e-02	2.625062e-02
2.400000e+00	2.600000e+00	1.177708e+00	2.978599e-02	2.978599e-02
2.600000e+00	2.800000e+00	1.142010e+00	3.329562e-02	3.329562e-02
2.800000e+00	3.000000e+00	9.841233e-01	3.288038e-02	3.288038e-02
3.000000e+00	3.200000e+00	9.493175e-01	4.909858e-02	4.909858e-02
3.200000e+00	3.400000e+00	8.168235e-01	4.404857e-02	4.404857e-02
3.400000e+00	3.600000e+00	9.312357e-01	9.597987e-02	9.597987e-02
3.600000e+00	3.800000e+00	7.392282e-01	1.102502e-01	1.102502e-01
3.800000e+00	4.000000e+00	6.863370e-01	5.605084e-02	5.605084e-02
4.000000e+00	4.200000e+00	9.228427e-01	nan	nan
4.200000e+00	4.400000e+00	6.350325e-01	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

