# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity $+/-$ ratio of charged particles
XLabel=$|y|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y_+ \; / \; \mathrm{d}\sigma/\mathrm{d}y_-$
LegendYPos=0.5
DrawOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_GENERIC/RapidityChPMRatio
LegendOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_GENERIC/RapidityChPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_GENERIC/RapidityChPMRatio
ErrorBreakdown={0: {"": {up: 0.012108433813992507, dn: 0.012108433813992507}}, 1: {"": {up: 0.012339567853740237, dn: 0.012339567853740237}}, 2: {"": {up: 0.013098720855427031, dn: 0.013098720855427031}}, 3: {"": {up: 0.014503960085564371, dn: 0.014503960085564371}}, 4: {"": {up: 0.016495160659263989, dn: 0.016495160659263989}}, 5: {"": {up: 0.019617999768192496, dn: 0.019617999768192496}}, 6: {"": {up: 0.022406840838477493, dn: 0.022406840838477493}}, 7: {"": {up: 0.028967106051380094, dn: 0.028967106051380094}}, 8: {"": {up: 0.036682085088398819, dn: 0.036682085088398819}}, 9: {"": {up: 0.043361478922149921, dn: 0.043361478922149921}}, 10: {"": {up: 0.060218016321873846, dn: 0.060218016321873846}}, 11: {"": {up: 0.078506819841718672, dn: 0.078506819841718672}}, 12: {"": {up: 0.1415862070655185, dn: 0.1415862070655185}}, 13: {"": {up: 0.13115679045113343, dn: 0.13115679045113343}}, 14: {"": {up: 0.16089633109877879, dn: 0.16089633109877879}}, 15: {"": {up: 0.28867513459481287, dn: 0.28867513459481287}}, 16: {"": {up: 0.98086651760799293, dn: 0.98086651760799293}}, 17: {"": {up: 0.47687026308358871, dn: 0.47687026308358871}}, 18: {"": {up: 0.27950849718747373, dn: 0.27950849718747373}}, 19: {"": {up: .nan, dn: .nan}}, 20: {"": {up: .nan, dn: .nan}}, 21: {"": {up: .nan, dn: .nan}}, 22: {"": {up: .nan, dn: .nan}}, 23: {"": {up: .nan, dn: .nan}}, 24: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_GENERIC/RapidityChPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.003210e+00	1.210843e-02	1.210843e-02
2.000000e-01	4.000000e-01	9.998477e-01	1.233957e-02	1.233957e-02
4.000000e-01	6.000000e-01	1.002308e+00	1.309872e-02	1.309872e-02
6.000000e-01	8.000000e-01	1.004181e+00	1.450396e-02	1.450396e-02
8.000000e-01	1.000000e+00	9.998639e-01	1.649516e-02	1.649516e-02
1.000000e+00	1.200000e+00	1.023597e+00	1.961800e-02	1.961800e-02
1.200000e+00	1.400000e+00	9.851091e-01	2.240684e-02	2.240684e-02
1.400000e+00	1.600000e+00	1.030862e+00	2.896711e-02	2.896711e-02
1.600000e+00	1.800000e+00	1.040558e+00	3.668209e-02	3.668209e-02
1.800000e+00	2.000000e+00	9.653122e-01	4.336148e-02	4.336148e-02
2.000000e+00	2.200000e+00	1.059801e+00	6.021802e-02	6.021802e-02
2.200000e+00	2.400000e+00	1.029499e+00	7.850682e-02	7.850682e-02
2.400000e+00	2.600000e+00	1.315789e+00	1.415862e-01	1.415862e-01
2.600000e+00	2.800000e+00	9.636364e-01	1.311568e-01	1.311568e-01
2.800000e+00	3.000000e+00	8.524590e-01	1.608963e-01	1.608963e-01
3.000000e+00	3.200000e+00	1.000000e+00	2.886751e-01	2.886751e-01
3.200000e+00	3.400000e+00	2.142857e+00	9.808665e-01	9.808665e-01
3.400000e+00	3.600000e+00	8.571429e-01	4.768703e-01	4.768703e-01
3.600000e+00	3.800000e+00	2.500000e-01	2.795085e-01	2.795085e-01
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

