# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity $+/-$ ratio of all particles
XLabel=$|y|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y_+ \; / \; \mathrm{d}\sigma/\mathrm{d}y_-$
LegendYPos=0.5
DrawOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_GENERIC/RapidityPMRatio
LegendOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_GENERIC/RapidityPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_GENERIC/RapidityPMRatio
ErrorBreakdown={0: {"": {up: 0.0092655482863359829, dn: 0.0092655482863359829}}, 1: {"": {up: 0.0093903926777439955, dn: 0.0093903926777439955}}, 2: {"": {up: 0.0099546527766948036, dn: 0.0099546527766948036}}, 3: {"": {up: 0.010975741445785054, dn: 0.010975741445785054}}, 4: {"": {up: 0.012428770065026358, dn: 0.012428770065026358}}, 5: {"": {up: 0.01501086650037025, dn: 0.01501086650037025}}, 6: {"": {up: 0.017482785029876883, dn: 0.017482785029876883}}, 7: {"": {up: 0.021636607300586381, dn: 0.021636607300586381}}, 8: {"": {up: 0.027168304213492343, dn: 0.027168304213492343}}, 9: {"": {up: 0.034351130715561423, dn: 0.034351130715561423}}, 10: {"": {up: 0.046891063683167047, dn: 0.046891063683167047}}, 11: {"": {up: 0.059136936306106426, dn: 0.059136936306106426}}, 12: {"": {up: 0.092072231983523586, dn: 0.092072231983523586}}, 13: {"": {up: 0.10937663854732568, dn: 0.10937663854732568}}, 14: {"": {up: 0.14611110997097582, dn: 0.14611110997097582}}, 15: {"": {up: 0.2209163016748176, dn: 0.2209163016748176}}, 16: {"": {up: 0.54809638707263486, dn: 0.54809638707263486}}, 17: {"": {up: 0.41352146256270667, dn: 0.41352146256270667}}, 18: {"": {up: 0.70710678118654757, dn: 0.70710678118654757}}, 19: {"": {up: .nan, dn: .nan}}, 20: {"": {up: .nan, dn: .nan}}, 21: {"": {up: .nan, dn: .nan}}, 22: {"": {up: .nan, dn: .nan}}, 23: {"": {up: .nan, dn: .nan}}, 24: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_GENERIC/RapidityPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.009689e+00	9.265548e-03	9.265548e-03
2.000000e-01	4.000000e-01	9.993822e-01	9.390393e-03	9.390393e-03
4.000000e-01	6.000000e-01	1.005650e+00	9.954653e-03	9.954653e-03
6.000000e-01	8.000000e-01	9.939213e-01	1.097574e-02	1.097574e-02
8.000000e-01	1.000000e+00	9.882066e-01	1.242877e-02	1.242877e-02
1.000000e+00	1.200000e+00	1.012713e+00	1.501087e-02	1.501087e-02
1.200000e+00	1.400000e+00	9.935185e-01	1.748279e-02	1.748279e-02
1.400000e+00	1.600000e+00	9.948101e-01	2.163661e-02	2.163661e-02
1.600000e+00	1.800000e+00	9.887387e-01	2.716830e-02	2.716830e-02
1.800000e+00	2.000000e+00	9.658173e-01	3.435113e-02	3.435113e-02
2.000000e+00	2.200000e+00	1.031480e+00	4.689106e-02	4.689106e-02
2.200000e+00	2.400000e+00	9.801802e-01	5.913694e-02	5.913694e-02
2.400000e+00	2.600000e+00	1.082707e+00	9.207223e-02	9.207223e-02
2.600000e+00	2.800000e+00	9.751553e-01	1.093766e-01	1.093766e-01
2.800000e+00	3.000000e+00	9.662921e-01	1.461111e-01	1.461111e-01
3.000000e+00	3.200000e+00	9.166667e-01	2.209163e-01	2.209163e-01
3.200000e+00	3.400000e+00	1.538462e+00	5.480964e-01	5.480964e-01
3.400000e+00	3.600000e+00	9.000000e-01	4.135215e-01	4.135215e-01
3.600000e+00	3.800000e+00	1.000000e+00	7.071068e-01	7.071068e-01
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

