# BEGIN PLOT
Legend=1
LogY=0
Title=Pseudorapidity distribution of kaon multiplicity
XLabel=$\eta$
YLabel=$1/\sigma_K \; \mathrm{d}\sigma_K/\mathrm{d}\eta$
LegendXPos=0.3
LegendYPos=0.5
DrawOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_IDENTIFIED/EtaK
LegendOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_IDENTIFIED/EtaK
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_IDENTIFIED/EtaK
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_IDENTIFIED/EtaK
ScaledBy=5.93892007962991086e-11
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.592791e+00	4.239758e-02	4.239758e-02
2.000000e-01	4.000000e-01	3.414928e+00	4.132069e-02	4.132069e-02
4.000000e-01	6.000000e-01	3.184037e+00	3.990066e-02	3.990066e-02
6.000000e-01	8.000000e-01	2.618476e+00	3.617874e-02	3.617874e-02
8.000000e-01	1.000000e+00	2.093613e+00	3.236038e-02	3.236038e-02
1.000000e+00	1.200000e+00	1.653921e+00	2.875422e-02	2.875422e-02
1.200000e+00	1.400000e+00	1.211001e+00	2.460327e-02	2.460327e-02
1.400000e+00	1.600000e+00	8.517770e-01	2.063641e-02	2.063641e-02
1.600000e+00	1.800000e+00	5.378770e-01	1.639907e-02	1.639907e-02
1.800000e+00	2.000000e+00	3.494044e-01	1.321644e-02	1.321644e-02
2.000000e+00	2.200000e+00	2.275700e-01	1.067075e-02	1.067075e-02
2.200000e+00	2.400000e+00	1.403800e-01	8.374367e-03	8.374367e-03
2.400000e+00	2.600000e+00	8.093080e-02	6.358524e-03	6.358524e-03
2.600000e+00	2.800000e+00	4.657205e-02	4.830576e-03	4.830576e-03
2.800000e+00	3.000000e+00	2.747650e-02	3.704932e-03	3.704932e-03
3.000000e+00	3.200000e+00	1.448761e-02	2.690282e-03	2.690282e-03
3.200000e+00	3.400000e+00	9.991455e-03	2.234158e-03	2.234158e-03
3.400000e+00	3.600000e+00	5.670660e-03	1.904105e-03	1.904105e-03
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	4.995728e-04	4.995728e-04	4.995728e-04
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

