# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of jet transverse momenta ($H_\mathrm{T}$)
XLabel=$H_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}H_\mathrm{T}$ [pb/GeV]
LogX=1
DrawOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_JETS/jet_HT
LegendOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_JETS/jet_HT
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_JETS/jet_HT
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_JETS/jet_HT
ScaledBy=1.72032059894681982e-06
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.033240e+01	6.356128e+02	7.439284e+01	7.439284e+01
2.033240e+01	2.067033e+01	5.653325e+02	6.958767e+01	6.958767e+01
2.067033e+01	2.101387e+01	5.981522e+02	7.098761e+01	7.098761e+01
2.101387e+01	2.136313e+01	5.054890e+02	6.472124e+01	6.472124e+01
2.136313e+01	2.171818e+01	5.298519e+02	6.572005e+01	6.572005e+01
2.171818e+01	2.207914e+01	4.907940e+02	6.286209e+01	6.286209e+01
2.207914e+01	2.244610e+01	4.180112e+02	5.741825e+01	5.741825e+01
2.244610e+01	2.281916e+01	4.499662e+02	5.908347e+01	5.908347e+01
2.281916e+01	2.319841e+01	4.197279e+02	5.659610e+01	5.659610e+01
2.319841e+01	2.358397e+01	3.227804e+02	4.922356e+01	4.922356e+01
2.358397e+01	2.397594e+01	3.913396e+02	5.375462e+01	5.375462e+01
2.397594e+01	2.437442e+01	3.201824e+02	4.827303e+01	4.827303e+01
2.437442e+01	2.477953e+01	3.072035e+02	4.684810e+01	4.684810e+01
2.477953e+01	2.519137e+01	3.654312e+02	5.067618e+01	5.067618e+01
2.519137e+01	2.561005e+01	3.179849e+02	4.688430e+01	4.688430e+01
2.561005e+01	2.603569e+01	2.532556e+02	4.166743e+01	4.166743e+01
2.603569e+01	2.646841e+01	2.073411e+02	3.723956e+01	3.723956e+01
2.646841e+01	2.690832e+01	2.434268e+02	4.001914e+01	4.001914e+01
2.690832e+01	2.735554e+01	2.265049e+02	3.828631e+01	3.828631e+01
2.735554e+01	2.781019e+01	2.482666e+02	3.975446e+01	3.975446e+01
2.781019e+01	2.827240e+01	1.878506e+02	3.429667e+01	3.429667e+01
2.827240e+01	2.874229e+01	1.355056e+02	2.888989e+01	2.888989e+01
2.874229e+01	2.921999e+01	1.635834e+02	3.148164e+01	3.148164e+01
2.921999e+01	2.970563e+01	1.966664e+02	3.423523e+01	3.423523e+01
2.970563e+01	3.019934e+01	1.289679e+02	2.749604e+01	2.749604e+01
3.019934e+01	3.070125e+01	1.845249e+02	3.261969e+01	3.261969e+01
3.070125e+01	3.121151e+01	1.361289e+02	2.778720e+01	2.778720e+01
3.121151e+01	3.173025e+01	1.339036e+02	2.733296e+01	2.733296e+01
3.173025e+01	3.225761e+01	1.375097e+02	2.750359e+01	2.750359e+01
3.225761e+01	3.279374e+01	1.295603e+02	2.644638e+01	2.644638e+01
3.279374e+01	3.333877e+01	1.274446e+02	2.601453e+01	2.601453e+01
3.333877e+01	3.389287e+01	7.834907e+01	2.022964e+01	2.022964e+01
3.389287e+01	3.445617e+01	1.083132e+02	2.363937e+01	2.363937e+01
3.445617e+01	3.502883e+01	8.086374e+01	2.021593e+01	2.021593e+01
3.502883e+01	3.561102e+01	9.445384e+01	2.166920e+01	2.166920e+01
3.561102e+01	3.620288e+01	6.357042e+01	1.763126e+01	1.763126e+01
3.620288e+01	3.680457e+01	5.291157e+01	1.595344e+01	1.595344e+01
3.680457e+01	3.741627e+01	2.365714e+01	1.057979e+01	1.057979e+01
3.741627e+01	3.803813e+01	4.188713e+01	1.396238e+01	1.396238e+01
3.803813e+01	3.867033e+01	2.289002e+01	1.023673e+01	1.023673e+01
3.867033e+01	3.931303e+01	4.052891e+01	1.350964e+01	1.350964e+01
3.931303e+01	3.996642e+01	1.328861e+01	7.672181e+00	7.672181e+00
3.996642e+01	4.063067e+01	5.228540e+01	1.509349e+01	1.509349e+01
4.063067e+01	4.130595e+01	6.857515e+01	1.714379e+01	1.714379e+01
4.130595e+01	4.199246e+01	1.096118e+02	2.149664e+01	2.149664e+01
4.199246e+01	4.269038e+01	1.327013e+02	2.345849e+01	2.345849e+01
4.269038e+01	4.339990e+01	1.114591e+02	2.148956e+01	2.148956e+01
4.339990e+01	4.412121e+01	1.404355e+02	2.373793e+01	2.373793e+01
4.412121e+01	4.485451e+01	1.855013e+02	2.705814e+01	2.705814e+01
4.485451e+01	4.560000e+01	1.591742e+02	2.485884e+01	2.485884e+01
# END HISTO1D

