# BEGIN PLOT
Legend=1
LogY=1
Title=PDF sampling $x_\mathrm{max}$ value distribution
XLabel=$x_\mathrm{max}$
YLabel=$1/N_\mathrm{evt} \  \mathrm{d}N_\mathrm{evt}/\mathrm{d}x$
LogX=1
FullRange=1
LegendXPos=0.3
LegendYPos=0.5
XMin=0.00005
DrawOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_PDFS/PdfXmax
LegendOnly=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_PDFS/PdfXmax
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_PDFS/PdfXmax
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-/Analysis.yoda/MC_PDFS/PdfXmax
ScaledBy=5.93892007962991086e-11
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-06	1.318257e-06	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e-06	1.737801e-06	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e-06	2.290868e-06	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e-06	3.019952e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.019952e-06	3.981072e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e-06	5.248075e-06	0.000000e+00	0.000000e+00	0.000000e+00
5.248075e-06	6.918310e-06	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e-06	9.120108e-06	0.000000e+00	0.000000e+00	0.000000e+00
9.120108e-06	1.202264e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e-05	1.584893e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e-05	2.089296e-05	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e-05	2.754229e-05	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e-05	3.630781e-05	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e-05	4.786301e-05	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e-05	6.309573e-05	0.000000e+00	0.000000e+00	0.000000e+00
6.309573e-05	8.317638e-05	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e-05	1.096478e-04	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e-04	1.445440e-04	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e-04	1.905461e-04	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e-04	2.511886e-04	0.000000e+00	0.000000e+00	0.000000e+00
2.511886e-04	3.311311e-04	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e-04	4.365158e-04	0.000000e+00	0.000000e+00	0.000000e+00
4.365158e-04	5.754399e-04	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e-04	7.585776e-04	0.000000e+00	0.000000e+00	0.000000e+00
7.585776e-04	1.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-03	1.318257e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e-03	1.737801e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e-03	2.290868e-03	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e-03	3.019952e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.019952e-03	3.981072e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e-03	5.248075e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.248075e-03	6.918310e-03	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e-03	9.120108e-03	0.000000e+00	0.000000e+00	0.000000e+00
9.120108e-03	1.202264e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e-02	1.584893e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e-02	2.089296e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e-02	2.754229e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e-02	3.630781e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e-02	4.786301e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e-02	6.309573e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.309573e-02	8.317638e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e-02	1.096478e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e-01	1.445440e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e-01	1.905461e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e-01	2.511886e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.511886e-01	3.311311e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e-01	4.365158e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.365158e-01	5.754399e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e-01	7.585776e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.585776e-01	1.000000e+00	4.142118e+00	4.143151e-02	4.143151e-02
# END HISTO1D

