# BEGIN PLOT
Legend=1
LogY=0
XLabel=$|\eta|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_+ \; / \; \mathrm{d}\sigma/\mathrm{d}\eta_-$
LegendYPos=0.5
Title=Pseudorapidity $+/-$ ratio of all particles
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_FSPARTICLES/EtaPMRatio
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_FSPARTICLES/EtaPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_FSPARTICLES/EtaPMRatio
ErrorBreakdown={0: {"": {up: 0.00047463574708843549, dn: 0.00047463574708843549}}, 1: {"": {up: 0.00047971035904096981, dn: 0.00047971035904096981}}, 2: {"": {up: 0.00049014683771636948, dn: 0.00049014683771636948}}, 3: {"": {up: 0.00050638005129756772, dn: 0.00050638005129756772}}, 4: {"": {up: 0.00053214352321907181, dn: 0.00053214352321907181}}, 5: {"": {up: 0.00056825753973987407, dn: 0.00056825753973987407}}, 6: {"": {up: 0.00061727168141211669, dn: 0.00061727168141211669}}, 7: {"": {up: 0.00068045710912972466, dn: 0.00068045710912972466}}, 8: {"": {up: 0.00076806370158200477, dn: 0.00076806370158200477}}, 9: {"": {up: 0.00089014946908101461, dn: 0.00089014946908101461}}, 10: {"": {up: 0.001057135678619896, dn: 0.001057135678619896}}, 11: {"": {up: 0.0012857708894290823, dn: 0.0012857708894290823}}, 12: {"": {up: 0.0015892310555231384, dn: 0.0015892310555231384}}, 13: {"": {up: 0.0019774973267478635, dn: 0.0019774973267478635}}, 14: {"": {up: 0.0024922671218521649, dn: 0.0024922671218521649}}, 15: {"": {up: 0.0031832469418988942, dn: 0.0031832469418988942}}, 16: {"": {up: 0.0040300733233670808, dn: 0.0040300733233670808}}, 17: {"": {up: 0.005108225850937417, dn: 0.005108225850937417}}, 18: {"": {up: 0.0064089218486476553, dn: 0.0064089218486476553}}, 19: {"": {up: 0.0082308482384912725, dn: 0.0082308482384912725}}, 20: {"": {up: 0.010366942493244838, dn: 0.010366942493244838}}, 21: {"": {up: 0.012752062824516321, dn: 0.012752062824516321}}, 22: {"": {up: 0.01563697021588787, dn: 0.01563697021588787}}, 23: {"": {up: 0.021189159488645949, dn: 0.021189159488645949}}, 24: {"": {up: 0.026375218935831498, dn: 0.026375218935831498}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_FSPARTICLES/EtaPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.001098e+00	4.746357e-04	4.746357e-04
2.000000e-01	4.000000e-01	1.003607e+00	4.797104e-04	4.797104e-04
4.000000e-01	6.000000e-01	1.005639e+00	4.901468e-04	4.901468e-04
6.000000e-01	8.000000e-01	1.003767e+00	5.063801e-04	5.063801e-04
8.000000e-01	1.000000e+00	1.002577e+00	5.321435e-04	5.321435e-04
1.000000e+00	1.200000e+00	1.004014e+00	5.682575e-04	5.682575e-04
1.200000e+00	1.400000e+00	1.007258e+00	6.172717e-04	6.172717e-04
1.400000e+00	1.600000e+00	1.006114e+00	6.804571e-04	6.804571e-04
1.600000e+00	1.800000e+00	1.004402e+00	7.680637e-04	7.680637e-04
1.800000e+00	2.000000e+00	1.004025e+00	8.901495e-04	8.901495e-04
2.000000e+00	2.200000e+00	1.002498e+00	1.057136e-03	1.057136e-03
2.200000e+00	2.400000e+00	1.004189e+00	1.285771e-03	1.285771e-03
2.400000e+00	2.600000e+00	1.004605e+00	1.589231e-03	1.589231e-03
2.600000e+00	2.800000e+00	1.001311e+00	1.977497e-03	1.977497e-03
2.800000e+00	3.000000e+00	1.002004e+00	2.492267e-03	2.492267e-03
3.000000e+00	3.200000e+00	1.007842e+00	3.183247e-03	3.183247e-03
3.200000e+00	3.400000e+00	1.003942e+00	4.030073e-03	4.030073e-03
3.400000e+00	3.600000e+00	1.002482e+00	5.108226e-03	5.108226e-03
3.600000e+00	3.800000e+00	9.993059e-01	6.408922e-03	6.408922e-03
3.800000e+00	4.000000e+00	1.016848e+00	8.230848e-03	8.230848e-03
4.000000e+00	4.200000e+00	1.016843e+00	1.036694e-02	1.036694e-02
4.200000e+00	4.400000e+00	1.000813e+00	1.275206e-02	1.275206e-02
4.400000e+00	4.600000e+00	9.740627e-01	1.563697e-02	1.563697e-02
4.600000e+00	4.800000e+00	1.029854e+00	2.118916e-02	2.118916e-02
4.800000e+00	5.000000e+00	1.000000e+00	2.637522e-02	2.637522e-02
# END HISTO1D

