# BEGIN PLOT
Legend=1
LogY=0
XLabel=$\eta$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\eta$
LegendYPos=0.5
Title=Pseudorapidity of all particles
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/Eta
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/Eta
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/Eta
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/Eta
ScaledBy=2.07945262947505185e-12
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.054138e-04	1.965979e-06	1.965979e-06
-4.800000e+00	-4.600000e+00	1.707154e-04	2.501879e-06	2.501879e-06
-4.600000e+00	-4.400000e+00	2.883390e-04	3.251484e-06	3.251484e-06
-4.400000e+00	-4.200000e+00	4.515067e-04	4.068785e-06	4.068785e-06
-4.200000e+00	-4.000000e+00	6.996815e-04	5.065175e-06	5.065175e-06
-4.000000e+00	-3.800000e+00	1.110005e-03	6.379859e-06	6.379859e-06
-3.800000e+00	-3.600000e+00	1.783572e-03	8.087039e-06	8.087039e-06
-3.600000e+00	-3.400000e+00	2.820921e-03	1.017050e-05	1.017050e-05
-3.400000e+00	-3.200000e+00	4.542356e-03	1.290652e-05	1.290652e-05
-3.200000e+00	-3.000000e+00	7.324915e-03	1.639350e-05	1.639350e-05
-3.000000e+00	-2.800000e+00	1.184615e-02	2.084835e-05	2.084835e-05
-2.800000e+00	-2.600000e+00	1.879201e-02	2.625165e-05	2.625165e-05
-2.600000e+00	-2.400000e+00	2.924288e-02	3.274814e-05	3.274814e-05
-2.400000e+00	-2.200000e+00	4.464426e-02	4.046234e-05	4.046234e-05
-2.200000e+00	-2.000000e+00	6.588035e-02	4.915405e-05	4.915405e-05
-2.000000e+00	-1.800000e+00	9.312555e-02	5.843969e-05	5.843969e-05
-1.800000e+00	-1.600000e+00	1.252079e-01	6.776393e-05	6.776393e-05
-1.600000e+00	-1.400000e+00	1.599160e-01	7.660534e-05	7.660534e-05
-1.400000e+00	-1.200000e+00	1.947210e-01	8.454077e-05	8.454077e-05
-1.200000e+00	-1.000000e+00	2.286654e-01	9.160207e-05	9.160207e-05
-1.000000e+00	-8.000000e-01	2.602752e-01	9.775155e-05	9.775155e-05
-8.000000e-01	-6.000000e-01	2.879970e-01	1.028372e-04	1.028372e-04
-6.000000e-01	-4.000000e-01	3.082506e-01	1.063873e-04	1.063873e-04
-4.000000e-01	-2.000000e-01	3.208187e-01	1.085257e-04	1.085257e-04
-2.000000e-01	0.000000e+00	3.263755e-01	1.094426e-04	1.094426e-04
0.000000e+00	2.000000e-01	3.267339e-01	1.095123e-04	1.095123e-04
2.000000e-01	4.000000e-01	3.219758e-01	1.087303e-04	1.087303e-04
4.000000e-01	6.000000e-01	3.099889e-01	1.066834e-04	1.066834e-04
6.000000e-01	8.000000e-01	2.890818e-01	1.030185e-04	1.030185e-04
8.000000e-01	1.000000e+00	2.609460e-01	9.787035e-05	9.787035e-05
1.000000e+00	1.200000e+00	2.295831e-01	9.179424e-05	9.179424e-05
1.200000e+00	1.400000e+00	1.961343e-01	8.482771e-05	8.482771e-05
1.400000e+00	1.600000e+00	1.608937e-01	7.681520e-05	7.681520e-05
1.600000e+00	1.800000e+00	1.257591e-01	6.793918e-05	6.793918e-05
1.800000e+00	2.000000e+00	9.350040e-02	5.855722e-05	5.855722e-05
2.000000e+00	2.200000e+00	6.604490e-02	4.921530e-05	4.921530e-05
2.200000e+00	2.400000e+00	4.483126e-02	4.054723e-05	4.054723e-05
2.400000e+00	2.600000e+00	2.937755e-02	3.282475e-05	3.282475e-05
2.600000e+00	2.800000e+00	1.881664e-02	2.626771e-05	2.626771e-05
2.800000e+00	3.000000e+00	1.186989e-02	2.086280e-05	2.086280e-05
3.000000e+00	3.200000e+00	7.382360e-03	1.645312e-05	1.645312e-05
3.200000e+00	3.400000e+00	4.560265e-03	1.293122e-05	1.293122e-05
3.400000e+00	3.600000e+00	2.827924e-03	1.018293e-05	1.018293e-05
3.600000e+00	3.800000e+00	1.782334e-03	8.084122e-06	8.084122e-06
3.800000e+00	4.000000e+00	1.128707e-03	6.433201e-06	6.433201e-06
4.000000e+00	4.200000e+00	7.114660e-04	5.107504e-06	5.107504e-06
4.200000e+00	4.400000e+00	4.518738e-04	4.070442e-06	4.070442e-06
4.400000e+00	4.600000e+00	2.808603e-04	3.209046e-06	3.209046e-06
4.600000e+00	4.800000e+00	1.758120e-04	2.538950e-06	2.538950e-06
4.800000e+00	5.000000e+00	1.054138e-04	1.965979e-06	1.965979e-06
# END HISTO1D

