# BEGIN PLOT
Legend=1
LogY=0
XLabel=$|\eta|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_+ \; / \; \mathrm{d}\sigma/\mathrm{d}\eta_-$
LegendYPos=0.5
Title=Pseudorapidity $+/-$ ratio of all particles
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/EtaPMRatio
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/EtaPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/EtaPMRatio
ErrorBreakdown={0: {"": {up: 0.00047446345221483286, dn: 0.00047446345221483286}}, 1: {"": {up: 0.00047949294609111288, dn: 0.00047949294609111288}}, 2: {"": {up: 0.00048990296163044244, dn: 0.00048990296163044244}}, 3: {"": {up: 0.00050613972041142015, dn: 0.00050613972041142015}}, 4: {"": {up: 0.00053193744287978212, dn: 0.00053193744287978212}}, 5: {"": {up: 0.0005681246828145468, dn: 0.0005681246828145468}}, 6: {"": {up: 0.00061715077424741652, dn: 0.00061715077424741652}}, 7: {"": {up: 0.0006803864394067683, dn: 0.0006803864394067683}}, 8: {"": {up: 0.0007678795394024144, dn: 0.0007678795394024144}}, 9: {"": {up: 0.00089013705012680857, dn: 0.00089013705012680857}}, 10: {"": {up: 0.001057128556137304, dn: 0.001057128556137304}}, 11: {"": {up: 0.00128575800791017, dn: 0.00128575800791017}}, 12: {"": {up: 0.0015891905762455809, dn: 0.0015891905762455809}}, 13: {"": {up: 0.0019775706581232513, dn: 0.0019775706581232513}}, 14: {"": {up: 0.0024923163273538524, dn: 0.0024923163273538524}}, 15: {"": {up: 0.0031833285765593476, dn: 0.0031833285765593476}}, 16: {"": {up: 0.0040302767229728406, dn: 0.0040302767229728406}}, 17: {"": {up: 0.0051083162059443335, dn: 0.0051083162059443335}}, 18: {"": {up: 0.0064089701097950272, dn: 0.0064089701097950272}}, 19: {"": {up: 0.0082310344024660309, dn: 0.0082310344024660309}}, 20: {"": {up: 0.010367192996421621, dn: 0.010367192996421621}}, 21: {"": {up: 0.012752045286854599, dn: 0.012752045286854599}}, 22: {"": {up: 0.015636910290662876, dn: 0.015636910290662876}}, 23: {"": {up: 0.021189159488648572, dn: 0.021189159488648572}}, 24: {"": {up: 0.026375218935831481, dn: 0.026375218935831481}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/EtaPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.001094e+00	4.744635e-04	4.744635e-04
2.000000e-01	4.000000e-01	1.003660e+00	4.794929e-04	4.794929e-04
4.000000e-01	6.000000e-01	1.005678e+00	4.899030e-04	4.899030e-04
6.000000e-01	8.000000e-01	1.003832e+00	5.061397e-04	5.061397e-04
8.000000e-01	1.000000e+00	1.002661e+00	5.319374e-04	5.319374e-04
1.000000e+00	1.200000e+00	1.004112e+00	5.681247e-04	5.681247e-04
1.200000e+00	1.400000e+00	1.007376e+00	6.171508e-04	6.171508e-04
1.400000e+00	1.600000e+00	1.006198e+00	6.803864e-04	6.803864e-04
1.600000e+00	1.800000e+00	1.004406e+00	7.678795e-04	7.678795e-04
1.800000e+00	2.000000e+00	1.004055e+00	8.901371e-04	8.901371e-04
2.000000e+00	2.200000e+00	1.002550e+00	1.057129e-03	1.057129e-03
2.200000e+00	2.400000e+00	1.004219e+00	1.285758e-03	1.285758e-03
2.400000e+00	2.600000e+00	1.004650e+00	1.589191e-03	1.589191e-03
2.600000e+00	2.800000e+00	1.001372e+00	1.977571e-03	1.977571e-03
2.800000e+00	3.000000e+00	1.002158e+00	2.492316e-03	2.492316e-03
3.000000e+00	3.200000e+00	1.007986e+00	3.183329e-03	3.183329e-03
3.200000e+00	3.400000e+00	1.004012e+00	4.030277e-03	4.030277e-03
3.400000e+00	3.600000e+00	1.002509e+00	5.108316e-03	5.108316e-03
3.600000e+00	3.800000e+00	9.993216e-01	6.408970e-03	6.408970e-03
3.800000e+00	4.000000e+00	1.016880e+00	8.231034e-03	8.231034e-03
4.000000e+00	4.200000e+00	1.016875e+00	1.036719e-02	1.036719e-02
4.200000e+00	4.400000e+00	1.000812e+00	1.275205e-02	1.275205e-02
4.400000e+00	4.600000e+00	9.740590e-01	1.563691e-02	1.563691e-02
4.600000e+00	4.800000e+00	1.029854e+00	2.118916e-02	2.118916e-02
4.800000e+00	5.000000e+00	1.000000e+00	2.637522e-02	2.637522e-02
# END HISTO1D

