# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of all particles
XLabel=$p_\perp$ [GeV]
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}p_\perp$ [GeV$^{-1}$]
FullRange=1
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/Pt
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/Pt
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/Pt
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/Pt
ScaledBy=2.07945262947505185e-12
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.000000e-01	8.062622e-01	2.432522e-04	2.432522e-04
6.000000e-01	7.000000e-01	6.864398e-01	2.244550e-04	2.244550e-04
7.000000e-01	8.000000e-01	5.930095e-01	2.086246e-04	2.086246e-04
8.000000e-01	9.000000e-01	5.177261e-01	1.949617e-04	1.949617e-04
9.000000e-01	1.000000e+00	4.565961e-01	1.830531e-04	1.830531e-04
1.000000e+00	1.100000e+00	4.061740e-01	1.726698e-04	1.726698e-04
1.100000e+00	1.200000e+00	3.637378e-01	1.634043e-04	1.634043e-04
1.200000e+00	1.300000e+00	3.279882e-01	1.551672e-04	1.551672e-04
1.300000e+00	1.400000e+00	2.973746e-01	1.477092e-04	1.477092e-04
1.400000e+00	1.500000e+00	2.710067e-01	1.410454e-04	1.410454e-04
1.500000e+00	1.600000e+00	2.483253e-01	1.349849e-04	1.349849e-04
1.600000e+00	1.700000e+00	2.282738e-01	1.294374e-04	1.294374e-04
1.700000e+00	1.800000e+00	2.106856e-01	1.243624e-04	1.243624e-04
1.800000e+00	1.900000e+00	1.951270e-01	1.197023e-04	1.197023e-04
1.900000e+00	2.000000e+00	1.811760e-01	1.153076e-04	1.153076e-04
2.000000e+00	2.100000e+00	1.685624e-01	1.112488e-04	1.112488e-04
2.100000e+00	2.200000e+00	1.576627e-01	1.075856e-04	1.075856e-04
2.200000e+00	2.300000e+00	1.476231e-01	1.040951e-04	1.040951e-04
2.300000e+00	2.400000e+00	1.385281e-01	1.008555e-04	1.008555e-04
2.400000e+00	2.500000e+00	1.302871e-01	9.779370e-05	9.779370e-05
2.500000e+00	2.600000e+00	1.226377e-01	9.487484e-05	9.487484e-05
2.600000e+00	2.700000e+00	1.159560e-01	9.228724e-05	9.228724e-05
2.700000e+00	2.800000e+00	1.092417e-01	8.954015e-05	8.954015e-05
2.800000e+00	2.900000e+00	1.036145e-01	8.720774e-05	8.720774e-05
2.900000e+00	3.000000e+00	9.826753e-02	8.494877e-05	8.494877e-05
3.000000e+00	3.100000e+00	9.338625e-02	8.280888e-05	8.280888e-05
3.100000e+00	3.200000e+00	8.877482e-02	8.074296e-05	8.074296e-05
3.200000e+00	3.300000e+00	8.448759e-02	7.874929e-05	7.874929e-05
3.300000e+00	3.400000e+00	8.057572e-02	7.690182e-05	7.690182e-05
3.400000e+00	3.500000e+00	7.677490e-02	7.510160e-05	7.510160e-05
3.500000e+00	3.600000e+00	7.325700e-02	7.335293e-05	7.335293e-05
3.600000e+00	3.700000e+00	7.002820e-02	7.167930e-05	7.167930e-05
3.700000e+00	3.800000e+00	6.711832e-02	7.017826e-05	7.017826e-05
3.800000e+00	3.900000e+00	6.428659e-02	6.868549e-05	6.868549e-05
3.900000e+00	4.000000e+00	6.159909e-02	6.724012e-05	6.724012e-05
4.000000e+00	4.100000e+00	5.903068e-02	6.584991e-05	6.584991e-05
4.100000e+00	4.200000e+00	5.667256e-02	6.448395e-05	6.448395e-05
4.200000e+00	4.300000e+00	5.449927e-02	6.324010e-05	6.324010e-05
4.300000e+00	4.400000e+00	5.246234e-02	6.204369e-05	6.204369e-05
4.400000e+00	4.500000e+00	5.030425e-02	6.078998e-05	6.078998e-05
4.500000e+00	4.600000e+00	4.854069e-02	5.970956e-05	5.970956e-05
4.600000e+00	4.700000e+00	4.679435e-02	5.859750e-05	5.859750e-05
4.700000e+00	4.800000e+00	4.509265e-02	5.757664e-05	5.757664e-05
4.800000e+00	4.900000e+00	4.347383e-02	5.649764e-05	5.649764e-05
4.900000e+00	5.000000e+00	4.195971e-02	5.552817e-05	5.552817e-05
5.000000e+00	5.100000e+00	4.044231e-02	5.447867e-05	5.447867e-05
5.100000e+00	5.200000e+00	3.900075e-02	5.350867e-05	5.350867e-05
5.200000e+00	5.300000e+00	3.768887e-02	5.260417e-05	5.260417e-05
5.300000e+00	5.400000e+00	3.643260e-02	5.169970e-05	5.169970e-05
5.400000e+00	5.500000e+00	3.543374e-02	5.099025e-05	5.099025e-05
5.500000e+00	5.600000e+00	3.403810e-02	4.997822e-05	4.997822e-05
5.600000e+00	5.700000e+00	3.299532e-02	4.920556e-05	4.920556e-05
5.700000e+00	5.800000e+00	3.194589e-02	4.841576e-05	4.841576e-05
5.800000e+00	5.900000e+00	3.097137e-02	4.766952e-05	4.766952e-05
5.900000e+00	6.000000e+00	2.997457e-02	4.691175e-05	4.691175e-05
6.000000e+00	6.100000e+00	2.908701e-02	4.621446e-05	4.621446e-05
6.100000e+00	6.200000e+00	2.821784e-02	4.551904e-05	4.551904e-05
6.200000e+00	6.300000e+00	2.735461e-02	4.480393e-05	4.480393e-05
6.300000e+00	6.400000e+00	2.658894e-02	4.416804e-05	4.416804e-05
6.400000e+00	6.500000e+00	2.579799e-02	4.351002e-05	4.351002e-05
6.500000e+00	6.600000e+00	2.509288e-02	4.296347e-05	4.296347e-05
6.600000e+00	6.700000e+00	2.436787e-02	4.228056e-05	4.228056e-05
6.700000e+00	6.800000e+00	2.361633e-02	4.163264e-05	4.163264e-05
6.800000e+00	6.900000e+00	2.291360e-02	4.101447e-05	4.101447e-05
6.900000e+00	7.000000e+00	2.226695e-02	4.042905e-05	4.042905e-05
7.000000e+00	7.100000e+00	2.166489e-02	3.988616e-05	3.988616e-05
7.100000e+00	7.200000e+00	2.103351e-02	3.928024e-05	3.928024e-05
7.200000e+00	7.300000e+00	2.048412e-02	3.876324e-05	3.876324e-05
7.300000e+00	7.400000e+00	1.994857e-02	3.827203e-05	3.827203e-05
7.400000e+00	7.500000e+00	1.939075e-02	3.774095e-05	3.774095e-05
7.500000e+00	7.600000e+00	1.891943e-02	3.732827e-05	3.732827e-05
7.600000e+00	7.700000e+00	1.838864e-02	3.673757e-05	3.673757e-05
7.700000e+00	7.800000e+00	1.789642e-02	3.623625e-05	3.623625e-05
7.800000e+00	7.900000e+00	1.750192e-02	3.583334e-05	3.583334e-05
7.900000e+00	8.000000e+00	1.704645e-02	3.538459e-05	3.538459e-05
8.000000e+00	8.100000e+00	1.660176e-02	3.490372e-05	3.490372e-05
8.100000e+00	8.200000e+00	1.617210e-02	3.444790e-05	3.444790e-05
8.200000e+00	8.300000e+00	1.587662e-02	3.414156e-05	3.414156e-05
8.300000e+00	8.400000e+00	1.541009e-02	3.367849e-05	3.367849e-05
8.400000e+00	8.500000e+00	1.502255e-02	3.325399e-05	3.325399e-05
8.500000e+00	8.600000e+00	1.463523e-02	3.279454e-05	3.279454e-05
8.600000e+00	8.700000e+00	1.423677e-02	3.234344e-05	3.234344e-05
8.700000e+00	8.800000e+00	1.397100e-02	3.202337e-05	3.202337e-05
8.800000e+00	8.900000e+00	1.363972e-02	3.163653e-05	3.163653e-05
8.900000e+00	9.000000e+00	1.326127e-02	3.119348e-05	3.119348e-05
9.000000e+00	9.100000e+00	1.295730e-02	3.083292e-05	3.083292e-05
9.100000e+00	9.200000e+00	1.265196e-02	3.046569e-05	3.046569e-05
9.200000e+00	9.300000e+00	1.237537e-02	3.013268e-05	3.013268e-05
9.300000e+00	9.400000e+00	1.209056e-02	2.978821e-05	2.978821e-05
9.400000e+00	9.500000e+00	1.184697e-02	2.948078e-05	2.948078e-05
9.500000e+00	9.600000e+00	1.160898e-02	2.919208e-05	2.919208e-05
9.600000e+00	9.700000e+00	1.130431e-02	2.879911e-05	2.879911e-05
9.700000e+00	9.800000e+00	1.108713e-02	2.852562e-05	2.852562e-05
9.800000e+00	9.900000e+00	1.084249e-02	2.820070e-05	2.820070e-05
9.900000e+00	1.000000e+01	1.059831e-02	2.790683e-05	2.790683e-05
1.000000e+01	1.010000e+01	1.033536e-02	2.754061e-05	2.754061e-05
1.010000e+01	1.020000e+01	1.008857e-02	2.720453e-05	2.720453e-05
1.020000e+01	1.030000e+01	9.876385e-03	2.694235e-05	2.694235e-05
1.030000e+01	1.040000e+01	9.653463e-03	2.663586e-05	2.663586e-05
1.040000e+01	1.050000e+01	9.423930e-03	2.630820e-05	2.630820e-05
1.050000e+01	1.060000e+01	9.271664e-03	2.607993e-05	2.607993e-05
1.060000e+01	1.070000e+01	9.072998e-03	2.580071e-05	2.580071e-05
1.070000e+01	1.080000e+01	8.845710e-03	2.547535e-05	2.547535e-05
1.080000e+01	1.090000e+01	8.686943e-03	2.526105e-05	2.526105e-05
1.090000e+01	1.100000e+01	8.503241e-03	2.498260e-05	2.498260e-05
1.100000e+01	1.110000e+01	8.312241e-03	2.469365e-05	2.469365e-05
1.110000e+01	1.120000e+01	8.136982e-03	2.443450e-05	2.443450e-05
1.120000e+01	1.130000e+01	7.974744e-03	2.426502e-05	2.426502e-05
1.130000e+01	1.140000e+01	7.831846e-03	2.397690e-05	2.397690e-05
1.140000e+01	1.150000e+01	7.636023e-03	2.367739e-05	2.367739e-05
1.150000e+01	1.160000e+01	7.486376e-03	2.344878e-05	2.344878e-05
1.160000e+01	1.170000e+01	7.384459e-03	2.328646e-05	2.328646e-05
1.170000e+01	1.180000e+01	7.181155e-03	2.295166e-05	2.295166e-05
1.180000e+01	1.190000e+01	7.061222e-03	2.276472e-05	2.276472e-05
1.190000e+01	1.200000e+01	6.931163e-03	2.254821e-05	2.254821e-05
1.200000e+01	1.210000e+01	6.796696e-03	2.233815e-05	2.233815e-05
1.210000e+01	1.220000e+01	6.672264e-03	2.212450e-05	2.212450e-05
1.220000e+01	1.230000e+01	6.515601e-03	2.187518e-05	2.187518e-05
1.230000e+01	1.240000e+01	6.375721e-03	2.162846e-05	2.162846e-05
1.240000e+01	1.250000e+01	6.292440e-03	2.148572e-05	2.148572e-05
1.250000e+01	1.260000e+01	6.130866e-03	2.120919e-05	2.120919e-05
1.260000e+01	1.270000e+01	6.055679e-03	2.108337e-05	2.108337e-05
1.270000e+01	1.280000e+01	5.919989e-03	2.087066e-05	2.087066e-05
1.280000e+01	1.290000e+01	5.815688e-03	2.065571e-05	2.065571e-05
1.290000e+01	1.300000e+01	5.680470e-03	2.041618e-05	2.041618e-05
1.300000e+01	1.310000e+01	5.595457e-03	2.026457e-05	2.026457e-05
1.310000e+01	1.320000e+01	5.455767e-03	2.001452e-05	2.001452e-05
1.320000e+01	1.330000e+01	5.403032e-03	1.991328e-05	1.991328e-05
1.330000e+01	1.340000e+01	5.292492e-03	1.970836e-05	1.970836e-05
1.340000e+01	1.350000e+01	5.198293e-03	1.952938e-05	1.952938e-05
1.350000e+01	1.360000e+01	5.076225e-03	1.929656e-05	1.929656e-05
1.360000e+01	1.370000e+01	5.009983e-03	1.917268e-05	1.917268e-05
1.370000e+01	1.380000e+01	4.908713e-03	1.897899e-05	1.897899e-05
1.380000e+01	1.390000e+01	4.800550e-03	1.876734e-05	1.876734e-05
1.390000e+01	1.400000e+01	4.749191e-03	1.866446e-05	1.866446e-05
1.400000e+01	1.410000e+01	4.642524e-03	1.845637e-05	1.845637e-05
1.410000e+01	1.420000e+01	4.557450e-03	1.828669e-05	1.828669e-05
1.420000e+01	1.430000e+01	4.461508e-03	1.809235e-05	1.809235e-05
