# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of charged particles
XLabel=$p_\perp$ [GeV]
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}p_\perp$ [GeV$^{-1}$]
FullRange=1
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/PtCh
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/PtCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/PtCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/PtCh
ScaledBy=3.58870839322639674e-12
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.000000e-01	6.902982e-01	2.956829e-04	2.956829e-04
6.000000e-01	7.000000e-01	6.072446e-01	2.773176e-04	2.773176e-04
7.000000e-01	8.000000e-01	5.375084e-01	2.609008e-04	2.609008e-04
8.000000e-01	9.000000e-01	4.777317e-01	2.460324e-04	2.460324e-04
9.000000e-01	1.000000e+00	4.276024e-01	2.327007e-04	2.327007e-04
1.000000e+00	1.100000e+00	3.851155e-01	2.208512e-04	2.208512e-04
1.100000e+00	1.200000e+00	3.483274e-01	2.100406e-04	2.100406e-04
1.200000e+00	1.300000e+00	3.169731e-01	2.003621e-04	2.003621e-04
1.300000e+00	1.400000e+00	2.899119e-01	1.915864e-04	1.915864e-04
1.400000e+00	1.500000e+00	2.662571e-01	1.836566e-04	1.836566e-04
1.500000e+00	1.600000e+00	2.458133e-01	1.764281e-04	1.764281e-04
1.600000e+00	1.700000e+00	2.271223e-01	1.695931e-04	1.695931e-04
1.700000e+00	1.800000e+00	2.111742e-01	1.635526e-04	1.635526e-04
1.800000e+00	1.900000e+00	1.965074e-01	1.577656e-04	1.577656e-04
1.900000e+00	2.000000e+00	1.832114e-01	1.523211e-04	1.523211e-04
2.000000e+00	2.100000e+00	1.712466e-01	1.473238e-04	1.473238e-04
2.100000e+00	2.200000e+00	1.610207e-01	1.428553e-04	1.428553e-04
2.200000e+00	2.300000e+00	1.513731e-01	1.384944e-04	1.384944e-04
2.300000e+00	2.400000e+00	1.426351e-01	1.344379e-04	1.344379e-04
2.400000e+00	2.500000e+00	1.346327e-01	1.306131e-04	1.306131e-04
2.500000e+00	2.600000e+00	1.271525e-01	1.269268e-04	1.269268e-04
2.600000e+00	2.700000e+00	1.207228e-01	1.236808e-04	1.236808e-04
2.700000e+00	2.800000e+00	1.140229e-01	1.201707e-04	1.201707e-04
2.800000e+00	2.900000e+00	1.083716e-01	1.171609e-04	1.171609e-04
2.900000e+00	3.000000e+00	1.033124e-01	1.144494e-04	1.144494e-04
3.000000e+00	3.100000e+00	9.841182e-02	1.116898e-04	1.116898e-04
3.100000e+00	3.200000e+00	9.382599e-02	1.090680e-04	1.090680e-04
3.200000e+00	3.300000e+00	8.943989e-02	1.064287e-04	1.064287e-04
3.300000e+00	3.400000e+00	8.562480e-02	1.041298e-04	1.041298e-04
3.400000e+00	3.500000e+00	8.190067e-02	1.018777e-04	1.018777e-04
3.500000e+00	3.600000e+00	7.827713e-02	9.959385e-05	9.959385e-05
3.600000e+00	3.700000e+00	7.496208e-02	9.742529e-05	9.742529e-05
3.700000e+00	3.800000e+00	7.204022e-02	9.552129e-05	9.552129e-05
3.800000e+00	3.900000e+00	6.919511e-02	9.361708e-05	9.361708e-05
3.900000e+00	4.000000e+00	6.645063e-02	9.174059e-05	9.174059e-05
4.000000e+00	4.100000e+00	6.378833e-02	8.993981e-05	8.993981e-05
4.100000e+00	4.200000e+00	6.128710e-02	8.808485e-05	8.808485e-05
4.200000e+00	4.300000e+00	5.918496e-02	8.657174e-05	8.657174e-05
4.300000e+00	4.400000e+00	5.706806e-02	8.501136e-05	8.501136e-05
4.400000e+00	4.500000e+00	5.487156e-02	8.342699e-05	8.342699e-05
4.500000e+00	4.600000e+00	5.298988e-02	8.192852e-05	8.192852e-05
4.600000e+00	4.700000e+00	5.119189e-02	8.051105e-05	8.051105e-05
4.700000e+00	4.800000e+00	4.939933e-02	7.916236e-05	7.916236e-05
4.800000e+00	4.900000e+00	4.768141e-02	7.769537e-05	7.769537e-05
4.900000e+00	5.000000e+00	4.607998e-02	7.638112e-05	7.638112e-05
5.000000e+00	5.100000e+00	4.446380e-02	7.504171e-05	7.504171e-05
5.100000e+00	5.200000e+00	4.297960e-02	7.376569e-05	7.376569e-05
5.200000e+00	5.300000e+00	4.165228e-02	7.266301e-05	7.266301e-05
5.300000e+00	5.400000e+00	4.023231e-02	7.136849e-05	7.136849e-05
5.400000e+00	5.500000e+00	3.926639e-02	7.051895e-05	7.051895e-05
5.500000e+00	5.600000e+00	3.773328e-02	6.911769e-05	6.911769e-05
5.600000e+00	5.700000e+00	3.672304e-02	6.819501e-05	6.819501e-05
5.700000e+00	5.800000e+00	3.554942e-02	6.709551e-05	6.709551e-05
5.800000e+00	5.900000e+00	3.453378e-02	6.612591e-05	6.612591e-05
5.900000e+00	6.000000e+00	3.332599e-02	6.499182e-05	6.499182e-05
6.000000e+00	6.100000e+00	3.242004e-02	6.411036e-05	6.411036e-05
6.100000e+00	6.200000e+00	3.146362e-02	6.311869e-05	6.311869e-05
6.200000e+00	6.300000e+00	3.067449e-02	6.232952e-05	6.232952e-05
6.300000e+00	6.400000e+00	2.977628e-02	6.140519e-05	6.140519e-05
6.400000e+00	6.500000e+00	2.897088e-02	6.057481e-05	6.057481e-05
6.500000e+00	6.600000e+00	2.820728e-02	5.985463e-05	5.985463e-05
6.600000e+00	6.700000e+00	2.745162e-02	5.895236e-05	5.895236e-05
6.700000e+00	6.800000e+00	2.660668e-02	5.805639e-05	5.805639e-05
6.800000e+00	6.900000e+00	2.576809e-02	5.714809e-05	5.714809e-05
6.900000e+00	7.000000e+00	2.508964e-02	5.637048e-05	5.637048e-05
7.000000e+00	7.100000e+00	2.448489e-02	5.571739e-05	5.571739e-05
7.100000e+00	7.200000e+00	2.380750e-02	5.489925e-05	5.489925e-05
7.200000e+00	7.300000e+00	2.316950e-02	5.415748e-05	5.415748e-05
7.300000e+00	7.400000e+00	2.253988e-02	5.344730e-05	5.344730e-05
7.400000e+00	7.500000e+00	2.200307e-02	5.278463e-05	5.278463e-05
7.500000e+00	7.600000e+00	2.151960e-02	5.234095e-05	5.234095e-05
7.600000e+00	7.700000e+00	2.085115e-02	5.138205e-05	5.138205e-05
7.700000e+00	7.800000e+00	2.033610e-02	5.074512e-05	5.074512e-05
7.800000e+00	7.900000e+00	1.990377e-02	5.019774e-05	5.019774e-05
7.900000e+00	8.000000e+00	1.942757e-02	4.960035e-05	4.960035e-05
8.000000e+00	8.100000e+00	1.892673e-02	4.896289e-05	4.896289e-05
8.100000e+00	8.200000e+00	1.844848e-02	4.833211e-05	4.833211e-05
8.200000e+00	8.300000e+00	1.816330e-02	4.796157e-05	4.796157e-05
8.300000e+00	8.400000e+00	1.760485e-02	4.720987e-05	4.720987e-05
8.400000e+00	8.500000e+00	1.721383e-02	4.680404e-05	4.680404e-05
8.500000e+00	8.600000e+00	1.674963e-02	4.604926e-05	4.604926e-05
8.600000e+00	8.700000e+00	1.634310e-02	4.548649e-05	4.548649e-05
8.700000e+00	8.800000e+00	1.602013e-02	4.504800e-05	4.504800e-05
8.800000e+00	8.900000e+00	1.567941e-02	4.456306e-05	4.456306e-05
8.900000e+00	9.000000e+00	1.523904e-02	4.392389e-05	4.392389e-05
9.000000e+00	9.100000e+00	1.482801e-02	4.332743e-05	4.332743e-05
9.100000e+00	9.200000e+00	1.450499e-02	4.285219e-05	4.285219e-05
9.200000e+00	9.300000e+00	1.421939e-02	4.243456e-05	4.243456e-05
9.300000e+00	9.400000e+00	1.390495e-02	4.197265e-05	4.197265e-05
9.400000e+00	9.500000e+00	1.365148e-02	4.157387e-05	4.157387e-05
9.500000e+00	9.600000e+00	1.338415e-02	4.116981e-05	4.116981e-05
9.600000e+00	9.700000e+00	1.302683e-02	4.061548e-05	4.061548e-05
9.700000e+00	9.800000e+00	1.282762e-02	4.030294e-05	4.030294e-05
9.800000e+00	9.900000e+00	1.251064e-02	3.979452e-05	3.979452e-05
9.900000e+00	1.000000e+01	1.224057e-02	3.941604e-05	3.941604e-05
1.000000e+01	1.010000e+01	1.193442e-02	3.887938e-05	3.887938e-05
1.010000e+01	1.020000e+01	1.164896e-02	3.840260e-05	3.840260e-05
1.020000e+01	1.030000e+01	1.146294e-02	3.814808e-05	3.814808e-05
1.030000e+01	1.040000e+01	1.118818e-02	3.768729e-05	3.768729e-05
1.040000e+01	1.050000e+01	1.092292e-02	3.721333e-05	3.721333e-05
1.050000e+01	1.060000e+01	1.076151e-02	3.691000e-05	3.691000e-05
1.060000e+01	1.070000e+01	1.053580e-02	3.652610e-05	3.652610e-05
1.070000e+01	1.080000e+01	1.024988e-02	3.602582e-05	3.602582e-05
1.080000e+01	1.090000e+01	1.007332e-02	3.573842e-05	3.573842e-05
1.090000e+01	1.100000e+01	9.892783e-03	3.539381e-05	3.539381e-05
1.100000e+01	1.110000e+01	9.624559e-03	3.490739e-05	3.490739e-05
1.110000e+01	1.120000e+01	9.464163e-03	3.461312e-05	3.461312e-05
1.120000e+01	1.130000e+01	9.276338e-03	3.443394e-05	3.443394e-05
1.130000e+01	1.140000e+01	9.103733e-03	3.395621e-05	3.395621e-05
1.140000e+01	1.150000e+01	8.922681e-03	3.362994e-05	3.362994e-05
1.150000e+01	1.160000e+01	8.693235e-03	3.318250e-05	3.318250e-05
1.160000e+01	1.170000e+01	8.592920e-03	3.300476e-05	3.300476e-05
1.170000e+01	1.180000e+01	8.379902e-03	3.257121e-05	3.257121e-05
1.180000e+01	1.190000e+01	8.245049e-03	3.231992e-05	3.231992e-05
1.190000e+01	1.200000e+01	8.071011e-03	3.196450e-05	3.196450e-05
1.200000e+01	1.210000e+01	7.948176e-03	3.173552e-05	3.173552e-05
1.210000e+01	1.220000e+01	7.817797e-03	3.146326e-05	3.146326e-05
1.220000e+01	1.230000e+01	7.621379e-03	3.108719e-05	3.108719e-05
1.230000e+01	1.240000e+01	7.481243e-03	3.078039e-05	3.078039e-05
1.240000e+01	1.250000e+01	7.359591e-03	3.052446e-05	3.052446e-05
1.250000e+01	1.260000e+01	7.192328e-03	3.017996e-05	3.017996e-05
1.260000e+01	1.270000e+01	7.101660e-03	2.999847e-05	2.999847e-05
1.270000e+01	1.280000e+01	6.949275e-03	2.966003e-05	2.966003e-05
1.280000e+01	1.290000e+01	6.830869e-03	2.940981e-05	2.940981e-05
1.290000e+01	1.300000e+01	6.680547e-03	2.908758e-05	2.908758e-05
1.300000e+01	1.310000e+01	6.573973e-03	2.885947e-05	2.885947e-05
1.310000e+01	1.320000e+01	6.383394e-03	2.844561e-05	2.844561e-05
1.320000e+01	1.330000e+01	6.378858e-03	2.841947e-05	2.841947e-05
1.330000e+01	1.340000e+01	6.168112e-03	2.795308e-05	2.795308e-05
1.340000e+01	1.350000e+01	6.119038e-03	2.783672e-05	2.783672e-05
1.350000e+01	1.360000e+01	5.994392e-03	2.754784e-05	2.754784e-05
1.360000e+01	1.370000e+01	5.906384e-03	2.734940e-05	2.734940e-05
1.370000e+01	1.380000e+01	5.769953e-03	2.703443e-05	2.703443e-05
1.380000e+01	1.390000e+01	5.689294e-03	2.684158e-05	2.684158e-05
1.390000e+01	1.400000e+01	5.594023e-03	2.661042e-05	2.661042e-05
1.400000e+01	1.410000e+01	5.474760e-03	2.632805e-05	2.632805e-05
1.410000e+01	1.420000e+01	5.371933e-03	2.608335e-05	2.608335e-05
1.420000e+01	1.430000e+01	5.261411e-03	2.580886e-05	2.580886e-05
