# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity of charged particles
XLabel=$y$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}y$
LegendYPos=0.5
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/RapidityCh
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/RapidityCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/RapidityCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/RapidityCh
ScaledBy=3.58870839322639674e-12
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	7.732505e-05	2.211997e-06	2.211997e-06
-4.800000e+00	-4.600000e+00	1.614841e-04	3.196608e-06	3.196608e-06
-4.600000e+00	-4.400000e+00	2.936707e-04	4.310770e-06	4.310770e-06
-4.400000e+00	-4.200000e+00	4.739537e-04	5.476402e-06	5.476402e-06
-4.200000e+00	-4.000000e+00	7.442695e-04	6.862614e-06	6.862614e-06
-4.000000e+00	-3.800000e+00	1.171228e-03	8.609377e-06	8.609377e-06
-3.800000e+00	-3.600000e+00	1.891972e-03	1.094178e-05	1.094178e-05
-3.600000e+00	-3.400000e+00	2.960001e-03	1.368600e-05	1.368600e-05
-3.400000e+00	-3.200000e+00	4.717041e-03	1.727814e-05	1.727814e-05
-3.200000e+00	-3.000000e+00	7.603435e-03	2.194046e-05	2.194046e-05
-3.000000e+00	-2.800000e+00	1.214154e-02	2.772045e-05	2.772045e-05
-2.800000e+00	-2.600000e+00	1.914130e-02	3.480768e-05	3.480768e-05
-2.600000e+00	-2.400000e+00	2.960108e-02	4.328428e-05	4.328428e-05
-2.400000e+00	-2.200000e+00	4.489836e-02	5.330633e-05	5.330633e-05
-2.200000e+00	-2.000000e+00	6.598895e-02	6.462619e-05	6.462619e-05
-2.000000e+00	-1.800000e+00	9.302305e-02	7.672962e-05	7.672962e-05
-1.800000e+00	-1.600000e+00	1.246682e-01	8.883102e-05	8.883102e-05
-1.600000e+00	-1.400000e+00	1.591487e-01	1.003984e-04	1.003984e-04
-1.400000e+00	-1.200000e+00	1.938945e-01	1.108266e-04	1.108266e-04
-1.200000e+00	-1.000000e+00	2.278578e-01	1.201299e-04	1.201299e-04
-1.000000e+00	-8.000000e-01	2.595023e-01	1.282108e-04	1.282108e-04
-8.000000e-01	-6.000000e-01	2.874889e-01	1.349740e-04	1.349740e-04
-6.000000e-01	-4.000000e-01	3.081848e-01	1.397236e-04	1.397236e-04
-4.000000e-01	-2.000000e-01	3.212620e-01	1.426694e-04	1.426694e-04
-2.000000e-01	0.000000e+00	3.272940e-01	1.439740e-04	1.439740e-04
0.000000e+00	2.000000e-01	3.278604e-01	1.441040e-04	1.441040e-04
2.000000e-01	4.000000e-01	3.228255e-01	1.430038e-04	1.430038e-04
4.000000e-01	6.000000e-01	3.100148e-01	1.401712e-04	1.401712e-04
6.000000e-01	8.000000e-01	2.888390e-01	1.352410e-04	1.352410e-04
8.000000e-01	1.000000e+00	2.604792e-01	1.284599e-04	1.284599e-04
1.000000e+00	1.200000e+00	2.289499e-01	1.204222e-04	1.204222e-04
1.200000e+00	1.400000e+00	1.953108e-01	1.112008e-04	1.112008e-04
1.400000e+00	1.600000e+00	1.602412e-01	1.007073e-04	1.007073e-04
1.600000e+00	1.800000e+00	1.254464e-01	8.915095e-05	8.915095e-05
1.800000e+00	2.000000e+00	9.332415e-02	7.685317e-05	7.685317e-05
2.000000e+00	2.200000e+00	6.616630e-02	6.471099e-05	6.471099e-05
2.200000e+00	2.400000e+00	4.510683e-02	5.342979e-05	5.342979e-05
2.400000e+00	2.600000e+00	2.970748e-02	4.336250e-05	4.336250e-05
2.600000e+00	2.800000e+00	1.919766e-02	3.485551e-05	3.485551e-05
2.800000e+00	3.000000e+00	1.214315e-02	2.772085e-05	2.772085e-05
3.000000e+00	3.200000e+00	7.644015e-03	2.199369e-05	2.199369e-05
3.200000e+00	3.400000e+00	4.746806e-03	1.733168e-05	1.733168e-05
3.400000e+00	3.600000e+00	2.948799e-03	1.366036e-05	1.366036e-05
3.600000e+00	3.800000e+00	1.883279e-03	1.091651e-05	1.091651e-05
3.800000e+00	4.000000e+00	1.207866e-03	8.742577e-06	8.742577e-06
4.000000e+00	4.200000e+00	7.530670e-04	6.903063e-06	6.903063e-06
4.200000e+00	4.400000e+00	4.761046e-04	5.488809e-06	5.488809e-06
4.400000e+00	4.600000e+00	2.917742e-04	4.296842e-06	4.296842e-06
4.600000e+00	4.800000e+00	1.695203e-04	3.275182e-06	3.275182e-06
4.800000e+00	5.000000e+00	7.631260e-05	2.197468e-06	2.197468e-06
# END HISTO1D

