# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity $+/-$ ratio of all particles
XLabel=$|y|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y_+ \; / \; \mathrm{d}\sigma/\mathrm{d}y_-$
LegendYPos=0.5
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/RapidityPMRatio
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/RapidityPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/RapidityPMRatio
ErrorBreakdown={0: {"": {up: 0.0004713434931488876, dn: 0.0004713434931488876}}, 1: {"": {up: 0.00047664031388091699, dn: 0.00047664031388091699}}, 2: {"": {up: 0.00048743079321496112, dn: 0.00048743079321496112}}, 3: {"": {up: 0.00050443442091621551, dn: 0.00050443442091621551}}, 4: {"": {up: 0.00053099940550802493, dn: 0.00053099940550802493}}, 5: {"": {up: 0.00056827437555216252, dn: 0.00056827437555216252}}, 6: {"": {up: 0.00061884316589758516, dn: 0.00061884316589758516}}, 7: {"": {up: 0.00068405678705944675, dn: 0.00068405678705944675}}, 8: {"": {up: 0.00077397800195530802, dn: 0.00077397800195530802}}, 9: {"": {up: 0.00089947422795063042, dn: 0.00089947422795063042}}, 10: {"": {up: 0.001071777301418574, dn: 0.001071777301418574}}, 11: {"": {up: 0.0013083469668973692, dn: 0.0013083469668973692}}, 12: {"": {up: 0.0016212790647856155, dn: 0.0016212790647856155}}, 13: {"": {up: 0.0020233856419649724, dn: 0.0020233856419649724}}, 14: {"": {up: 0.0025624038996130702, dn: 0.0025624038996130702}}, 15: {"": {up: 0.0032788699575811843, dn: 0.0032788699575811843}}, 16: {"": {up: 0.0041818848795583501, dn: 0.0041818848795583501}}, 17: {"": {up: 0.0053011390680168012, dn: 0.0053011390680168012}}, 18: {"": {up: 0.0066784230750709262, dn: 0.0066784230750709262}}, 19: {"": {up: 0.0087388970527693521, dn: 0.0087388970527693521}}, 20: {"": {up: 0.011008290486953055, dn: 0.011008290486953055}}, 21: {"": {up: 0.013535380351089386, dn: 0.013535380351089386}}, 22: {"": {up: 0.017506370674905319, dn: 0.017506370674905319}}, 23: {"": {up: 0.024175653871108201, dn: 0.024175653871108201}}, 24: {"": {up: 0.034996400675981559, dn: 0.034996400675981559}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_GENERIC/RapidityPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.001160e+00	4.713435e-04	4.713435e-04
2.000000e-01	4.000000e-01	1.003770e+00	4.766403e-04	4.766403e-04
4.000000e-01	6.000000e-01	1.005621e+00	4.874308e-04	4.874308e-04
6.000000e-01	8.000000e-01	1.004047e+00	5.044344e-04	5.044344e-04
8.000000e-01	1.000000e+00	1.002771e+00	5.309994e-04	5.309994e-04
1.000000e+00	1.200000e+00	1.004039e+00	5.682744e-04	5.682744e-04
1.200000e+00	1.400000e+00	1.007454e+00	6.188432e-04	6.188432e-04
1.400000e+00	1.600000e+00	1.006407e+00	6.840568e-04	6.840568e-04
1.600000e+00	1.800000e+00	1.004233e+00	7.739780e-04	7.739780e-04
1.800000e+00	2.000000e+00	1.003489e+00	8.994742e-04	8.994742e-04
2.000000e+00	2.200000e+00	1.002154e+00	1.071777e-03	1.071777e-03
2.200000e+00	2.400000e+00	1.004310e+00	1.308347e-03	1.308347e-03
2.400000e+00	2.600000e+00	1.004105e+00	1.621279e-03	1.621279e-03
2.600000e+00	2.800000e+00	1.000360e+00	2.023386e-03	2.023386e-03
2.800000e+00	3.000000e+00	1.001651e+00	2.562404e-03	2.562404e-03
3.000000e+00	3.200000e+00	1.006289e+00	3.278870e-03	3.278870e-03
3.200000e+00	3.400000e+00	1.005033e+00	4.181885e-03	4.181885e-03
3.400000e+00	3.600000e+00	9.990150e-01	5.301139e-03	5.301139e-03
3.600000e+00	3.800000e+00	9.960743e-01	6.678423e-03	6.678423e-03
3.800000e+00	4.000000e+00	1.026223e+00	8.738897e-03	8.738897e-03
4.000000e+00	4.200000e+00	1.019025e+00	1.100829e-02	1.100829e-02
4.200000e+00	4.400000e+00	9.907106e-01	1.353538e-02	1.353538e-02
4.400000e+00	4.600000e+00	9.913057e-01	1.750637e-02	1.750637e-02
4.600000e+00	4.800000e+00	1.020136e+00	2.417565e-02	2.417565e-02
4.800000e+00	5.000000e+00	9.868832e-01	3.499640e-02	3.499640e-02
# END HISTO1D

