# BEGIN PLOT
Legend=1
LogY=1
Title=Lepton $p_\perp$
XLabel=$p_\perp^{\mathrm{l}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp^{\mathrm{l}}$ [pb/GeV]
LogX=1
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_HINC/lepton_pT
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_HINC/lepton_pT
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_HINC/lepton_pT
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_HINC/lepton_pT
ScaledBy=1.00000000000000000e+00
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.018079e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.018079e+01	1.036485e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.036485e+01	1.055224e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.055224e+01	1.074301e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.074301e+01	1.093724e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.093724e+01	1.113497e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.113497e+01	1.133628e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.133628e+01	1.154123e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.154123e+01	1.174988e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.174988e+01	1.196231e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.196231e+01	1.217858e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.217858e+01	1.239876e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.239876e+01	1.262292e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.262292e+01	1.285113e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.285113e+01	1.308346e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.308346e+01	1.332000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.332000e+01	1.356081e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.356081e+01	1.380598e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.380598e+01	1.405558e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.405558e+01	1.430969e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.430969e+01	1.456840e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.456840e+01	1.483178e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.483178e+01	1.509992e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.509992e+01	1.537292e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.537292e+01	1.565085e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.565085e+01	1.593380e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.593380e+01	1.622187e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.622187e+01	1.651514e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.651514e+01	1.681372e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.681372e+01	1.711770e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.711770e+01	1.742717e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.742717e+01	1.774224e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.774224e+01	1.806300e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.806300e+01	1.838956e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.838956e+01	1.872203e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.872203e+01	1.906051e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.906051e+01	1.940510e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.940510e+01	1.975593e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.975593e+01	2.011310e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.011310e+01	2.047673e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.047673e+01	2.084693e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.084693e+01	2.122382e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.122382e+01	2.160753e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.160753e+01	2.199817e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.199817e+01	2.239588e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.239588e+01	2.280077e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.280077e+01	2.321299e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.321299e+01	2.363266e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.363266e+01	2.405992e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.405992e+01	2.449490e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.449490e+01	2.493774e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.493774e+01	2.538859e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.538859e+01	2.584760e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.584760e+01	2.631490e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.631490e+01	2.679065e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.679065e+01	2.727500e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.727500e+01	2.776810e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.776810e+01	2.827012e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.827012e+01	2.878122e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.878122e+01	2.930156e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.930156e+01	2.983131e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.983131e+01	3.037063e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.037063e+01	3.091970e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.091970e+01	3.147870e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.147870e+01	3.204781e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.204781e+01	3.262720e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.262720e+01	3.321707e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.321707e+01	3.381761e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.381761e+01	3.442900e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.442900e+01	3.505144e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.505144e+01	3.568514e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.568514e+01	3.633029e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.633029e+01	3.698711e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.698711e+01	3.765580e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.765580e+01	3.833659e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.833659e+01	3.902968e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.902968e+01	3.973530e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.973530e+01	4.045367e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.045367e+01	4.118504e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.118504e+01	4.192963e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.192963e+01	4.268768e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.268768e+01	4.345943e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.345943e+01	4.424514e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.424514e+01	4.504505e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.504505e+01	4.585942e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.585942e+01	4.668852e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.668852e+01	4.753260e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.753260e+01	4.839195e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.839195e+01	4.926683e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.926683e+01	5.015753e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.015753e+01	5.106433e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.106433e+01	5.198753e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.198753e+01	5.292741e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.292741e+01	5.388429e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.388429e+01	5.485847e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.485847e+01	5.585026e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.585026e+01	5.685998e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.685998e+01	5.788796e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.788796e+01	5.893452e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.893452e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

