# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of jet transverse momenta ($H_\mathrm{T}$)
XLabel=$H_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}H_\mathrm{T}$ [pb/GeV]
LogX=1
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_HT
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_HT
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_HT
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_HT
ScaledBy=3.19533152350607959e-09
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.072970e+01	8.425223e-01	3.607186e-03	3.607186e-03
2.072970e+01	2.148602e+01	7.665635e-01	3.379679e-03	3.379679e-03
2.148602e+01	2.226994e+01	6.910571e-01	3.152229e-03	3.152229e-03
2.226994e+01	2.308246e+01	6.177118e-01	2.927110e-03	2.927110e-03
2.308246e+01	2.392462e+01	5.573615e-01	2.731114e-03	2.731114e-03
2.392462e+01	2.479751e+01	4.969724e-01	2.533064e-03	2.533064e-03
2.479751e+01	2.570225e+01	4.473296e-01	2.360527e-03	2.360527e-03
2.570225e+01	2.664000e+01	3.998764e-01	2.192204e-03	2.192204e-03
2.664000e+01	2.761196e+01	3.568787e-01	2.034264e-03	2.034264e-03
2.761196e+01	2.861938e+01	3.197452e-01	1.891302e-03	1.891302e-03
2.861938e+01	2.966356e+01	2.837081e-01	1.749906e-03	1.749906e-03
2.966356e+01	3.074584e+01	2.482378e-01	1.608023e-03	1.608023e-03
3.074584e+01	3.186760e+01	2.155485e-01	1.471603e-03	1.471603e-03
3.186760e+01	3.303029e+01	1.871766e-01	1.346919e-03	1.346919e-03
3.303029e+01	3.423540e+01	1.548786e-01	1.203483e-03	1.203483e-03
3.423540e+01	3.548448e+01	1.286035e-01	1.077285e-03	1.077285e-03
3.548448e+01	3.677913e+01	1.020280e-01	9.424659e-04	9.424659e-04
3.677913e+01	3.812101e+01	7.735602e-02	8.061489e-04	8.061489e-04
3.812101e+01	3.951186e+01	5.372896e-02	6.598892e-04	6.598892e-04
3.951186e+01	4.095345e+01	5.492644e-02	6.553674e-04	6.553674e-04
4.095345e+01	4.244764e+01	1.381087e-01	1.020568e-03	1.020568e-03
4.244764e+01	4.399634e+01	2.213141e-01	1.268995e-03	1.268995e-03
4.399634e+01	4.560155e+01	2.982861e-01	1.447107e-03	1.447107e-03
4.560155e+01	4.726532e+01	3.621858e-01	1.566281e-03	1.566281e-03
4.726532e+01	4.898979e+01	4.195470e-01	1.655790e-03	1.655790e-03
4.898979e+01	5.077719e+01	4.763397e-01	1.732957e-03	1.732957e-03
5.077719e+01	5.262979e+01	5.257488e-01	1.788395e-03	1.788395e-03
5.262979e+01	5.454999e+01	5.717634e-01	1.831876e-03	1.831876e-03
5.454999e+01	5.654025e+01	6.080522e-01	1.855542e-03	1.855542e-03
5.654025e+01	5.860312e+01	6.496236e-01	1.883915e-03	1.883915e-03
5.860312e+01	6.074126e+01	6.763037e-01	1.888018e-03	1.888018e-03
6.074126e+01	6.295740e+01	6.930280e-01	1.877282e-03	1.877282e-03
6.295740e+01	6.525440e+01	6.983779e-01	1.851043e-03	1.851043e-03
6.525440e+01	6.763521e+01	6.984984e-01	1.818323e-03	1.818323e-03
6.763521e+01	7.010288e+01	6.900615e-01	1.775212e-03	1.775212e-03
7.010288e+01	7.266059e+01	6.892599e-01	1.742626e-03	1.742626e-03
7.266059e+01	7.531161e+01	6.765901e-01	1.695921e-03	1.695921e-03
7.531161e+01	7.805935e+01	6.595235e-01	1.644799e-03	1.644799e-03
7.805935e+01	8.090735e+01	6.299407e-01	1.578758e-03	1.578758e-03
8.090735e+01	8.385925e+01	5.623561e-01	1.465320e-03	1.465320e-03
8.385925e+01	8.691886e+01	4.222711e-01	1.247095e-03	1.247095e-03
8.691886e+01	9.009010e+01	2.261712e-01	8.964874e-04	8.964874e-04
9.009010e+01	9.337703e+01	1.188092e-01	6.383395e-04	6.383395e-04
9.337703e+01	9.678390e+01	9.354971e-02	5.630877e-04	5.630877e-04
9.678390e+01	1.003151e+02	8.364986e-02	5.167384e-04	5.167384e-04
1.003151e+02	1.039751e+02	7.949686e-02	4.948228e-04	4.948228e-04
1.039751e+02	1.077686e+02	7.799056e-02	4.813910e-04	4.813910e-04
1.077686e+02	1.117005e+02	7.667100e-02	4.688836e-04	4.688836e-04
1.117005e+02	1.157759e+02	7.528979e-02	4.563335e-04	4.563335e-04
1.157759e+02	1.200000e+02	7.539594e-02	4.485720e-04	4.485720e-04
# END HISTO1D

