# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of leading jet
XLabel=$\eta(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~1})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_eta_1
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_eta_1
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_eta_1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_eta_1
ScaledBy=3.19533152350607959e-09
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.600000e+00	-2.400000e+00	5.239740e-03	5.433358e-04	5.433358e-04
-2.400000e+00	-2.200000e+00	8.897185e-01	7.080689e-03	7.080689e-03
-2.200000e+00	-2.000000e+00	3.101438e+00	1.321967e-02	1.321967e-02
-2.000000e+00	-1.800000e+00	5.119365e+00	1.698375e-02	1.698375e-02
-1.800000e+00	-1.600000e+00	6.913885e+00	1.973776e-02	1.973776e-02
-1.600000e+00	-1.400000e+00	8.491850e+00	2.187595e-02	2.187595e-02
-1.400000e+00	-1.200000e+00	9.862800e+00	2.362506e-02	2.362506e-02
-1.200000e+00	-1.000000e+00	1.102965e+01	2.493324e-02	2.493324e-02
-1.000000e+00	-8.000000e-01	1.204986e+01	2.607789e-02	2.607789e-02
-8.000000e-01	-6.000000e-01	1.294187e+01	2.701335e-02	2.701335e-02
-6.000000e-01	-4.000000e-01	1.346794e+01	2.756663e-02	2.756663e-02
-4.000000e-01	-2.000000e-01	1.445073e+01	2.854347e-02	2.854347e-02
-2.000000e-01	0.000000e+00	1.516608e+01	2.923769e-02	2.923769e-02
0.000000e+00	2.000000e-01	1.516621e+01	2.924372e-02	2.924372e-02
2.000000e-01	4.000000e-01	1.433315e+01	2.842292e-02	2.842292e-02
4.000000e-01	6.000000e-01	1.336307e+01	2.744457e-02	2.744457e-02
6.000000e-01	8.000000e-01	1.284007e+01	2.690196e-02	2.690196e-02
8.000000e-01	1.000000e+00	1.190328e+01	2.590039e-02	2.590039e-02
1.000000e+00	1.200000e+00	1.089817e+01	2.478180e-02	2.478180e-02
1.200000e+00	1.400000e+00	9.785740e+00	2.348289e-02	2.348289e-02
1.400000e+00	1.600000e+00	8.456230e+00	2.182946e-02	2.182946e-02
1.600000e+00	1.800000e+00	6.853075e+00	1.965163e-02	1.965163e-02
1.800000e+00	2.000000e+00	5.050420e+00	1.686970e-02	1.686970e-02
2.000000e+00	2.200000e+00	3.053875e+00	1.311841e-02	1.311841e-02
2.200000e+00	2.400000e+00	8.754625e-01	7.023301e-03	7.023301e-03
2.400000e+00	2.600000e+00	5.972175e-03	5.800692e-04	5.800692e-04
2.600000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

