# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of third jet
XLabel=$\eta(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~3})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_eta_3
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_eta_3
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_eta_3
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_eta_3
ScaledBy=3.19533152350607959e-09
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.600000e+00	-2.200000e+00	7.042660e-04	1.408532e-04	1.408532e-04
-2.200000e+00	-1.800000e+00	3.427047e-02	9.828870e-04	9.828870e-04
-1.800000e+00	-1.400000e+00	1.704843e-01	2.191929e-03	2.191929e-03
-1.400000e+00	-1.000000e+00	4.628185e-01	3.612945e-03	3.612945e-03
-1.000000e+00	-6.000000e-01	8.826207e-01	4.991600e-03	4.991600e-03
-6.000000e-01	-2.000000e-01	1.292283e+00	6.040849e-03	6.040849e-03
-2.000000e-01	2.000000e-01	1.465439e+00	6.432927e-03	6.432927e-03
2.000000e-01	6.000000e-01	1.297197e+00	6.056651e-03	6.056651e-03
6.000000e-01	1.000000e+00	8.690070e-01	4.948558e-03	4.948558e-03
1.000000e+00	1.400000e+00	4.535465e-01	3.613959e-03	3.613959e-03
1.400000e+00	1.800000e+00	1.657645e-01	2.283517e-03	2.283517e-03
1.800000e+00	2.200000e+00	3.330282e-02	9.686756e-04	9.686756e-04
2.200000e+00	2.600000e+00	5.915835e-04	1.290941e-04	1.290941e-04
2.600000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

