# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of second jet
XLabel=$m(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~2})$ [pb/GeV]
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_mass_2
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_mass_2
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_mass_2
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_mass_2
ScaledBy=3.19533152350607959e-09
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	4.298098e-01	7.085205e-03	7.085205e-03
1.096478e+00	1.202264e+00	5.143821e-01	7.402138e-03	7.402138e-03
1.202264e+00	1.318257e+00	6.397662e-01	7.884027e-03	7.884027e-03
1.318257e+00	1.445440e+00	7.119071e-01	7.942734e-03	7.942734e-03
1.445440e+00	1.584893e+00	8.849526e-01	8.456751e-03	8.456751e-03
1.584893e+00	1.737801e+00	1.089711e+00	8.961755e-03	8.961755e-03
1.737801e+00	1.905461e+00	1.404095e+00	9.714450e-03	9.714450e-03
1.905461e+00	2.089296e+00	1.820771e+00	1.056482e-02	1.056482e-02
2.089296e+00	2.290868e+00	2.416349e+00	1.162283e-02	1.162283e-02
2.290868e+00	2.511886e+00	3.107603e+00	1.258804e-02	1.258804e-02
2.511886e+00	2.754229e+00	3.786981e+00	1.327157e-02	1.327157e-02
2.754229e+00	3.019952e+00	4.643158e+00	1.403299e-02	1.403299e-02
3.019952e+00	3.311311e+00	5.541806e+00	1.464059e-02	1.464059e-02
3.311311e+00	3.630781e+00	6.390938e+00	1.501490e-02	1.501490e-02
3.630781e+00	3.981072e+00	7.194798e+00	1.521420e-02	1.521420e-02
3.981072e+00	4.365158e+00	7.634410e+00	1.496786e-02	1.496786e-02
4.365158e+00	4.786301e+00	7.710744e+00	1.436458e-02	1.436458e-02
4.786301e+00	5.248075e+00	7.348266e+00	1.339210e-02	1.339210e-02
5.248075e+00	5.754399e+00	6.727986e+00	1.223751e-02	1.223751e-02
5.754399e+00	6.309573e+00	5.563623e+00	1.062762e-02	1.062762e-02
6.309573e+00	6.918310e+00	4.349583e+00	8.974465e-03	8.974465e-03
6.918310e+00	7.585776e+00	3.251655e+00	7.428753e-03	7.428753e-03
7.585776e+00	8.317638e+00	2.372442e+00	6.048092e-03	6.048092e-03
8.317638e+00	9.120108e+00	1.687774e+00	4.870882e-03	4.870882e-03
9.120108e+00	1.000000e+01	1.214039e+00	3.944797e-03	3.944797e-03
1.000000e+01	1.096478e+01	8.736493e-01	3.195569e-03	3.195569e-03
1.096478e+01	1.202264e+01	6.253088e-01	2.587087e-03	2.587087e-03
1.202264e+01	1.318257e+01	4.331511e-01	2.052145e-03	2.052145e-03
1.318257e+01	1.445440e+01	2.907337e-01	1.607618e-03	1.607618e-03
1.445440e+01	1.584893e+01	1.897825e-01	1.239366e-03	1.239366e-03
1.584893e+01	1.737801e+01	1.158032e-01	9.268381e-04	9.268381e-04
1.737801e+01	1.905461e+01	6.751414e-02	6.742664e-04	6.742664e-04
1.905461e+01	2.089296e+01	3.637746e-02	4.725976e-04	4.725976e-04
2.089296e+01	2.290868e+01	1.805470e-02	3.213552e-04	3.213552e-04
2.290868e+01	2.511886e+01	6.298492e-03	1.814407e-04	1.814407e-04
2.511886e+01	2.754229e+01	1.726640e-03	8.983768e-05	8.983768e-05
2.754229e+01	3.019952e+01	2.101798e-04	3.007372e-05	3.007372e-05
3.019952e+01	3.311311e+01	1.933741e-05	8.647954e-06	8.647954e-06
3.311311e+01	3.630781e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e+01	3.981072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+01	4.365158e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.365158e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.248075e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.248075e+01	5.754399e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+01	6.309573e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.309573e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	7.585776e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.585776e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	9.120108e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.120108e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

