# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of fourth jet
XLabel=$m(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~4})$ [pb/GeV]
DrawOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_mass_4
LegendOnly=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_mass_4
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_mass_4
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/e+e-120GeV/Analysis.yoda/MC_JETS/jet_mass_4
ScaledBy=3.19533152350607959e-09
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	3.008375e-03	4.093880e-04	4.093880e-04
1.202264e+00	1.445440e+00	5.884911e-03	5.222012e-04	5.222012e-04
1.445440e+00	1.737801e+00	9.020783e-03	5.897101e-04	5.897101e-04
1.737801e+00	2.089296e+00	1.521616e-02	6.992051e-04	6.992051e-04
2.089296e+00	2.511886e+00	2.546965e-02	8.241923e-04	8.241923e-04
2.511886e+00	3.019952e+00	4.061773e-02	9.492492e-04	9.492492e-04
3.019952e+00	3.630781e+00	5.582209e-02	1.014779e-03	1.014779e-03
3.630781e+00	4.365158e+00	6.837191e-02	1.024573e-03	1.024573e-03
4.365158e+00	5.248075e+00	6.014217e-02	8.761531e-04	8.761531e-04
5.248075e+00	6.309573e+00	3.812719e-02	6.362594e-04	6.362594e-04
6.309573e+00	7.585776e+00	1.503740e-02	3.643894e-04	3.643894e-04
7.585776e+00	9.120108e+00	3.701417e-03	1.648742e-04	1.648742e-04
9.120108e+00	1.096478e+01	4.520322e-04	5.254767e-05	5.254767e-05
1.096478e+01	1.318257e+01	5.080851e-05	1.606706e-05	1.606706e-05
1.318257e+01	1.584893e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+01	1.905461e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+01	2.290868e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e+01	2.754229e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e+01	3.311311e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e+01	3.981072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.754399e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

