# BEGIN PLOT
Legend=1
LogY=0
XLabel=$\eta$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\eta$
LegendYPos=0.5
Title=Pseudorapidity of charged particles
DrawOnly=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/EtaCh
LegendOnly=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/EtaCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/EtaCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/EtaCh
ScaledBy=1.81547740254824208e-06
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.747700e-05	1.170558e-06	1.170558e-06
-4.800000e+00	-4.600000e+00	2.768343e-05	1.469971e-06	1.469971e-06
-4.600000e+00	-4.400000e+00	4.391114e-05	1.853468e-06	1.853468e-06
-4.400000e+00	-4.200000e+00	7.026285e-05	2.345262e-06	2.345262e-06
-4.200000e+00	-4.000000e+00	1.170250e-04	3.027345e-06	3.027345e-06
-4.000000e+00	-3.800000e+00	1.753231e-04	3.706816e-06	3.706816e-06
-3.800000e+00	-3.600000e+00	2.902716e-04	4.775061e-06	4.775061e-06
-3.600000e+00	-3.400000e+00	5.000305e-04	6.272334e-06	6.272334e-06
-3.400000e+00	-3.200000e+00	8.305310e-04	8.087186e-06	8.087186e-06
-3.200000e+00	-3.000000e+00	1.386037e-03	1.045321e-05	1.045321e-05
-3.000000e+00	-2.800000e+00	2.338683e-03	1.358386e-05	1.358386e-05
-2.800000e+00	-2.600000e+00	3.942064e-03	1.764474e-05	1.764474e-05
-2.600000e+00	-2.400000e+00	6.699515e-03	2.301108e-05	2.301108e-05
-2.400000e+00	-2.200000e+00	1.113434e-02	2.967282e-05	2.967282e-05
-2.200000e+00	-2.000000e+00	1.834245e-02	3.809264e-05	3.809264e-05
-2.000000e+00	-1.800000e+00	2.992497e-02	4.866343e-05	4.866343e-05
-1.800000e+00	-1.600000e+00	4.797027e-02	6.162244e-05	6.162244e-05
-1.600000e+00	-1.400000e+00	7.541710e-02	7.727430e-05	7.727430e-05
-1.400000e+00	-1.200000e+00	1.153455e-01	9.557113e-05	9.557113e-05
-1.200000e+00	-1.000000e+00	1.709150e-01	1.163459e-04	1.163459e-04
-1.000000e+00	-8.000000e-01	2.428480e-01	1.386948e-04	1.386948e-04
-8.000000e-01	-6.000000e-01	3.278942e-01	1.611699e-04	1.611699e-04
-6.000000e-01	-4.000000e-01	4.163777e-01	1.816270e-04	1.816270e-04
-4.000000e-01	-2.000000e-01	4.919612e-01	1.974318e-04	1.974318e-04
-2.000000e-01	0.000000e+00	5.358935e-01	2.060645e-04	2.060645e-04
0.000000e+00	2.000000e-01	5.352070e-01	2.059318e-04	2.059318e-04
2.000000e-01	4.000000e-01	4.915104e-01	1.973430e-04	1.973430e-04
4.000000e-01	6.000000e-01	4.162476e-01	1.815993e-04	1.815993e-04
6.000000e-01	8.000000e-01	3.281744e-01	1.612391e-04	1.612391e-04
8.000000e-01	1.000000e+00	2.431088e-01	1.387712e-04	1.387712e-04
1.000000e+00	1.200000e+00	1.709514e-01	1.163600e-04	1.163600e-04
1.200000e+00	1.400000e+00	1.153368e-01	9.556842e-05	9.556842e-05
1.400000e+00	1.600000e+00	7.528410e-02	7.720374e-05	7.720374e-05
1.600000e+00	1.800000e+00	4.794963e-02	6.160816e-05	6.160816e-05
1.800000e+00	2.000000e+00	2.991025e-02	4.865227e-05	4.865227e-05
2.000000e+00	2.200000e+00	1.838872e-02	3.814101e-05	3.814101e-05
2.200000e+00	2.400000e+00	1.104228e-02	2.954819e-05	2.954819e-05
2.400000e+00	2.600000e+00	6.671575e-03	2.296433e-05	2.296433e-05
2.600000e+00	2.800000e+00	3.980456e-03	1.773134e-05	1.773134e-05
2.800000e+00	3.000000e+00	2.350561e-03	1.361988e-05	1.361988e-05
3.000000e+00	3.200000e+00	1.383175e-03	1.044253e-05	1.044253e-05
3.200000e+00	3.400000e+00	8.044510e-04	7.958156e-06	7.958156e-06
3.400000e+00	3.600000e+00	4.933572e-04	6.230042e-06	6.230042e-06
3.600000e+00	3.800000e+00	2.928586e-04	4.797646e-06	4.797646e-06
3.800000e+00	4.000000e+00	1.810776e-04	3.769798e-06	3.769798e-06
4.000000e+00	4.200000e+00	1.127870e-04	2.971067e-06	2.971067e-06
4.200000e+00	4.400000e+00	7.116820e-05	2.360166e-06	2.360166e-06
4.400000e+00	4.600000e+00	4.274428e-05	1.827537e-06	1.827537e-06
4.600000e+00	4.800000e+00	2.702037e-05	1.454628e-06	1.454628e-06
4.800000e+00	5.000000e+00	1.406721e-05	1.044151e-06	1.044151e-06
# END HISTO1D

